model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_joint,post_covid,overall,neighborhood,Allston/Brighton,1,48,6.989190429234219,48.330735466453206,4.925341387589772,0.9238900240773207,48.0,0.8535183714364678,0.8460059230008407,0.9204538388834289,97.91666666666666
gnn_st_joint,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,7.088401692523825,56.99123512569931,4.625706023640102,0.8311954017554706,45.0,0.6825328433971986,0.8149732927172924,0.8272071521935924,100.0
gnn_st_joint,post_covid,overall,neighborhood,Charlestown,1,34,13.138488841056969,61.21135440466507,7.572857169543996,0.8107713925067028,34.0,0.6514897962430076,0.506184698361484,0.8049799149369893,91.17647058823529
gnn_st_joint,post_covid,overall,neighborhood,Dorchester,1,48,18.156817858819586,40.66881799592081,12.005538860956827,0.9506874478437565,48.0,0.891525133862683,0.9254484764718428,0.9483792635174868,97.91666666666666
gnn_st_joint,post_covid,overall,neighborhood,East Boston,1,43,5.611395877117369,86.44527712562599,4.241066816241243,0.9034596825396071,43.0,0.815157101767828,0.6745376394038843,0.9015062597974687,100.0
gnn_st_joint,post_covid,overall,neighborhood,Fenway,1,42,3.553108121625026,63.51008509654026,2.397516051928202,0.7904643807305703,42.0,0.5725860497870052,0.798762859846283,0.7836570502107373,100.0
gnn_st_joint,post_covid,overall,neighborhood,Hyde Park,1,45,8.13342443357508,64.09376740129372,5.838626337051392,0.9265991109524075,45.0,0.842018837919766,0.7788140634305056,0.9230084750874097,100.0
gnn_st_joint,post_covid,overall,neighborhood,Jamaica Plain,1,45,5.120531931294922,61.53205949781927,3.23898606300354,0.9307338800086482,45.0,0.8640914034427236,0.8005397362417406,0.9238006671198589,100.0
gnn_st_joint,post_covid,overall,neighborhood,Mattapan,1,46,6.997378858835068,70.41721970759917,5.640056423518969,0.965917832465031,46.0,0.9062894996916732,0.8228294950846755,0.9538668233366286,100.0
gnn_st_joint,post_covid,overall,neighborhood,Roslindale,1,41,16.33814013654241,69.77051683963974,11.358276146214182,0.911149311038023,41.0,0.8268844963717091,0.6472278781634598,0.9005308017125031,87.8048780487805
gnn_st_joint,post_covid,overall,neighborhood,Roxbury,1,48,22.812896387961494,63.43686396304783,14.294446587562561,0.8988684470381696,48.0,0.7962911381219974,0.8500933531917981,0.898555599691661,91.66666666666666
gnn_st_joint,post_covid,overall,neighborhood,South Boston,1,41,6.0968438719536495,51.58847851149595,3.9457761427251303,0.8901262280918165,41.0,0.7894492276840228,0.7780751989922138,0.8880705089078396,95.1219512195122
gnn_st_joint,post_covid,overall,neighborhood,South End,1,48,12.713805447445578,65.61450834467003,8.565208514531454,0.9202308585724099,48.0,0.8442895765779383,0.7673275101292699,0.9177761673313941,95.83333333333334
gnn_st_joint,post_covid,overall,neighborhood,West Roxbury,1,40,10.378266719819118,57.72602798929201,5.921796596050262,0.8436730167777083,40.0,0.710301922650276,0.583903257840023,0.829391793883919,95.0
gnn_st_joint,post_covid,overall,macro,AVERAGE,1,614,10.223477900557452,61.524067676411605,6.755085651468401,0.892697643885546,614.0,0.7890303856395926,0.7567659559196652,0.8872274511864943,96.60261665641865
gnn_st_joint,post_covid,overall,pooled,ALL,1,614,11.704026077225219,61.35817720490877,6.825593355230089,0.9300437761218202,614.0,0.860747004046113,0.8237863142929261,0.9297601491054222,96.74267100977198
gnn_st_joint,post_covid,overall,cross_week,ALL,1,48,,,,,,,0.6862638067460635,0.6988169220993692,
