model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_cascade_h4,post_covid,overall,neighborhood,Allston/Brighton,2,49,11.069881820955851,53.86990985615561,5.996192572068195,0.7949849167309753,49.0,0.6279193752146734,0.8252166021111653,0.7694705334356301,95.91836734693877
gnn_cascade_h4,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,7.417336809268365,55.72627008818481,4.562102731068929,0.8138742144129796,45.0,0.6535114136449606,0.8124004458757716,0.7889731125629136,97.77777777777777
gnn_cascade_h4,post_covid,overall,neighborhood,Charlestown,2,35,17.575803660342764,58.38857262075283,9.101952007838658,0.627253709831775,35.0,0.36523573440203283,0.6064204050839537,0.6048224784189941,94.28571428571428
gnn_cascade_h4,post_covid,overall,neighborhood,Dorchester,2,49,33.04265534917697,50.60241124554422,17.78317494295081,0.8019047017408041,49.0,0.6354947618464736,0.8942292985771282,0.7963680386120974,95.91836734693877
gnn_cascade_h4,post_covid,overall,neighborhood,East Boston,2,44,8.218724096472414,87.39266859213436,5.325584297830408,0.7777785434287904,44.0,0.6017601540650958,0.6412561735272579,0.7525893437124013,97.72727272727273
gnn_cascade_h4,post_covid,overall,neighborhood,Fenway,2,42,3.812668822882941,63.8853752131998,2.3959120171410695,0.7297143051200063,42.0,0.5078584513092571,0.7772209868256049,0.7195815307838642,100.0
gnn_cascade_h4,post_covid,overall,neighborhood,Hyde Park,2,46,14.256035612090631,82.78864771084488,8.776703907095868,0.7305234950894174,46.0,0.5100457708053763,0.698148503559125,0.7232188655076183,95.65217391304348
gnn_cascade_h4,post_covid,overall,neighborhood,Jamaica Plain,2,46,8.283757593280368,80.97446594169753,5.04347406781238,0.8025296215127966,46.0,0.6411200580146534,0.7149705911776143,0.7728830848940614,97.82608695652173
gnn_cascade_h4,post_covid,overall,neighborhood,Mattapan,2,47,11.748393968805795,79.3324427746457,8.093256432959373,0.8619556171321646,47.0,0.7320236779508761,0.7780924649232472,0.8476651151850905,100.0
gnn_cascade_h4,post_covid,overall,neighborhood,Roslindale,2,42,26.374609093172626,75.1681147950219,16.203617572784424,0.7418540243560985,42.0,0.5453375209581941,0.5620958598826898,0.7061239860536106,88.09523809523809
gnn_cascade_h4,post_covid,overall,neighborhood,Roxbury,2,49,35.01973251256755,62.4660832098964,19.67152502098862,0.7302302459810458,49.0,0.5128628223624858,0.8446556592121339,0.7231290868456105,91.83673469387756
gnn_cascade_h4,post_covid,overall,neighborhood,South Boston,2,43,7.541598652799992,56.220532653741515,4.5714885911276175,0.8230464125304302,43.0,0.6693623657889041,0.7510195882879875,0.8022276816532922,97.67441860465115
gnn_cascade_h4,post_covid,overall,neighborhood,South End,2,49,18.671203922892197,66.29078244867353,10.457942164674098,0.8115416766759765,49.0,0.6579743877821375,0.7742351352453857,0.7987017105101967,95.91836734693877
gnn_cascade_h4,post_covid,overall,neighborhood,West Roxbury,2,41,15.230391298216166,72.65647148717011,8.497622699272341,0.6164479675792686,41.0,0.36343223885212783,0.4674502089770514,0.5806907940850959,97.5609756097561
