model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_joint_h4,post_covid,overall,neighborhood,Allston/Brighton,2,49,11.007862834335953,52.02283110183983,5.983553594472457,0.7983443573844841,49.0,0.6320768579895346,0.8313539428148121,0.7742764233804983,95.91836734693877
gnn_st_joint_h4,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,7.319405932229633,51.64474073654718,4.4623061418533325,0.820970822451182,45.0,0.6626003712787165,0.8238202625389485,0.7972131999574634,97.77777777777777
gnn_st_joint_h4,post_covid,overall,neighborhood,Charlestown,2,35,17.553497172863796,58.300957263272714,9.160903630937849,0.6310940224523482,35.0,0.3668459453689482,0.6065646535152296,0.6105810154872575,94.28571428571428
gnn_st_joint_h4,post_covid,overall,neighborhood,Dorchester,2,49,32.775719382730536,46.96184236222175,17.407850109801,0.8070208104693912,49.0,0.6413603037327964,0.8937700914741272,0.8030153969820879,95.91836734693877
gnn_st_joint_h4,post_covid,overall,neighborhood,East Boston,2,44,8.266733441159841,83.64856340553956,5.327251743186604,0.7760209259375682,44.0,0.5970939611321862,0.647941852355071,0.7532173461127327,97.72727272727273
gnn_st_joint_h4,post_covid,overall,neighborhood,Fenway,2,42,3.799677808214326,62.73466890669219,2.3802157867522467,0.7331847043560846,42.0,0.5112065133294099,0.7759970167676119,0.724772674911603,100.0
gnn_st_joint_h4,post_covid,overall,neighborhood,Hyde Park,2,46,14.211046607938362,78.60598378755064,8.625777229018833,0.7337752717475919,46.0,0.5131332732016358,0.7070393429935319,0.7280385425634526,95.65217391304348
gnn_st_joint_h4,post_covid,overall,neighborhood,Jamaica Plain,2,46,8.272201275289545,79.56224873526227,5.08566469213237,0.8031244619405716,46.0,0.6421206758625475,0.7141599669245784,0.775742940816511,97.82608695652173
gnn_st_joint_h4,post_covid,overall,neighborhood,Mattapan,2,47,11.648150541997971,75.13072789226779,7.904345735590509,0.8637294432485147,47.0,0.7365771958032196,0.7820545951924386,0.8521028013706758,100.0
gnn_st_joint_h4,post_covid,overall,neighborhood,Roslindale,2,42,26.473223516451657,73.23600127108595,16.19366775240217,0.7403702210189309,42.0,0.5419312070131003,0.5634857696453088,0.7073506515125377,85.71428571428571
gnn_st_joint_h4,post_covid,overall,neighborhood,Roxbury,2,49,34.805100325608706,60.281703716346314,19.679968191652883,0.7363854132771542,49.0,0.5188157469646342,0.8438882555241761,0.7306058531198877,91.83673469387756
gnn_st_joint_h4,post_covid,overall,neighborhood,South Boston,2,43,7.57549940948578,54.009544365826464,4.530133690944938,0.8224020963467052,43.0,0.6663831409915126,0.7482657988014966,0.8038113364204134,97.67441860465115
gnn_st_joint_h4,post_covid,overall,neighborhood,South End,2,49,18.398420786736384,62.99523826230845,10.232185023171562,0.8179753275784228,49.0,0.6678952562524395,0.7734149709072021,0.8070732480564166,97.95918367346938
