model,neighborhood,peak_week_actual,peak_week_pred,peak_weeks_late,peak_actual,peak_pred
gnn_st,Allston/Brighton,2025-12-21,2026-01-04,2.0,80.59999084472656,77.8564453125
gnn_st,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-04,2.0,58.09999084472656,55.16901397705078
gnn_st,Charlestown,2025-12-14,2025-12-28,2.0,92.8000030517578,86.98474884033203
gnn_st,Dorchester,2025-12-21,2026-01-04,2.0,256.1499938964844,270.0619201660156
gnn_st,East Boston,2025-12-28,2026-01-04,1.0,59.29999542236328,52.8190803527832
gnn_st,Fenway,2026-01-04,2025-12-28,-1.0,21.100000381469727,26.050981521606445
gnn_st,Hyde Park,2025-12-21,2026-01-04,2.0,94.59999084472656,97.91964721679688
gnn_st,Jamaica Plain,2025-12-21,2026-01-04,2.0,61.099998474121094,56.554325103759766
gnn_st,Mattapan,2025-12-28,2026-01-04,1.0,110.3000030517578,101.45684814453124
gnn_st,Roslindale,2025-12-28,2026-01-04,1.0,170.10000610351562,146.51576232910156
gnn_st,Roxbury,2025-12-21,2026-01-04,2.0,254.6999969482422,246.7687835693359
gnn_st,South Boston,2025-12-28,2025-12-28,0.0,57.0,54.693115234375
gnn_st,South End,2025-12-14,2025-12-28,2.0,132.3000030517578,139.6080780029297
gnn_st,West Roxbury,2025-12-21,2026-01-04,2.0,88.0,73.28028869628906
gnn_st + de-lag,Allston/Brighton,2025-12-21,2026-01-04,2.0,80.59999084472656,78.34917438050618
gnn_st + de-lag,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-04,2.0,58.09999084472656,56.35744849314509
gnn_st + de-lag,Charlestown,2025-12-14,2025-12-28,2.0,92.8000030517578,89.91145421293771
gnn_st + de-lag,Dorchester,2025-12-21,2026-01-04,2.0,256.1499938964844,270.5480823940764
gnn_st + de-lag,East Boston,2025-12-28,2025-12-28,0.0,59.29999542236328,52.42194190600224
gnn_st + de-lag,Fenway,2026-01-04,2025-12-28,-1.0,21.100000381469727,27.080066512814078
gnn_st + de-lag,Hyde Park,2025-12-21,2026-01-04,2.0,94.59999084472656,98.2414720123068
gnn_st + de-lag,Jamaica Plain,2025-12-21,2026-01-04,2.0,61.099998474121094,56.903620255075076
gnn_st + de-lag,Mattapan,2025-12-28,2026-01-04,1.0,110.3000030517578,104.35590212794932
gnn_st + de-lag,Roslindale,2025-12-28,2026-01-04,1.0,170.10000610351562,147.79969779410388
gnn_st + de-lag,Roxbury,2025-12-21,2026-01-04,2.0,254.6999969482422,247.315171515811
gnn_st + de-lag,South Boston,2025-12-28,2025-12-28,0.0,57.0,56.80274541563317
gnn_st + de-lag,South End,2025-12-14,2025-12-28,2.0,132.3000030517578,144.29048015503213
gnn_st + de-lag,West Roxbury,2025-12-21,2026-01-04,2.0,88.0,73.02004152977356
