arm,horizon,Corr_macro,RMSE_macro,Corr_pooled,RMSE_pooled,n_seeds,best_epoch_range,epochs_run,n_node_features,n_global,n_edges
gnn_st,2,0.7978522722849901,15.116784170886998,0.8267362767970272,18.21838934123062,3,40-85,300,46,3,247.0
gnn_st_noweather,2,0.7800939487841253,15.004273402416333,0.8253882097519687,17.6748282554999,3,19-38,300,40,3,247.0
gnn_st_nodemofeat,2,0.8105141745046708,14.49419520067698,0.8428456294710335,17.390467596627474,3,36-72,300,38,3,247.0
gnn_st_nodemoedge,2,0.7972080045276971,15.389354014440343,0.8248701308049424,18.661074651329074,3,58-126,300,46,3,187.0
gnn_st_nodemo,2,0.8042506473953885,14.852581800514171,0.8339926320571249,17.960788857536304,3,42-85,300,38,3,187.0
gnn_st_noimputedflag,2,0.7921723392999962,14.929036505758065,0.831655365485116,17.730783069934947,3,33-135,300,30,3,247.0
gnn_st_lagsonly,2,0.815805131958813,13.93611753346849,0.8484494738476153,16.602742778398667,3,48-66,300,16,0,187.0
gnn_st_lean,2,0.7980926984173558,14.549325763502972,0.8357912781451157,17.25320062181402,3,27-91,300,32,0,187.0
gnn_st_covid_rsv,2,0.6787740084507512,18.43213391317421,0.7399004597302832,21.88780608801118,3,17-47,300,94,3,247.0
gnn_st_wastewater,2,0.8157014205427878,14.72692039163191,0.8551764803537049,17.40989093006729,3,16-87,300,62,3,247.0
gnn_st_vaccination,2,0.7805791931895631,15.44354450743494,0.8208537804291846,18.407557357833245,3,20-73,300,46,4,247.0
gnn_st_delta,2,0.7945358246143205,15.377098354407249,0.829953502877097,18.450928397160084,3,30-59,300,46,3,247.0
gnn_st_level,2,0.7474049587136916,16.857237802021135,0.7791831730602122,20.341600811687957,3,40-135,300,46,3,247.0
gnn_st_noadapt,2,0.8014273964883702,14.627635902773305,0.8417864336916253,17.344071937498754,3,21-45,300,46,3,247.0
gnn_st_relations,2,0.7857933442801383,15.54089788859264,0.8180288908248826,18.684019034058256,3,41-64,300,46,3,247.0
gnn_st_nopearson,2,0.7949948126541296,14.99102039766362,0.8299698741619661,17.962050853871673,3,29-85,300,46,3,247.0
gnn_st_tiny,2,0.8087060795266285,14.613023373500866,0.8389726785587311,17.547878464003446,3,27-78,300,46,3,247.0
gnn_st_nocorr,2,0.7827569711340624,15.634711584872198,0.8158612324769414,18.89968256863327,3,53-75,300,46,0,208.0
gnn_st_geoonly,2,0.7909496817867218,15.122492063901072,0.824522861561844,18.200357307092613,3,47-80,300,46,0,116.0
gnn_st_adaptiveonly,2,0.7806202112959707,15.84748115477052,0.8170854497067203,19.03694744346732,3,29-109,300,46,0,
gnn_st_nograph,2,0.7076611314729611,17.14601858126062,0.7724155039715169,20.07253243143513,3,18-30,300,46,0,
