model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.53290895759118,56.65946963026792,5.6021188862469735,0.8510014547968063,49.0,0.7241785205097891,0.8190663956006478,0.8407703885350318,93.87755102040816
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.2852590020082415,55.12786225900139,4.412438522214475,0.8655489735009564,46.0,0.7449402087534057,0.8157881624989531,0.856380096449128,97.82608695652173
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Charlestown,2,35,16.092583000770773,58.69441599109347,8.833942099979945,0.6898152323885084,35.0,0.4618280789232858,0.658070255465727,0.6722402471833205,94.28571428571428
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Dorchester,2,49,32.46564289187299,55.98643073214215,19.21447942694839,0.8349461272237666,49.0,0.6467760487044015,0.8966555272184807,0.8310922837806616,89.79591836734694
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,East Boston,2,44,7.27745423142222,85.95562855723074,4.877986198121851,0.8289690103029093,44.0,0.6831566656344489,0.6885056883102801,0.8236219964885483,97.72727272727273
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Fenway,2,43,3.9074782459061135,73.07480298655338,2.683806153230889,0.7521037318690169,43.0,0.4839922947600561,0.7766969076578772,0.7404871584714162,100.0
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Hyde Park,2,46,13.520425196710491,78.02162319105662,7.900789706603341,0.7865421262566423,46.0,0.5539820392307817,0.7384908131404309,0.7817326489194325,95.65217391304348
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.0945576856094785,82.02093129808996,4.691404176794964,0.8588644395358208,46.0,0.7343838089208032,0.7545924953398596,0.839506287943835,97.82608695652173
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Mattapan,2,47,11.306445179323827,88.23620210755462,8.614688629799701,0.8946233777848364,47.0,0.7506198964828271,0.7798926703098709,0.8773728044885093,100.0
gnn_st_nodemo_noglobals,post_covid,overall,neighborhood,Roslindale,2,42,22.273105297324186,70.0834818561023,15.005142938523065,0.8199328883151166,42.0,0.6704486816800931,0.6079535155240022,0.7978475993600153,85.71428571428571
