model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_notransit,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.701240280451342,54.35880424864421,5.784785324213456,0.8480555370228858,49.0,0.7143516527739566,0.8206012817189574,0.8449285104551548,93.87755102040816
gnn_st_notransit,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.989656447463216,57.552227220518226,4.877073365709056,0.8414741826746079,46.0,0.6845668721385794,0.792030361319217,0.8399235663800246,95.65217391304348
gnn_st_notransit,post_covid,overall,neighborhood,Charlestown,2,35,15.670984903224477,57.01575098306021,8.411057431357248,0.7050576013966162,35.0,0.4896570687000438,0.6649655561123883,0.6836427305441786,94.28571428571428
gnn_st_notransit,post_covid,overall,neighborhood,Dorchester,2,49,37.17612888278582,53.54977738580651,20.720769590261032,0.798656401970545,49.0,0.5368406241479156,0.9012474810963493,0.7921908687583689,89.79591836734694
gnn_st_notransit,post_covid,overall,neighborhood,East Boston,2,44,8.053518130640331,86.00426246138096,5.197516636414961,0.8015791518801278,44.0,0.611977516594459,0.6805608462444702,0.8013429328423036,95.45454545454545
gnn_st_notransit,post_covid,overall,neighborhood,Fenway,2,43,4.2177059391626015,76.20984110390441,2.8109444795652876,0.7266593604354208,43.0,0.39880460763356906,0.7833158351695078,0.7144010329523172,100.0
gnn_st_notransit,post_covid,overall,neighborhood,Hyde Park,2,46,13.778292083017504,80.65735337644256,8.253619567207668,0.7806067240821912,46.0,0.5368065362026015,0.7211138259711485,0.7759573280835504,95.65217391304348
gnn_st_notransit,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.274380213054116,76.78405686289224,4.556481019310329,0.8491984500440714,46.0,0.7207482588855743,0.7497992580736355,0.8349868218379332,97.82608695652173
gnn_st_notransit,post_covid,overall,neighborhood,Mattapan,2,47,12.066951711357888,87.55126559096821,8.672522291224054,0.8913701722950618,47.0,0.7159434632334749,0.797322067755319,0.8699286161985686,100.0
gnn_st_notransit,post_covid,overall,neighborhood,Roslindale,2,42,22.092520488076755,65.11615616249561,14.167044140043712,0.8242674783906394,42.0,0.6757708589927691,0.6491042772516542,0.8014040579382038,83.33333333333334
gnn_st_notransit,post_covid,overall,neighborhood,Roxbury,2,49,34.69249681681675,61.30768357153372,19.274591115056253,0.7643650701366901,49.0,0.520975879540976,0.8643011936238516,0.7640578574511275,89.79591836734694
gnn_st_notransit,post_covid,overall,neighborhood,South Boston,2,42,7.655618803840467,57.242380202709064,4.612645166260855,0.8280961260836122,42.0,0.6628384758902567,0.7701472341027766,0.8275788513612843,97.61904761904762
gnn_st_notransit,post_covid,overall,neighborhood,South End,2,49,18.71087727466955,70.54013144605743,11.275151340328918,0.8269707175985153,49.0,0.6577009225720811,0.7855582496416821,0.8255754627015109,97.95918367346938
gnn_st_notransit,post_covid,overall,neighborhood,West Roxbury,2,40,14.180713690177642,67.07787970917994,7.88698810338974,0.6890277406710065,40.0,0.459130945009637,0.5789208211141154,0.6728346511062052,95.0
gnn_st_notransit,post_covid,overall,macro,AVERAGE,2,627,15.16150611890989,67.92625502325667,9.03579925502447,0.7982417653344279,627.0,0.599008120165421,0.7542134492282194,0.7891966634721952,94.73226049313006
gnn_st_notransit,post_covid,overall,pooled,ALL,2,627,18.385338623135333,67.9930079071138,9.194741547583012,0.8272663096373024,627.0,0.6503089611195718,0.8164600171688408,0.8268997739095587,94.73684210526315
gnn_st_notransit,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.719539916441194,0.6687794692731099,
gnn_st_notransit,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,12.968569216002775,47.64370127275791,8.650523662567139,0.8049705576645451,26.0,0.6322757584103382,0.6951336264254777,0.8012509585884626,88.46153846153845
gnn_st_notransit,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,8.916543890712486,50.85828441414546,6.806332111358643,0.8021953840374056,26.0,0.5872586547008367,0.6922249803087133,0.7983846947881255,96.15384615384616
