model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_delta,post_covid,overall,neighborhood,Allston/Brighton,1,49,7.691109846564766,51.66136727925515,5.321760216537787,0.9062700997313793,49.0,0.8204624803712878,0.8076351018334555,0.9040826857233836,97.95918367346938
gnn_st_delta,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,46,6.865964430369034,60.27958696366744,4.633395075798035,0.8389268430548522,46.0,0.6956321743239589,0.7979994695147716,0.8357508177072391,100.0
gnn_st_delta,post_covid,overall,neighborhood,Charlestown,1,35,13.574660653255403,59.37410436037508,7.602449526105608,0.7949439416696132,35.0,0.6170628656089092,0.5431708134780954,0.7918980412347932,91.42857142857143
gnn_st_delta,post_covid,overall,neighborhood,Dorchester,1,49,20.26665177982864,42.60725998701589,13.118482959513761,0.9375868479877336,49.0,0.8623531925026211,0.9112987579179062,0.9353708300931248,97.95918367346938
gnn_st_delta,post_covid,overall,neighborhood,East Boston,1,44,5.71113689101148,80.20798316675969,4.235335913571444,0.8993135744668227,44.0,0.8048669866569698,0.7008495889175043,0.8985956699914159,97.72727272727273
gnn_st_delta,post_covid,overall,neighborhood,Fenway,1,43,3.701760250190659,70.87492189203476,2.52950391104055,0.7796361013469513,43.0,0.5368948356291088,0.7354645073621981,0.7708373294127479,100.0
gnn_st_delta,post_covid,overall,neighborhood,Hyde Park,1,46,8.891557799681793,59.314752172553185,6.117328975511634,0.9113674927003118,46.0,0.807102161997403,0.7857734904956567,0.9083855467884407,100.0
gnn_st_delta,post_covid,overall,neighborhood,Jamaica Plain,1,46,5.568587735916307,60.188635825801725,3.5664647195650185,0.9145321391126057,46.0,0.8363582826795258,0.7878745227856275,0.9105970954866629,100.0
gnn_st_delta,post_covid,overall,neighborhood,Mattapan,1,47,7.600741863704004,68.576205467764,5.788007604314926,0.9526642406136533,47.0,0.8873005997848458,0.7995371751229681,0.9432496249705064,100.0
gnn_st_delta,post_covid,overall,neighborhood,Roslindale,1,42,17.484505933245693,72.11194206584109,11.89668497585115,0.893559984979466,42.0,0.7969194927698493,0.6449443483773373,0.8861797349657619,88.09523809523809
gnn_st_delta,post_covid,overall,neighborhood,Roxbury,1,49,24.671347685926097,66.21068909416054,14.764035594706632,0.8816519727405494,49.0,0.7577454094680613,0.8339631678265896,0.8813082043527657,91.83673469387756
gnn_st_delta,post_covid,overall,neighborhood,South Boston,1,42,6.127242910145053,47.861858320263615,3.8816270175434293,0.88871421695895,42.0,0.7840229507907457,0.7954799459760743,0.8877327306161729,92.85714285714286
gnn_st_delta,post_covid,overall,neighborhood,South End,1,49,12.714025556256786,62.87868871776451,8.531677430989792,0.9181902686571773,49.0,0.8419539607232531,0.7351369491338071,0.9162000510087916,95.91836734693877
gnn_st_delta,post_covid,overall,neighborhood,West Roxbury,1,40,10.755426155777265,57.94837321763874,5.918297445774078,0.8317343650403559,40.0,0.6888633273228705,0.6202175562846192,0.8242710246001873,95.0
gnn_st_delta,post_covid,overall,macro,AVERAGE,1,627,10.830337106562354,61.43545489506396,6.99321795477313,0.8820780063614587,627.0,0.7669670514735293,0.7499532425019008,0.8781756704965712,96.34154960685574
gnn_st_delta,post_covid,overall,pooled,ALL,1,627,12.516969062703259,61.32271427798971,7.075469024063487,0.9190276817155416,627.0,0.8379162046279115,0.8173916683082706,0.9189288857728366,96.49122807017544
gnn_st_delta,post_covid,overall,cross_week,ALL,1,49,,,,,,,0.680597932900946,0.6802108972371999,
gnn_st_delta,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,10.108657325341506,41.20492842031835,7.612882210658147,0.8848935523468525,26.0,0.776578439563052,0.7262776562495851,0.8820896929426841,96.15384615384616
gnn_st_delta,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,8.71687725211983,45.332341396536904,6.231892512394832,0.7924149967250146,26.0,0.605536582548728,0.713878492602382,0.7883087148801512,100.0
gnn_st_delta,post_covid,flu_season,neighborhood,Charlestown,1,21,16.908119961728598,63.87254079819316,9.561662651243664,0.7788302303930446,21.0,0.5920373986637881,0.6881133912727349,0.7741813432890448,85.71428571428571
gnn_st_delta,post_covid,flu_season,neighborhood,Dorchester,1,26,26.664412476987714,24.462285527000383,18.183759946089523,0.9228951315648634,26.0,0.8196456984959672,0.8864957264957264,0.9185502225445273,96.15384615384616
gnn_st_delta,post_covid,flu_season,neighborhood,East Boston,1,25,7.149638034647923,95.13842107530971,5.749385643005371,0.8834157515751645,25.0,0.7702096176264639,0.6721926840028933,0.8826104595675142,96.0
gnn_st_delta,post_covid,flu_season,neighborhood,Fenway,1,25,4.393315755398387,41.22113427484526,2.9782143783569337,0.6956266696663033,25.0,0.3466603006707032,0.669109231323981,0.6897182849715378,100.0
gnn_st_delta,post_covid,flu_season,neighborhood,Hyde Park,1,25,11.499716509731272,52.071700494572816,8.53215633392334,0.8966286214279352,25.0,0.7748462325291466,0.7018664340222307,0.8934428986159368,100.0
gnn_st_delta,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,7.382856241445012,61.119456092923045,5.217241495847702,0.8979573768885895,24.0,0.8036969328714815,0.7829921945397114,0.8938266330517921,100.0
gnn_st_delta,post_covid,flu_season,neighborhood,Mattapan,1,26,9.174316811242896,45.89530246445263,7.030033790148222,0.9481028767435609,26.0,0.8821227763934931,0.8912936828218138,0.9396781350440463,100.0
