model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nodemofeat,post_covid,overall,neighborhood,Allston/Brighton,1,49,7.086074204797369,50.141261522104855,4.910195822618445,0.9211307749343295,49.0,0.8475987304834547,0.8369734003142605,0.9152256802231061,97.95918367346938
gnn_st_nodemofeat,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,46,6.435439364808189,55.9450078223556,4.353401435458141,0.8582653207011476,46.0,0.7326057599601998,0.8068323421589478,0.8512316665612512,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Charlestown,1,35,12.841189052168852,56.84266425165841,7.0667761666434155,0.8127857644469381,35.0,0.6573269113858715,0.5658456093166336,0.8027747605583289,91.42857142857143
gnn_st_nodemofeat,post_covid,overall,neighborhood,Dorchester,1,49,18.183155053954643,40.93171865408169,12.049171233663754,0.9479032209689081,49.0,0.8891997822042628,0.9236970333881513,0.9466033550569246,97.95918367346938
gnn_st_nodemofeat,post_covid,overall,neighborhood,East Boston,1,44,5.373307369008802,81.83493073091076,4.007781852375377,0.9099854879493161,44.0,0.8272695208159042,0.6833982898394022,0.9081404505862319,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Fenway,1,43,3.6335897595472995,71.1229696753874,2.5982560667880747,0.7793087691831742,43.0,0.5537945866054748,0.7562314881104223,0.7708312990991517,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Hyde Park,1,46,8.566853493405956,59.26174177843401,5.884728079256804,0.9145547708507197,46.0,0.8209335070320187,0.8007739212740591,0.9122093631179603,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Jamaica Plain,1,46,5.360966397896538,62.93890518407548,3.3316491738609644,0.9232700391543358,46.0,0.8483333597517292,0.8017156201519593,0.9127548567886808,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Mattapan,1,47,7.357873796996003,69.30817110436006,5.666057353324079,0.9585451373530024,47.0,0.8943877470589795,0.8183655877479841,0.9466533771286063,100.0
gnn_st_nodemofeat,post_covid,overall,neighborhood,Roslindale,1,42,16.70276978030232,67.9052367960856,11.401002963383993,0.9066398034408307,42.0,0.8146730821362096,0.6537582324470435,0.8909684123550503,90.47619047619048
gnn_st_nodemofeat,post_covid,overall,neighborhood,Roxbury,1,49,23.264504726682055,62.36700014575535,13.722811543211645,0.8903693814194106,49.0,0.7845860171308714,0.852687817812758,0.8900440883521252,89.79591836734694
gnn_st_nodemofeat,post_covid,overall,neighborhood,South Boston,1,42,5.871773192075943,47.538353067409126,3.6826404276348295,0.8965199590077895,42.0,0.8016574232541802,0.7981033983383575,0.8931078115342598,95.23809523809523
gnn_st_nodemofeat,post_covid,overall,neighborhood,South End,1,49,12.066965510053553,63.53647871467755,8.1150301524571,0.9267685266068459,49.0,0.8576316108981807,0.7686849282254705,0.9226925247974639,95.91836734693877
gnn_st_nodemofeat,post_covid,overall,neighborhood,West Roxbury,1,40,10.359757296744561,54.24287635254276,5.7389546751976015,0.8454284185510864,40.0,0.7113343421834653,0.6319071193723255,0.8279959066245071,95.0
gnn_st_nodemofeat,post_covid,overall,macro,AVERAGE,1,627,10.22172992846015,60.27980827141705,6.609175496133872,0.8922482410405598,627.0,0.7886665986357716,0.7642124848926982,0.8850881109131176,96.69825072886297
gnn_st_nodemofeat,post_covid,overall,pooled,ALL,1,627,11.74775643638773,60.20876296679638,6.682701007601176,0.9270610914922834,627.0,0.8572253498674267,0.8279849325373627,0.9266103110092027,96.81020733652312
gnn_st_nodemofeat,post_covid,overall,cross_week,ALL,1,49,,,,,,,0.6971042403936233,0.6999251121987123,
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,9.303953727838078,39.782211125779845,6.993787948901836,0.9019401928282469,26.0,0.8107337331868794,0.7647498702164851,0.8945494210735889,96.15384615384616
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,8.166859541022143,43.83648445416603,5.844468162609981,0.8160088790329774,26.0,0.6537458041825202,0.721096330033605,0.8068920025770041,100.0
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Charlestown,1,21,15.979955459636265,62.4564475739663,8.789116632370721,0.7981557035667314,21.0,0.6355979266279991,0.6871227201035197,0.78532304023015,85.71428571428571
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Dorchester,1,26,23.716830062822655,23.735605478623164,16.390913596520058,0.9344304925611384,26.0,0.8573158444635753,0.9227350427350427,0.9327471095832962,96.15384615384616
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,East Boston,1,25,6.704283499412603,98.48096975276368,5.374600009918213,0.894739469138252,25.0,0.7979455238789849,0.6459722728461166,0.8928761717566931,100.0
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Fenway,1,25,4.340505185504249,44.4621937130585,3.1247692680358887,0.6851963403646768,25.0,0.3622730436497513,0.6674432065279661,0.6807830805795142,100.0
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Hyde Park,1,25,11.135101617011625,53.55611796804052,8.222931976318359,0.8985035000629717,25.0,0.7888975275669525,0.7314584315466693,0.8956056427646215,100.0
gnn_st_nodemofeat,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,7.089440421241712,65.2993029573946,4.782116740942001,0.9078033531621287,24.0,0.8189901629996674,0.7747042548760599,0.895687418582154,100.0
