model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_noimputedflag,post_covid,overall,neighborhood,Allston/Brighton,1,49,6.954152782916474,50.33853031013591,4.884315159856056,0.9239756468252648,49.0,0.8532204172754432,0.8358478171608333,0.919085993645065,97.95918367346938
gnn_st_noimputedflag,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,46,6.39167725590982,56.699866665626566,4.276374189750008,0.8599571418201375,46.0,0.7362300498552847,0.8045311938771411,0.8538300278581485,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Charlestown,1,35,13.08695164088478,60.769553332173544,7.137908009120396,0.8035496320918469,35.0,0.6440848173706457,0.5523423122169222,0.7915840724951413,91.42857142857143
gnn_st_noimputedflag,post_covid,overall,neighborhood,Dorchester,1,49,18.54364978933891,40.13895455146878,12.055768100582824,0.9451324016186151,49.0,0.8847628355845809,0.9311462030122495,0.9440560385282473,97.95918367346938
gnn_st_noimputedflag,post_covid,overall,neighborhood,East Boston,1,44,5.4777428809495525,84.13029257229601,4.086005021225322,0.9060744626357045,44.0,0.8204898971963291,0.676588425211565,0.9035467979707912,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Fenway,1,43,3.69992065703581,72.2021953767212,2.591080288554347,0.7722920128967136,43.0,0.5373550021450544,0.7595789916795226,0.7618623486706741,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Hyde Park,1,46,8.56405367637009,61.367229396824705,6.000076718952345,0.913989603982524,46.0,0.8210505328436186,0.7932376651898901,0.9114743857604135,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Jamaica Plain,1,46,5.389930691192978,63.80065399550959,3.3941944267438804,0.9235229598447027,46.0,0.84669007987386,0.7946813888391889,0.9105391149391621,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Mattapan,1,47,7.667434602791442,71.05018564505127,5.8727833971064145,0.9555784196259893,47.0,0.8853141601895094,0.8217465410986061,0.9427357819685909,100.0
gnn_st_noimputedflag,post_covid,overall,neighborhood,Roslindale,1,42,17.027600800629823,69.19305305872716,11.67461229505993,0.9028005765861785,42.0,0.807394611709128,0.651308782344207,0.886161530095418,90.47619047619048
