model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_geoonly,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.903047135728157,55.48711559483461,5.690321426002347,0.8384080712176412,49.0,0.7023438327814127,0.8165594149407419,0.8224562403891813,93.87755102040816
gnn_st_geoonly,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.57044334622746,52.46542369397196,4.342879505261131,0.8528208756138905,46.0,0.7212691800904198,0.8119321842970066,0.8419046117541955,97.82608695652173
gnn_st_geoonly,post_covid,overall,neighborhood,Charlestown,2,35,16.473723740756064,59.97020302567799,9.043428025926863,0.6771140736028056,35.0,0.4360337994296897,0.6169857557793709,0.6629184939910874,94.28571428571428
gnn_st_geoonly,post_covid,overall,neighborhood,Dorchester,2,49,31.115451336271644,54.70483726817727,18.459271761835836,0.8362602588783252,49.0,0.675545098314634,0.8941554634405299,0.8337093580985252,95.91836734693877
gnn_st_geoonly,post_covid,overall,neighborhood,East Boston,2,44,7.718834543677952,85.66838359277148,5.171759410337969,0.8039074957519908,44.0,0.6435578349516561,0.6586415944736195,0.79340894032444,97.72727272727273
gnn_st_geoonly,post_covid,overall,neighborhood,Fenway,2,43,3.868998674995375,66.4879808470146,2.5064070280208144,0.752577248562987,43.0,0.4941052051037057,0.7886414090294402,0.7453999020999346,100.0
gnn_st_geoonly,post_covid,overall,neighborhood,Hyde Park,2,46,13.579987361890394,76.75169907504697,8.09159473232601,0.7730238665439286,46.0,0.5500436555129002,0.7300203104342574,0.7690884539866819,95.65217391304348
gnn_st_geoonly,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.486631017558719,80.21701596409785,4.909715243007826,0.8396123990951779,46.0,0.7042145855888428,0.7380962891638934,0.8222656392510012,97.82608695652173
gnn_st_geoonly,post_covid,overall,neighborhood,Mattapan,2,47,11.325580771651598,82.24775287488175,8.410372561596809,0.8861342884478896,47.0,0.7497750554853606,0.8042588513540091,0.8717211758148623,100.0
gnn_st_geoonly,post_covid,overall,neighborhood,Roslindale,2,42,23.88798789648666,71.58239741436468,15.560570762270974,0.7891946814292099,42.0,0.6209289191848417,0.6008501102257765,0.7646098975769042,85.71428571428571
gnn_st_geoonly,post_covid,overall,neighborhood,Roxbury,2,49,33.45458991193176,62.687367466824796,18.848243810692612,0.7669352845487557,49.0,0.5545513067964521,0.8503856067488849,0.7654097365441984,89.79591836734694
gnn_st_geoonly,post_covid,overall,neighborhood,South Boston,2,42,7.144241205467246,57.11100475532108,4.441165719713483,0.842369120245894,42.0,0.7063773018608117,0.7641624834013179,0.8351020797605403,97.61904761904762
gnn_st_geoonly,post_covid,overall,neighborhood,South End,2,49,17.467651786157752,72.0902171281318,10.711983661262357,0.8409119603779935,49.0,0.7016771772434858,0.7654538666776853,0.8345005537380289,97.95918367346938
gnn_st_geoonly,post_covid,overall,neighborhood,West Roxbury,2,40,14.29683425350631,69.89958146555078,8.098037332296371,0.6774323631924379,40.0,0.45023672878929666,0.5178859712217467,0.6499959768931999,95.0
gnn_st_geoonly,post_covid,overall,macro,AVERAGE,2,627,14.592428784450506,67.66935572619055,8.877553641467957,0.7983358562506379,627.0,0.6221899772238222,0.7398592365134485,0.7866065043016272,95.65726347004076
gnn_st_geoonly,post_covid,overall,pooled,ALL,2,627,17.323447829149003,67.67396716496714,8.99640950802981,0.8371892985634183,627.0,0.6895369626735387,0.8128480089384247,0.8354629914230719,95.69377990430623
gnn_st_geoonly,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.7005766015588482,0.6673634974828168,
gnn_st_geoonly,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,13.212108006937104,48.60114066147077,8.377706912847666,0.7907329017218182,26.0,0.6183349758198914,0.6622116589184003,0.769455556578108,88.46153846153845
gnn_st_geoonly,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,8.353679983995036,48.97701387415347,6.026119855734018,0.8103460456222511,26.0,0.6377231855480798,0.7111288402476306,0.7951836263516665,96.15384615384616
gnn_st_geoonly,post_covid,flu_season,neighborhood,Charlestown,2,21,20.9779686377503,74.61239268991187,12.747737362271263,0.6326732692861159,21.0,0.372004438918047,0.6573054371674943,0.6163001782295783,90.47619047619048
gnn_st_geoonly,post_covid,flu_season,neighborhood,Dorchester,2,26,41.309731559260484,38.5919410503819,26.71599028660701,0.7798059113040549,26.0,0.5671203085268857,0.8352136752136751,0.7794583190472668,92.3076923076923
gnn_st_geoonly,post_covid,flu_season,neighborhood,East Boston,2,25,10.057970270442665,104.84666673269712,7.773311786651611,0.7471136666079721,25.0,0.5452377258996643,0.5202487140712904,0.7352259081704007,96.0
gnn_st_geoonly,post_covid,flu_season,neighborhood,Fenway,2,25,4.653699585551295,40.739566299573376,3.1087027168273926,0.6523358175722912,25.0,0.26692078713498657,0.7500532968674598,0.6497011449281829,100.0
