model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nocorr,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.892412418549617,55.87641850203552,5.735872035123864,0.8387294684315285,49.0,0.7029827855054475,0.808015215548818,0.8231741163157639,93.87755102040816
gnn_st_nocorr,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.532321342851648,52.70331908519008,4.358679667763088,0.8539322747409491,46.0,0.7244942141053394,0.8131138550363128,0.8433823983570841,97.82608695652173
gnn_st_nocorr,post_covid,overall,neighborhood,Charlestown,2,35,16.821666431384322,59.48656563202592,9.310842732020786,0.6694501472746301,35.0,0.4119590738524296,0.6169857557793709,0.66033816727995,94.28571428571428
gnn_st_nocorr,post_covid,overall,neighborhood,Dorchester,2,49,31.48378874440578,52.39908617796893,18.263060744927856,0.8329833239401713,49.0,0.6678179896661371,0.9002270469012674,0.8312371487206395,95.91836734693877
gnn_st_nocorr,post_covid,overall,neighborhood,East Boston,2,44,7.603809623233893,85.43025031700228,5.105223059654236,0.8111195266478298,44.0,0.6541019774658927,0.6713391545609407,0.8034321886065142,97.72727272727273
gnn_st_nocorr,post_covid,overall,neighborhood,Fenway,2,43,3.87054049040922,68.49418514588659,2.568159214285917,0.754949579399729,43.0,0.4937019215286359,0.7750992354998975,0.746104641065104,100.0
gnn_st_nocorr,post_covid,overall,neighborhood,Hyde Park,2,46,13.46526502491789,76.0954334064217,7.974994757901067,0.7756974238536365,46.0,0.557613913363054,0.7220480725931528,0.7722211229996601,95.65217391304348
gnn_st_nocorr,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.449327749950147,77.1004609635525,4.8741244595983755,0.8410572592464237,46.0,0.7071548330112929,0.7461265178306844,0.8259909885995077,100.0
gnn_st_nocorr,post_covid,overall,neighborhood,Mattapan,2,47,10.969196400048043,79.84558629944796,8.147696606656337,0.8922006404967121,47.0,0.7652750457392905,0.8034427591659279,0.87912696952793,100.0
gnn_st_nocorr,post_covid,overall,neighborhood,Roslindale,2,42,23.767545969845777,70.46499549832316,15.514289878663563,0.7916315211214097,42.0,0.6247417939945155,0.6010950552360601,0.769384602335111,85.71428571428571
gnn_st_nocorr,post_covid,overall,neighborhood,Roxbury,2,49,33.264884191463324,62.25843051178729,18.9026653134093,0.7683694199414381,49.0,0.559588856095883,0.8552969903518143,0.7666260967267344,89.79591836734694
gnn_st_nocorr,post_covid,overall,neighborhood,South Boston,2,42,7.229284491825662,57.70837376755536,4.485621401241848,0.8389621435852322,42.0,0.6993452712661496,0.7572759209503244,0.8331883657892761,97.61904761904762
