model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nograph,post_covid,overall,neighborhood,Allston/Brighton,2,49,11.982126627838934,62.741956858617776,7.082363206513074,0.7512423200973587,49.0,0.5642423674668653,0.8154338317873148,0.7240454152407484,97.95918367346938
gnn_st_nograph,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,7.566957538932947,54.72245396541018,4.534648312174755,0.7948109465350948,46.0,0.6303095461134716,0.8410386004020237,0.7801981367568616,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Charlestown,2,35,17.931548398215273,72.143966838949,9.858685956682478,0.5908502378462253,35.0,0.3318021025081017,0.5165729401123673,0.5593763997595887,94.28571428571428
gnn_st_nograph,post_covid,overall,neighborhood,Dorchester,2,49,37.26280107286941,63.862165820537506,23.308445521763392,0.7556423310900277,49.0,0.5346784930556499,0.8852776859433172,0.7457865684534187,95.91836734693877
gnn_st_nograph,post_covid,overall,neighborhood,East Boston,2,44,9.187960472255995,100.34692746294279,6.307371161200783,0.7075336127121652,44.0,0.4949622451050695,0.6468662035546512,0.6860906781241858,100.0
gnn_st_nograph,post_covid,overall,neighborhood,Fenway,2,43,4.496325150627692,72.43554935316922,3.0591631046561307,0.7153668364026652,43.0,0.3167518440576542,0.7741862799810518,0.6888248946620671,100.0
gnn_st_nograph,post_covid,overall,neighborhood,Hyde Park,2,46,16.283478504826384,88.1702225259361,10.044646714044655,0.6444396791068188,46.0,0.35305699911053035,0.6982559252861069,0.6333007355015882,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Jamaica Plain,2,46,8.75169242147217,86.87940433388721,5.439814272134201,0.7722938520107974,46.0,0.5958077444946215,0.6876739231166002,0.7412099154769134,97.82608695652173
gnn_st_nograph,post_covid,overall,neighborhood,Mattapan,2,47,17.809155800684387,91.18098253782053,11.296226095645986,0.698727689964108,47.0,0.3812769369416843,0.8072317586105907,0.6802724567568619,97.87234042553192
gnn_st_nograph,post_covid,overall,neighborhood,Roslindale,2,42,27.9106318083361,79.5995964355213,17.451542661303566,0.6980329381484739,42.0,0.4825113270602923,0.5613323152333487,0.650136648163713,90.47619047619048
gnn_st_nograph,post_covid,overall,neighborhood,Roxbury,2,49,36.56533786634908,67.26973245514046,21.88600798042453,0.7048205661484395,49.0,0.46786055872098686,0.8339120075807258,0.6964846385801843,93.87755102040816
gnn_st_nograph,post_covid,overall,neighborhood,South Boston,2,42,8.318681736513236,64.00972185202485,5.365927673521496,0.7763689655837193,42.0,0.601905272780991,0.7549804001333266,0.7567782310023439,97.61904761904762
gnn_st_nograph,post_covid,overall,neighborhood,South End,2,49,19.750610722615566,76.64742146756215,12.107667455867846,0.7884093609283614,49.0,0.618601933760371,0.757504429536309,0.7735553476989807,95.91836734693877
gnn_st_nograph,post_covid,overall,neighborhood,West Roxbury,2,40,16.697566256383563,75.6745119868336,8.831979501247407,0.5257849360146999,40.0,0.25010180514263924,0.494411028955451,0.48628765477499447,95.0
gnn_st_nograph,post_covid,overall,macro,AVERAGE,2,627,17.179633884137196,75.40604384959663,10.469606401227166,0.7088803051849253,627.0,0.4731335125942092,0.7196198093023705,0.6858819800680321,96.60035879027177
gnn_st_nograph,post_covid,overall,pooled,ALL,2,627,20.189540925789025,75.31765321881754,10.641749067740006,0.770644552615975,627.0,0.5783092011856491,0.8015469544366547,0.7648551925343403,96.65071770334929
gnn_st_nograph,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.6847395096799961,0.6332089394904079,
gnn_st_nograph,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,16.09572681907329,59.07302249036914,10.855963743649996,0.662493556717429,26.0,0.4335529527185714,0.6210591995345536,0.6242034145523409,96.15384615384616
gnn_st_nograph,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,9.756893186170348,55.24953348866247,6.415647341654851,0.7140916567410728,26.0,0.5057940461703909,0.6887879148652738,0.6884477080767806,96.15384615384616
gnn_st_nograph,post_covid,flu_season,neighborhood,Charlestown,2,21,22.745743146508584,91.15430237520373,13.816693419501895,0.5298415442120281,21.0,0.26170492453807503,0.5353858802735236,0.48899779525420345,90.47619047619048
gnn_st_nograph,post_covid,flu_season,neighborhood,Dorchester,2,26,49.99301732212696,54.57023444362811,35.733413402850815,0.6449562436104131,26.0,0.36601181509343295,0.7292307692307692,0.6313102364725488,92.3076923076923
gnn_st_nograph,post_covid,flu_season,neighborhood,East Boston,2,25,12.03031408526316,131.15612168252667,9.729659214019776,0.6012486061652008,25.0,0.3493945959015696,0.444660316771088,0.5678146084566822,100.0
gnn_st_nograph,post_covid,flu_season,neighborhood,Fenway,2,25,5.552040165571842,53.572474146764606,4.0289902496337895,0.5508880361760637,25.0,-0.04342061905599626,0.6616527796350108,0.5210984852283617,100.0
gnn_st_nograph,post_covid,flu_season,neighborhood,Hyde Park,2,25,21.775234771866874,103.33818440287523,15.687222709655762,0.5263780741984029,25.0,0.19270801147383476,0.42506810231980363,0.5064936418937915,96.0
gnn_st_nograph,post_covid,flu_season,neighborhood,Jamaica Plain,2,24,11.839923422329312,98.7887299190298,8.459248006343842,0.707821729126347,24.0,0.4951340862995558,0.5596540309718382,0.6690333464071467,95.83333333333334
gnn_st_nograph,post_covid,flu_season,neighborhood,Mattapan,2,26,23.458811795537134,83.76686491619576,16.864101299872765,0.5999588475786094,26.0,0.22928386027599468,0.7654357445395492,0.5773157971020194,96.15384615384616
