model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_nopearson,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.935205989165441,57.60172851868683,5.740084983864609,0.837038145787624,49.0,0.7004074947448962,0.8141547600220568,0.8220973135308802,93.87755102040816
gnn_st_nopearson,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.495737043653197,56.49070309696119,4.341212039408476,0.854991651716976,46.0,0.7275715158202443,0.8142333325788134,0.8432861830142514,97.82608695652173
gnn_st_nopearson,post_covid,overall,neighborhood,Charlestown,2,35,16.835979164180316,60.42201943178246,9.249858706338065,0.6645781643166999,35.0,0.410957977645254,0.6250302732004756,0.6531558694859393,94.28571428571428
gnn_st_nopearson,post_covid,overall,neighborhood,Dorchester,2,49,31.845544945016233,55.299563420474406,18.47170133006816,0.8306380810910752,49.0,0.6601404329689744,0.9004821554500378,0.8284882667990673,91.83673469387756
gnn_st_nopearson,post_covid,overall,neighborhood,East Boston,2,44,7.58081079743069,86.51145518038149,5.132375939325853,0.8121093759654973,44.0,0.6561912505692118,0.6736091094368865,0.8041804257090216,97.72727272727273
gnn_st_nopearson,post_covid,overall,neighborhood,Fenway,2,43,3.846882754718431,72.74711206553998,2.608634205751641,0.7558484911287323,43.0,0.4998722536859608,0.7744905984873338,0.7430245308332815,100.0
gnn_st_nopearson,post_covid,overall,neighborhood,Hyde Park,2,46,13.569100262067476,77.22411565371931,7.923302754111912,0.7748937863936252,46.0,0.5507648279045683,0.7272175705682441,0.7711903938170955,97.82608695652173
gnn_st_nopearson,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.548720226512973,81.98723300463315,4.9888501996579375,0.8365392069937758,46.0,0.6992881410148253,0.7364155436289836,0.8199275380396304,97.82608695652173
gnn_st_nopearson,post_covid,overall,neighborhood,Mattapan,2,47,11.55463304989659,87.39868361092036,8.674647260219492,0.8825172967069388,47.0,0.7395514441054819,0.7895108996693991,0.8662968563390537,100.0
gnn_st_nopearson,post_covid,overall,neighborhood,Roslindale,2,42,24.105422536163356,72.23624432187775,15.720674423944383,0.7848165615850873,42.0,0.6139967068286903,0.5796215426678608,0.7631111953520043,85.71428571428571
gnn_st_nopearson,post_covid,overall,neighborhood,Roxbury,2,49,33.69593785929717,65.64448937624248,18.93914709285814,0.764391503403549,49.0,0.5481010157981991,0.8519204141248002,0.7627253207115238,89.79591836734694
gnn_st_nopearson,post_covid,overall,neighborhood,South Boston,2,42,7.236078514312512,58.4740492855909,4.487523413839794,0.8383884956957468,42.0,0.6987799000111274,0.7666219699909586,0.8326347450840299,97.61904761904762
