model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_ref_b,post_covid,overall,neighborhood,Allston/Brighton,4,49,13.88047027057492,67.9315884454043,8.027914767362633,0.6464919598755272,49.0,0.4152294326955853,0.7773686560532351,0.5741330566790958,97.95918367346938
gnn_st_ref_b,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,4,46,8.748498383248236,57.58819106757513,5.233074753180794,0.7253887586572361,46.0,0.505845641138218,0.8374313949872993,0.6578845665699596,97.82608695652173
gnn_st_ref_b,post_covid,overall,neighborhood,Charlestown,4,35,20.825835948131477,80.13639273439126,12.828236103057861,0.37280887250050504,35.0,0.09868953493509547,0.4269340317057719,0.3068073190744561,91.42857142857143
gnn_st_ref_b,post_covid,overall,neighborhood,Dorchester,4,49,41.86606830082593,67.82051887138265,24.72669235540896,0.6476980042677678,49.0,0.4126101079429334,0.849970662793483,0.6139535759740006,93.87755102040816
gnn_st_ref_b,post_covid,overall,neighborhood,East Boston,4,44,10.110483956117635,98.30239223304002,6.421089313246987,0.6265611690122316,44.0,0.38845353670447635,0.6595637636419724,0.5562365138401574,100.0
gnn_st_ref_b,post_covid,overall,neighborhood,Fenway,4,43,4.041580132568352,75.73864951964559,2.816237754599993,0.6924220748741475,43.0,0.4479665066640509,0.810856659988016,0.6690491045441501,100.0
gnn_st_ref_b,post_covid,overall,neighborhood,Hyde Park,4,46,17.46194886927478,86.13218707996192,9.977355386899864,0.5397953943982474,46.0,0.25602719112669947,0.7511342840915574,0.5114093458746091,97.82608695652173
gnn_st_ref_b,post_covid,overall,neighborhood,Jamaica Plain,4,46,10.38992688417939,84.23529454242033,5.752621961676556,0.6655877797411955,46.0,0.43032279419122144,0.7805506763790215,0.5668719979947731,97.82608695652173
gnn_st_ref_b,post_covid,overall,neighborhood,Mattapan,4,47,16.21798665394947,103.19332346971188,11.316810749946757,0.7223635834357345,47.0,0.48689822985608655,0.7771529322498841,0.676756399721439,100.0
gnn_st_ref_b,post_covid,overall,neighborhood,Roslindale,4,42,32.27557059865251,83.62329986734763,18.968235958190192,0.5675325669440923,42.0,0.3079948154592548,0.6117909873517792,0.4570912205567388,95.23809523809523
