model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_seed242,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.84649359265685,56.413870873913474,5.639463249517947,0.8403971850964824,49.0,0.7057337883976793,0.8055593977595226,0.8249287896743842,93.87755102040816
gnn_st_seed242,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.433942724452292,53.23770503087933,4.264872991520425,0.8598829718872102,46.0,0.7327301171184288,0.8261744263654871,0.8441499849416444,97.82608695652173
gnn_st_seed242,post_covid,overall,neighborhood,Charlestown,2,35,16.38271209313101,58.70621063129741,8.991180201939175,0.680912280831294,35.0,0.4422480240418033,0.6485892170765678,0.6659311177004387,94.28571428571428
gnn_st_seed242,post_covid,overall,neighborhood,Dorchester,2,49,30.90647133919075,51.48406346914947,17.850406276936432,0.838618365135702,49.0,0.6798887208116277,0.9026760889694639,0.8373137039103848,93.87755102040816
gnn_st_seed242,post_covid,overall,neighborhood,East Boston,2,44,7.313566058590509,83.3737557528469,4.964461944319985,0.8254552753316814,44.0,0.6800044150493635,0.6804189740647235,0.8147491482801997,97.72727272727273
gnn_st_seed242,post_covid,overall,neighborhood,Fenway,2,43,3.6719008099368806,70.56085879352062,2.4870489752569864,0.7675893417241915,43.0,0.5443357768006597,0.7814899241318165,0.7562614711261666,100.0
gnn_st_seed242,post_covid,overall,neighborhood,Hyde Park,2,46,13.239590381985366,74.4342294423367,7.742195875748344,0.7827418951462506,46.0,0.5723182231283798,0.7381171144916291,0.7798813946959002,97.82608695652173
gnn_st_seed242,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.295773514863841,79.88414613398213,4.789119715275972,0.84956434574327,46.0,0.7191033348439445,0.7429517762647438,0.8284048094499541,100.0
gnn_st_seed242,post_covid,overall,neighborhood,Mattapan,2,47,10.806461033661583,83.57588586217392,8.213377262683625,0.89509874843404,47.0,0.7721879868930835,0.8065322510208068,0.8800466302978605,100.0
gnn_st_seed242,post_covid,overall,neighborhood,Roslindale,2,42,23.38052978620522,68.45955369576663,15.068979865028744,0.8008177185019163,42.0,0.6368632450325407,0.6023197802874783,0.771358058703723,85.71428571428571
gnn_st_seed242,post_covid,overall,neighborhood,Roxbury,2,49,32.45023697763644,61.95285253344029,18.463943345206125,0.7775441331843599,49.0,0.5808957997523947,0.8615897005930676,0.7753443883057628,89.79591836734694
gnn_st_seed242,post_covid,overall,neighborhood,South Boston,2,42,6.988477682422101,56.185996022567316,4.313299389112563,0.849716148791363,42.0,0.7190412431776729,0.7589155786767514,0.8410417899168524,97.61904761904762
