model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st_slopeweight,post_covid,overall,neighborhood,Allston/Brighton,2,49,10.404003658316523,55.2701016775617,5.882749255822629,0.820282342281314,49.0,0.6714676158449072,0.8043314888648749,0.8095911865146245,93.87755102040816
gnn_st_slopeweight,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.683482724420252,54.09440030908554,4.366781346175982,0.8459034624809648,46.0,0.7115959850146485,0.8180271175839545,0.8396364479207811,97.82608695652173
gnn_st_slopeweight,post_covid,overall,neighborhood,Charlestown,2,35,17.496175886748254,64.28771350408906,9.850768402644567,0.6453980183888429,35.0,0.3638554786948386,0.6024768940020212,0.6393100477431325,91.42857142857143
gnn_st_slopeweight,post_covid,overall,neighborhood,Dorchester,2,49,34.00594888478907,50.078932824223855,19.450970104762487,0.8156948668797157,49.0,0.6124641134448447,0.8950228325063496,0.8135478228725885,89.79591836734694
gnn_st_slopeweight,post_covid,overall,neighborhood,East Boston,2,44,7.870117360214147,84.37422728238903,5.301066414876417,0.7998132299770571,44.0,0.6294489683249722,0.6740347259761262,0.7954887349064201,95.45454545454545
gnn_st_slopeweight,post_covid,overall,neighborhood,Fenway,2,43,4.189814121647725,73.03437095168296,2.785339308339496,0.7492661123426293,43.0,0.4067297628435498,0.7774577039235818,0.7289152140952458,100.0
gnn_st_slopeweight,post_covid,overall,neighborhood,Hyde Park,2,46,14.378232327623614,74.7151394889323,8.411578230235888,0.7618174737208036,46.0,0.49559121493986213,0.7331344658409387,0.757435882303026,93.47826086956522
gnn_st_slopeweight,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.700491524031885,80.78493124675809,5.1317240466242255,0.8296445627067659,46.0,0.6870746184772618,0.7171803447294608,0.8205185592176061,97.82608695652173
gnn_st_slopeweight,post_covid,overall,neighborhood,Mattapan,2,47,12.1996636863757,81.47663219220587,8.74621854944432,0.8758043867770398,47.0,0.7096610144378099,0.805657866533577,0.8600866485416131,100.0
gnn_st_slopeweight,post_covid,overall,neighborhood,Roslindale,2,42,24.483683454064657,72.43473652181348,15.819625275475639,0.7774707660864182,42.0,0.60178737511037,0.5833773661588767,0.7606407411538701,80.95238095238095
gnn_st_slopeweight,post_covid,overall,neighborhood,Roxbury,2,49,35.66724251726012,62.445954621956815,19.95551568634656,0.7477485442601169,49.0,0.49367970302439845,0.8511530104368425,0.7470871225876183,89.79591836734694
gnn_st_slopeweight,post_covid,overall,neighborhood,South Boston,2,42,7.421804442882699,57.90772598187046,4.714481450262523,0.8335244758269212,42.0,0.6831188385011531,0.757193938064003,0.8316658875240025,97.61904761904762
gnn_st_slopeweight,post_covid,overall,neighborhood,South End,2,49,17.82951785021553,70.18770516847935,11.105242505365489,0.8391322706922069,49.0,0.689188824218312,0.7710441160222661,0.8361115601236643,97.95918367346938
gnn_st_slopeweight,post_covid,overall,neighborhood,West Roxbury,2,40,14.808239278055652,74.05000527726642,8.325383627414704,0.6520105664848543,40.0,0.4102026675847946,0.49671061513663917,0.6303763280736007,95.0
gnn_st_slopeweight,post_covid,overall,macro,AVERAGE,2,627,15.367029836903273,68.22446978916535,9.274817443127924,0.7852507913504037,627.0,0.583276155747266,0.734771606127108,0.7764580131126995,94.35811083326611
gnn_st_slopeweight,post_covid,overall,pooled,ALL,2,627,18.371637220633147,68.05629499465425,9.396342508340377,0.8229895869955107,627.0,0.650829971090203,0.8099766938999028,0.8224961052217619,94.41786283891547
gnn_st_slopeweight,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.6916006952084758,0.652947560255186,
