model,neighborhood,peak_week_actual,peak_week_pred,peak_weeks_late,peak_actual,peak_pred
gnn_st,Allston/Brighton,2025-12-21,2026-01-11,3.0,80.60000610351562,52.8249397277832
gnn_st,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-18,4.0,58.09999465942383,38.62284851074219
gnn_st,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,62.86554336547851
gnn_st,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,195.67507934570312
gnn_st,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,37.727413177490234
gnn_st,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,21.624666213989254
gnn_st,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,71.48394775390625
gnn_st,Jamaica Plain,2025-12-21,2026-01-18,4.0,61.10000228881836,35.115238189697266
gnn_st,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,77.70215606689453
gnn_st,Roslindale,2025-12-28,2026-01-11,2.0,170.10000610351562,92.63150024414062
gnn_st,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,165.78102111816406
gnn_st,South Boston,2025-12-28,2026-01-11,2.0,57.0,41.97239303588867
gnn_st,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,116.3851089477539
gnn_st,West Roxbury,2025-12-21,2026-01-18,4.0,88.0,45.49833679199219
gnn_st_slopeweight,Allston/Brighton,2025-12-21,2026-01-11,3.0,80.60000610351562,58.36244201660156
gnn_st_slopeweight,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-11,3.0,58.09999465942383,41.572792053222656
gnn_st_slopeweight,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,64.47614288330078
gnn_st_slopeweight,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,212.21234130859375
gnn_st_slopeweight,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,40.29291915893555
gnn_st_slopeweight,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,23.993915557861328
gnn_st_slopeweight,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,77.48821258544922
gnn_st_slopeweight,Jamaica Plain,2025-12-21,2026-01-11,3.0,61.10000228881836,38.54697036743164
gnn_st_slopeweight,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,90.9578094482422
gnn_st_slopeweight,Roslindale,2025-12-28,2026-01-11,2.0,170.10000610351562,102.162353515625
gnn_st_slopeweight,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,180.5907287597656
gnn_st_slopeweight,South Boston,2025-12-28,2026-01-11,2.0,57.0,43.67726516723633
gnn_st_slopeweight,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,116.5609359741211
gnn_st_slopeweight,West Roxbury,2025-12-21,2026-01-11,3.0,88.0,44.596214294433594
gnn_st_trendblend,Allston/Brighton,2025-12-21,2026-01-18,4.0,80.60000610351562,51.257537841796875
gnn_st_trendblend,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-18,4.0,58.09999465942383,38.625526428222656
gnn_st_trendblend,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,64.5069808959961
gnn_st_trendblend,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,187.00711059570312
gnn_st_trendblend,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,34.658748626708984
gnn_st_trendblend,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,21.378028869628903
gnn_st_trendblend,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,66.8759765625
gnn_st_trendblend,Jamaica Plain,2025-12-21,2026-01-18,4.0,61.10000228881836,34.9239387512207
gnn_st_trendblend,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,73.84698486328125
gnn_st_trendblend,Roslindale,2025-12-28,2026-01-18,3.0,170.10000610351562,90.22422790527344
gnn_st_trendblend,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,159.18862915039062
gnn_st_trendblend,South Boston,2025-12-28,2026-01-11,2.0,57.0,39.83491516113281
gnn_st_trendblend,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,111.48804473876952
gnn_st_trendblend,West Roxbury,2025-12-21,2026-01-18,4.0,88.0,49.77630233764648
gnn_st_twosided,Allston/Brighton,2025-12-21,2026-01-11,3.0,80.60000610351562,52.8249397277832
gnn_st_twosided,Back Bay/Beacon Hill/Downtown/North End/West End,2025-12-21,2026-01-18,4.0,58.09999465942383,38.62284851074219
gnn_st_twosided,Charlestown,2025-12-14,2026-01-11,4.0,92.8000030517578,62.86554336547851
gnn_st_twosided,Dorchester,2025-12-21,2026-01-11,3.0,256.1499938964844,195.67507934570312
gnn_st_twosided,East Boston,2025-12-28,2026-01-11,2.0,59.29999923706055,37.727413177490234
gnn_st_twosided,Fenway,2026-01-04,2026-01-11,1.0,21.100000381469727,21.624666213989254
gnn_st_twosided,Hyde Park,2025-12-21,2026-01-11,3.0,94.5999984741211,71.48394775390625
gnn_st_twosided,Jamaica Plain,2025-12-21,2026-01-18,4.0,61.10000228881836,35.115238189697266
gnn_st_twosided,Mattapan,2025-12-28,2026-01-11,2.0,110.3000030517578,77.70215606689453
gnn_st_twosided,Roslindale,2025-12-28,2026-01-11,2.0,170.10000610351562,92.63150024414062
gnn_st_twosided,Roxbury,2025-12-21,2026-01-11,3.0,254.70001220703125,165.78102111816406
gnn_st_twosided,South Boston,2025-12-28,2026-01-11,2.0,57.0,41.97239303588867
gnn_st_twosided,South End,2025-12-14,2026-01-11,4.0,132.3000030517578,116.3851089477539
gnn_st_twosided,West Roxbury,2025-12-21,2026-01-18,4.0,88.0,45.49833679199219
