model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
lstm,post_covid,Allston/Brighton,92.3076923076923,100.0,95.83333333333334,0.8857081039786606,0.7860222830460513,0.901905762963231,7.350559271298921,2.7539152665571733,5.243764102458954,36.47228603651466,86.50299248621731,59.40302649262838,10.452841751529824,3.381641028267872,8.026505999285368,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,1.3333333333333333
lstm,exclude_covid,Allston/Brighton,88.46153846153845,100.0,93.75,0.8942699839962319,0.7846947506855926,0.9108683291294112,7.76505170235267,2.1791913812810724,5.2048657218615215,33.956682930619195,63.31033055855557,47.410438093423366,11.380652197861828,2.6128113013909853,8.560677518204253,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,1.6666666666666667
arima,exclude_covid,Allston/Brighton,96.15384615384616,100.0,97.91666666666666,0.7893596556594233,0.6353411335171743,0.8329652202088232,9.67153457287653,3.150921823325334,6.682920395998899,53.613031725719765,89.45268759515766,70.03954066587882,13.23867148325273,3.995515783708695,10.11190944813729,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,4.666666666666667
arima,post_covid,Allston/Brighton,100.0,100.0,100.0,0.7938870695552142,0.525423902577211,0.831734250445219,9.518911272476204,3.525424997158417,6.771896729622218,51.0141073718556,99.7400257119811,73.34681994441313,13.077143101634366,4.797914577565865,10.157861404141444,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,5.333333333333333
persistence,exclude_covid,Allston/Brighton,100.0,100.0,100.0,0.7893768417657947,0.6202357421769895,0.8324030236892261,10.35,3.113636363636364,7.033333333333334,54.82311729688726,68.6223541498691,61.14776752117061,13.915224092283298,3.838145859183004,10.565825413410288,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,5.666666666666667
persistence,post_covid,Allston/Brighton,100.0,100.0,100.0,0.7893768417657947,0.6202357421769895,0.8324030236892261,10.35,3.113636363636364,7.033333333333334,54.82311729688726,68.6223541498691,61.14776752117061,13.915224092283298,3.838145859183004,10.565825413410288,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,5.666666666666667
dualtopo_fullhistory,full,Allston/Brighton,84.61538461538461,100.0,91.83673469387756,0.7888267923815335,0.5628154347925263,0.8158854077321518,10.15815201172462,3.0710910714190938,6.83157238668325,50.058549392409326,94.6481145127314,70.98834526521355,14.132508351896163,3.812099994672326,10.620697012680193,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,6.666666666666667
gnn_multiedge_covid_rsv,post_covid,Allston/Brighton,100.0,100.0,100.0,0.7950770644147332,0.6651740949989192,0.8293431196877885,10.989988638804508,4.505376588214528,8.017874782284101,66.32125510711157,93.427668329723,78.74502783414181,13.460914117143243,6.641810767017159,10.879646264569562,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,8.0
gnn_multiedge_full,full,Allston/Brighton,100.0,100.0,100.0,0.8539945023023178,0.7090050778832548,0.8650566107851747,9.591673557574932,5.479084199125117,7.706736768285434,56.08698297291469,89.57281641175535,71.43465663238334,13.131623949405924,8.358686402483599,11.19943849086799,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,8.666666666666666
gnn_multiedge_leaknorm,post_covid,Allston/Brighton,100.0,100.0,100.0,0.8384968032320333,0.702210477027875,0.8552649269150115,10.305812890713032,5.340851702473381,8.030205679436525,62.46864067202552,89.90410398101432,75.04322802197872,13.480442608610716,8.222700041810828,11.376384684523332,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,9.666666666666666
gnn_multiedge_covid_rsv_full,full,Allston/Brighton,96.15384615384616,100.0,97.91666666666666,0.8097197359937707,0.6580072494427943,0.8435251059836403,11.28972891660837,4.541274363344366,8.196687246362368,67.81867997853405,84.26045740882067,75.35449463408209,14.962501365109922,6.805147359150661,11.936994576890678,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,11.0
gnn_multiedge_rt,post_covid,Allston/Brighton,100.0,100.0,100.0,0.8268121179629843,0.6898436172014117,0.8404411854080045,11.581565288396982,6.132749915122986,9.0841915756464,72.59003358747951,98.24035672756308,84.34643169335115,15.16647673578023,9.948591006306051,13.036815352139635,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,12.666666666666666
gnn_multiedge,post_covid,Allston/Brighton,100.0,95.45454545454544,97.91666666666666,0.817132364807553,0.709255285324277,0.8293140277412538,12.811656841864952,6.848678594285792,10.078625145057837,77.50581490638258,103.21210766519118,89.28786575416986,16.767683719431627,11.43947928848473,14.569512082029927,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,13.666666666666666
gnn_corrbinary,post_covid,Allston/Brighton,100.0,90.9090909090909,95.83333333333334,0.7756707806592394,0.7088421834130119,0.7798497444135362,14.4137793137477,8.41449521888386,11.664107436935106,86.48262968460376,114.13230054794568,99.1553954969688,18.93876295432383,14.967402632747737,17.232542139799914,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,15.333333333333334
gnn_uniform,post_covid,Allston/Brighton,88.46153846153845,86.36363636363636,87.5,0.7783153493722923,0.7246324117179039,0.7853478494259931,15.109203595381516,8.592503997412594,12.122382946312428,87.12226576077914,116.29949410062083,100.4951620832066,20.064488222011786,15.26356051522322,18.023511282219378,delta,train,4834,5bc3803,2.063400057486323e-05,5.5847113523486776e-05,4.145388584001921,16.333333333333332
dualtopo,post_covid,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.2713511176220721,0.5000161556573609,0.4594592105786416,14.040793528923622,11.590354504792586,12.89058745637232,72.68370869498847,326.5170549221272,191.8299732505842,22.056630671642125,12.217030174276925,18.116264468104664,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,16.666666666666668
dualtopo_no_bg,post_covid,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.255133161229819,0.4612670013952294,0.4181340922954167,14.04988563977755,11.805862095045006,12.996568465719418,72.85314861592931,332.4207666804454,194.69101015641644,22.053311692886872,12.440361885971305,18.185328444371937,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,17.0
gnn_geo,post_covid,Allston/Brighton,88.46153846153845,90.9090909090909,89.58333333333334,0.7661255769707507,0.721241210697704,0.771107818512291,15.11021560889024,8.928137746724216,12.276763255397478,94.62417549007618,125.8286059856391,108.92620613387584,20.21828075169652,16.077467432606642,18.436218819576418,delta,train,4834,5bc3803,1.7533087841206954e-05,4.745431422920471e-05,3.5224183331010863,18.0
seasonal_naive,exclude_covid,Allston/Brighton,96.15384615384616,100.0,97.91666666666666,0.0330273076450547,0.6064959977611539,0.2941894142121167,22.473076923076924,3.7409090909090903,13.887499999999998,152.37160767446832,99.03819183935197,127.92712541670664,31.451653986102837,4.642442538930636,23.360186928475837,level,none,0,5bc3803,1.2822205117475118e-07,3.470403823141371e-07,0.02579366695135832,15.0
seasonal_naive,post_covid,Allston/Brighton,100.0,100.0,100.0,0.0330273076450547,0.6064959977611539,0.2941894142121167,22.473076923076924,3.7409090909090903,13.887499999999998,152.37160767446832,99.03819183935197,127.92712541670664,31.451653986102837,4.642442538930636,23.360186928475837,level,none,0,5bc3803,1.0606019472009693e-07,2.8705803866614595e-07,0.02134179195854813,15.0
