model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
arima,exclude_covid,flu_season,pooled,ALL,1,352,18.777599193755425,63.46704700715994,11.037610521822,0.8721627161941817,352.0,93.4659090909091,level,none,,5bc3803,0.001490005379470648,0.0040327855607057836,299.3411083329702,,,,1.0,6.0,1.0,5.0
arima,post_covid,flu_season,pooled,ALL,1,352,19.395539877045795,64.0920590795033,11.539093209007737,0.8662414110107342,352.0,94.31818181818184,level,none,,5bc3803,0.0002556865749649534,0.0006920304730384992,51.36729262501467,,,,2.0,7.0,4.0,7.0
gnn_multiedge_covid_rsv,post_covid,flu_season,pooled,ALL,1,352,19.642686253509392,80.0619016895051,13.193399275568398,0.869037544769222,352.0,93.18181818181816,delta,train,6370,5bc3803,2.089974154706508e-05,5.656635680297364e-05,4.198774707969278,0.7343408206949726,0.7878463288136555,0.8608569368581125,3.0,9.0,7.0,6.0
persistence,exclude_covid,flu_season,pooled,ALL,1,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,352.0,93.18181818181816,level,none,0,5bc3803,1.286735082694529e-07,3.482622769984624e-07,0.02589108399115503,,,,4.0,4.0,5.0,9.0
persistence,post_covid,flu_season,pooled,ALL,1,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,352.0,93.18181818181816,level,none,0,5bc3803,1.0930826783819627e-07,2.958491360348287e-07,0.02199162496253848,,,,4.0,4.0,5.0,9.0
lstm,exclude_covid,flu_season,pooled,ALL,1,352,20.41193374818329,51.75920983442365,11.139280480688267,0.8601740151586288,352.0,90.3409090909091,level,train,22300,5bc3803,3.6014595815701175e-06,9.747558229072537e-06,0.7235642919549718,,,,6.0,1.0,2.0,11.0
lstm,post_covid,flu_season,pooled,ALL,1,352,20.61754690866661,53.70346982716725,11.304202957044948,0.8524156360652353,352.0,90.3409090909091,level,train,22300,5bc3803,2.1653940673612073e-06,5.860764027036366e-06,0.43506395805161446,,,,7.0,2.0,3.0,12.0
gnn_multiedge_leaknorm,post_covid,flu_season,pooled,ALL,1,352,20.966106306978645,81.00639016499223,13.751705018972809,0.8917632035364798,352.0,95.17045454545456,delta,all,4834,5bc3803,1.769154712003047e-05,4.788319341340361e-05,3.5542516669956967,0.6973374803999621,0.7942869486188302,0.8701115045075081,8.0,10.0,8.0,1.0
gnn_multiedge_full,full,flu_season,pooled,ALL,1,352,23.066963293754824,78.06465398180497,14.463662517680364,0.8769505097960932,352.0,90.625,delta,train,4834,5bc3803,4.0714073532863064e-05,0.00011019498997995269,8.17945520801004,0.6336434795206838,0.7863383691782001,0.850872700438142,9.0,8.0,10.0,3.0
gnn_multiedge_covid_rsv_full,full,flu_season,pooled,ALL,1,352,23.946721098009437,86.86103255786608,15.864917966113849,0.8728116879801678,352.0,90.3409090909091,delta,train,6370,5bc3803,4.170956533715911e-05,0.0001128893460067694,8.379447750048712,0.605165413522746,0.7933016290237277,0.8394833428457119,10.0,11.0,11.0,4.0
dualtopo_fullhistory,full,flu_season,pooled,ALL,1,352,24.9650866335787,60.288819963995365,13.930661419575864,0.7948186229941802,352.0,85.79545454545455,level,train,479905,5bc3803,0.0003761414580371674,0.0010180485665723,75.56665566598531,0.5708696557342443,0.7734011390482981,0.7933197956116979,11.0,3.0,9.0,16.0
gnn_multiedge_rt,post_covid,flu_season,pooled,ALL,1,352,26.228381049672503,95.43727120221426,16.906746029176496,0.862960371656608,352.0,89.48863636363636,delta,train,5346,5bc3803,1.76025503802076e-05,4.764231860029718e-05,3.5363711660029367,0.526340735776919,0.7652126232911486,0.8189426637098174,12.0,12.0,12.0,8.0
gnn_multiedge,post_covid,flu_season,pooled,ALL,1,352,26.938349536749563,100.65581074214684,17.742873343893073,0.8775781060204749,352.0,89.48863636363636,delta,train,4834,5bc3803,1.7659723678023636e-05,4.779706143080451e-05,3.5478571250569075,0.5003509862446684,0.79848438227606,0.8168751464461821,13.0,13.0,13.0,2.0
gnn_corrbinary,post_covid,flu_season,pooled,ALL,1,352,33.10666955894986,117.33031502471007,21.496736391024157,0.8343590360030905,352.0,88.63636363636364,delta,train,4834,5bc3803,2.0007830431729163e-05,5.41523478893699e-05,4.0195957500254735,0.2453352667407796,0.7546595917109268,0.7502237278171692,14.0,16.0,16.0,13.0
dualtopo_no_bg,post_covid,flu_season,pooled,ALL,1,352,33.35890077489192,108.39888015784496,18.96694554253058,0.5051561455690342,352.0,83.52272727272727,level,train,479905,5bc3803,3.404552382872119e-05,9.214617530569538e-05,6.839754667016678,0.2337922512997609,0.5266814391276359,0.3669193552462674,15.0,15.0,15.0,18.0
dualtopo,post_covid,flu_season,pooled,ALL,1,352,33.35923135606023,108.23412526087736,18.961216736923564,0.5052581107522092,352.0,83.52272727272727,level,train,479905,5bc3803,5.635643795263239e-05,0.0001525319521389449,11.322005417081527,0.233777065241354,0.5284082987017034,0.3673918799246347,16.0,14.0,14.0,17.0
gnn_uniform,post_covid,flu_season,pooled,ALL,1,352,34.5066310252612,117.60447432720224,22.26936397125775,0.8338551954511608,352.0,81.81818181818183,delta,train,4834,5bc3803,2.063400057486323e-05,5.5847113523486776e-05,4.145388584001921,0.1801617305348737,0.7536005327318955,0.7409449656327164,17.0,17.0,17.0,14.0
