city,model,n_cells,RMSE,MAE,Corr,RMSE_flu,RMSE_off,skill_vs_persistence
boston,lstm,627,14.65650586441446,7.846038703827196,0.8825059599776325,18.86810142140628,5.838432381401433,0.9272679326784623
boston,arima,627,15.506471404709275,9.092302796043144,0.8712236712887147,19.475380644303073,7.920588158799711,0.981042399573106
boston,persistence,627,15.806117463890258,8.936842105263157,0.8708879041331532,20.13156425271925,7.131745291938777,1.0
boston,xcity_corrbinary,627,16.918036050455267,10.528981459197816,0.8717221580124787,19.644703154351813,12.594089426605684,1.0703473569081865
boston,xcity_geo,627,17.655241236300455,10.95630515192114,0.8659351509244503,21.13600666426677,11.784642668490566,1.1169878546477083
boston,xcity_uniform,627,20.3720042370993,12.534844975722464,0.8628900150216875,23.689935278024734,15.09601358903775,1.2888683311154687
boston,xcity_multiedge,627,20.893737767422866,13.05231071031835,0.8453147855804224,23.798929790411105,16.442386623046072,1.3218766604231236
boston,xcity_dualtopo,627,28.914844930452,18.201873665221,0.4168523709236909,33.35923135606023,21.9500018548701,1.8293451884379057
boston,seasonal_naive,627,39.83540797917882,19.810207336523128,0.41690084620525025,52.81327635255087,6.9144933423800605,2.520252558554274
columbus,lstm,833,8.872521018981887,6.235039721770787,0.9017508647823573,10.381314218674229,6.773657495107032,0.945547454296706
columbus,xcity_uniform,833,9.184124052155045,6.277007994010579,0.8898475642267629,10.891680535765072,6.752494767446456,0.97875509101435
columbus,persistence,833,9.383475127201553,6.303934755738351,0.8881692164955826,11.318980667917492,6.538608615120557,1.0
columbus,xcity_corrbinary,833,9.432423664202833,6.2920457501264035,0.8827352652077578,11.383335327351427,6.562315969499353,1.0052164615281374
columbus,xcity_geo,833,9.482008985490507,6.3410360626786915,0.8832567696968355,11.260420882016703,6.943223741302553,1.010500785365042
columbus,arima,833,9.67577313747399,6.457976885200148,0.8748575311725418,11.696380629793358,6.693508824496743,1.0311502941405046
columbus,xcity_multiedge,833,9.742703502597799,6.486902421530412,0.876525471235985,11.837479640717225,6.619533922522413,1.0382830849473759
columbus,xcity_dualtopo,833,14.794403714221911,9.759511929313962,0.6886924589392963,18.218377548511466,9.544411951974828,1.576644421567734
columbus,seasonal_naive,833,16.887173093102565,9.35448940965158,0.7643039775545176,22.31927261219715,6.665146074158554,1.799671535777689
