model,variant,horizon,segment,scope,n_obs,RMSE,MAPE,MAE,Corr,CI_coverage,fallback_forecasts,fallback_share,target_kind,lookback,n_train,n_params
arima,exclude_covid,1,flu_season,pooled,352,19.043228452997067,65.15710556909039,11.368464626876555,0.8707461798414557,92.32954545454544,75.0,0.10932944606413994,level,8.0,211,
arima,exclude_covid,1,off_season,pooled,275,7.732448362384219,112.9729294179784,5.638228116263981,0.6993327215716971,98.54545454545456,75.0,0.10932944606413994,level,8.0,211,
arima,exclude_covid,1,overall,pooled,627,15.159615406835664,86.12895813439215,8.8552029994149,0.8766607902313506,95.05582137161085,75.0,0.10932944606413994,level,8.0,211,
arima,exclude_covid,2,flu_season,pooled,352,56.38714164735512,108.3695971741757,21.19558442070307,0.4193663439129972,88.92045454545455,110.0,0.16034985422740525,level,8.0,210,
arima,exclude_covid,2,off_season,pooled,275,10.00751769610718,135.14486384274997,7.175168212526253,0.7219998233049063,98.54545454545456,110.0,0.16034985422740525,level,8.0,210,
arima,exclude_covid,2,overall,pooled,627,42.76579877188139,120.11313518670828,15.046279066239556,0.4672462666945191,93.14194577352472,110.0,0.16034985422740525,level,8.0,210,
arima,exclude_covid,4,flu_season,pooled,352,38.52909005448131,101.50106224820895,22.414057601021707,0.3772081785958751,90.625,213.0,0.3104956268221574,level,8.0,206,
arima,exclude_covid,4,off_season,pooled,275,15.445398881411126,199.87296638579028,10.978801304139486,0.6070509262377957,100.0,213.0,0.3104956268221574,level,8.0,206,
arima,exclude_covid,4,overall,pooled,627,30.627276467854937,144.64663423837624,17.398594312915467,0.4213927008431701,94.73684210526316,213.0,0.3104956268221574,level,8.0,206,
arima,post_covid,1,flu_season,pooled,352,19.475380644303073,64.99151649470876,11.67589629466042,0.8650468071233339,93.75,0.0,0.0,level,8.0,122,
arima,post_covid,1,off_season,pooled,275,7.920588158799711,105.77931978782588,5.78530311781303,0.6696090250502142,98.54545454545456,0.0,0.0,level,8.0,122,
arima,post_covid,1,overall,pooled,627,15.506471404709275,82.88090390397065,9.092302796043144,0.8712236712887145,95.85326953748007,0.0,0.0,level,8.0,122,
arima,post_covid,2,flu_season,pooled,352,27.429352163110114,80.31559770751028,15.770002056537797,0.7197371267743276,92.61363636363636,0.0,0.0,level,8.0,121,
arima,post_covid,2,off_season,pooled,275,9.798031250395985,150.30905131184772,7.4481591628396195,0.7348776770366839,100.0,0.0,0.0,level,8.0,121,
arima,post_covid,2,overall,pooled,627,21.55199951337875,111.0144808673074,12.120070962810525,0.7391811531787149,95.85326953748007,0.0,0.0,level,8.0,121,
arima,post_covid,4,flu_season,pooled,352,35.9251690141277,108.40788085048597,21.251858872542133,0.4335147071585339,94.88636363636364,0.0,0.0,level,8.0,119,
arima,post_covid,4,off_season,pooled,275,15.961761469144584,233.15645005253452,12.16434365770718,0.6902822751140425,100.0,0.0,0.0,level,8.0,119,
arima,post_covid,4,overall,pooled,627,28.91888666178037,163.12216558822658,17.26610658533382,0.4671393845892341,97.1291866028708,0.0,0.0,level,8.0,119,
dualtopo,post_covid,1,flu_season,pooled,352,33.35923135606023,108.23412526087736,18.961216736923564,0.5052581107522092,83.52272727272727,,,level,52.0,85,479905.0
