model,variant,Corr_h01,Corr_h02,Corr_h04,RMSE_h01,RMSE_h02,RMSE_h04
xgboost,post_covid,0.8661657223894175,0.7583622874161153,0.6812040799729484,15.618476705759804,20.292125318735337,22.90101927765888
gnn_st,post_covid,0.9265552073025052,0.8397246890644681,0.6763604164317504,11.76995377733706,17.196665393576048,23.069904662303447
gnn_st_noglobals,post_covid,0.9271406721407908,0.8398430202397765,0.6763604164317504,11.71102563590038,17.213823915384783,23.069904662303447
gnn_st_lagsonly,post_covid,0.9190589481889246,0.8377913768173223,0.6622995162364582,12.341626724100704,17.006633067920934,23.513445221191045
lstm,post_covid,0.8825059599776328,0.7313054707021698,0.5398373809968148,14.65650586441446,21.36077622544532,26.67021821403438
arima,post_covid,0.8712236712887145,0.7391811531787149,0.4671393845892341,15.506471404709275,21.55199951337875,28.91888666178037
dualtopo,post_covid,0.4168523709236908,0.3996247776025198,0.4047292216861419,28.914844930452,29.10429042120262,29.198965432643323
arima,exclude_covid,0.8766607902313506,0.4672462666945191,0.4213927008431701,15.159615406835664,42.76579877188139,30.627276467854937
lstm,exclude_covid,0.8845804122142087,0.7042745935402993,0.4604225991474561,15.438170947216635,25.137090153306172,31.55883772742187
gat,post_covid,0.6976273232860485,0.5203962121085944,0.3660289823287884,22.45003145615293,27.536838407802488,31.99203924323901
persistence,exclude_covid,0.8708879041331536,0.7063557895528015,0.3717877766009544,15.806117463890258,23.840083919229752,34.91012269624194
persistence,post_covid,0.8708879041331536,0.7063557895528015,0.3717877766009544,15.806117463890258,23.840083919229752,34.91012269624194
seasonal_naive,exclude_covid,0.4169008462052502,0.4169008462052502,0.4169008462052502,39.83540797917882,39.83540797917882,39.83540797917882
seasonal_naive,post_covid,0.4169008462052502,0.4169008462052502,0.4169008462052502,39.83540797917882,39.83540797917882,39.83540797917882
