model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,exclude_covid,overall,neighborhood,Allston/Brighton,1,48,10.11190944813729,70.03954066587882,6.682920395998899,0.8329652202088232,48,97.91666666666666
arima,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,9.192182779387643,94.10207746072373,5.906302885890071,0.6909225306501025,45,95.55555555555556
arima,exclude_covid,overall,neighborhood,Charlestown,1,34,16.59034705228347,95.32598868442031,9.768528800506383,0.6730707205480371,34,97.05882352941177
arima,exclude_covid,overall,neighborhood,Dorchester,1,48,21.106062566363384,50.9670557864977,13.274357839988681,0.9244713665096609,48,93.75
arima,exclude_covid,overall,neighborhood,East Boston,1,43,7.815059858191609,114.06931496842336,5.957189675005555,0.8024960478900969,43,97.67441860465115
arima,exclude_covid,overall,neighborhood,Fenway,1,42,3.8993275403471945,87.65025880347129,2.8074954702763826,0.710872210987799,42,100.0
arima,exclude_covid,overall,neighborhood,Hyde Park,1,45,11.487428713246022,84.2816237641207,7.551064950411204,0.8299228312676635,45,97.77777777777777
arima,exclude_covid,overall,neighborhood,Jamaica Plain,1,45,7.64167940077169,90.88539508516273,4.932658311678649,0.8366012145821387,45,95.55555555555556
arima,exclude_covid,overall,neighborhood,Mattapan,1,46,12.868033478316923,90.19755015884463,8.8748789812805,0.8325970514617289,46,97.82608695652173
arima,exclude_covid,overall,neighborhood,Roslindale,1,41,22.652376836561242,101.29465160407428,14.719916405556493,0.8174859432015236,41,90.2439024390244
arima,exclude_covid,overall,neighborhood,Roxbury,1,48,28.283006218631876,96.0350333887067,17.9238666095131,0.8350577146005278,48,89.58333333333334
arima,exclude_covid,overall,neighborhood,South Boston,1,41,8.287980353349484,81.68607666007348,5.511696168780941,0.7835069961769519,41,97.5609756097561
arima,exclude_covid,overall,neighborhood,South End,1,48,16.899478984871617,60.4351720141155,9.674903150157434,0.8614186228787266,48,95.83333333333334
arima,exclude_covid,overall,neighborhood,West Roxbury,1,40,14.370970981160983,87.62570274821856,8.496545572124521,0.6674051945475212,40,95.0
arima,exclude_covid,overall,macro,AVERAGE,1,614,13.657560300830031,86.0425315566237,8.720166086940628,0.7927709761079501,614,95.8097449543991
arima,exclude_covid,overall,pooled,ALL,1,614,15.2673968443181,85.37409792788891,8.785094131948645,0.8753349420202906,614,95.76547231270358
arima,exclude_covid,overall,neighborhood,Allston/Brighton,2,48,14.243286535688867,90.22450773147935,8.59366807273413,0.6313533474903475,48,95.83333333333334
arima,exclude_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,9.547247567191437,106.45125976240814,6.1990574878515075,0.6459242035822428,45,97.77777777777777
arima,exclude_covid,overall,neighborhood,Charlestown,2,34,19.97935139340656,109.7614387106711,12.624184051271952,0.44351410867155266,34,94.11764705882352
arima,exclude_covid,overall,neighborhood,Dorchester,2,48,37.283104692802276,81.9602201146423,22.64435333136031,0.7524811468290201,48,93.75
arima,exclude_covid,overall,neighborhood,East Boston,2,43,10.067392150199723,130.82104249508305,7.122659526015176,0.635158016490708,43,95.34883720930233
arima,exclude_covid,overall,neighborhood,Fenway,2,42,4.523082044707183,116.2184108574835,3.4759466068950085,0.6148608407307413,42,100.0
arima,exclude_covid,overall,neighborhood,Hyde Park,2,45,17.054354084136826,122.66667725065771,10.802227190942535,0.5801439235387515,45,95.55555555555556
arima,exclude_covid,overall,neighborhood,Jamaica Plain,2,45,10.725281617142736,136.21781670466268,7.10801811880708,0.6390762304253214,45,97.77777777777777
arima,exclude_covid,overall,neighborhood,Mattapan,2,46,17.865336127760703,117.77131515148191,11.511066950922308,0.65344680013329,46,93.47826086956522
arima,exclude_covid,overall,neighborhood,Roslindale,2,41,32.620750922434276,123.43584062370607,22.35662860370987,0.5608508157014515,41,87.8048780487805
arima,exclude_covid,overall,neighborhood,Roxbury,2,48,39.168759438689534,107.00862796895017,24.27562702176478,0.6639080572903651,48,91.66666666666666
