model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,post_covid,overall,neighborhood,Allston/Brighton,1,48,10.157861404141443,73.34681994441313,6.771896729622218,0.831734250445219,48,100.0
arima,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,9.871519077066555,69.06230393023084,6.224444444444442,0.6926688027853546,45,97.77777777777777
arima,post_covid,overall,neighborhood,Charlestown,1,34,17.265346354167754,84.5697101526214,10.172348747193647,0.6317888202086437,34,97.05882352941177
arima,post_covid,overall,neighborhood,Dorchester,1,48,20.48597654464917,56.160963348813766,14.184797514200909,0.9307848637874336,48,97.91666666666666
arima,post_covid,overall,neighborhood,East Boston,1,43,7.844922352029236,116.03493839586714,6.079672937882447,0.8012574894182738,43,97.67441860465115
arima,post_covid,overall,neighborhood,Fenway,1,42,3.9169164783445884,91.11153565509174,2.860153012482791,0.7089741900802959,42,100.0
arima,post_covid,overall,neighborhood,Hyde Park,1,45,11.544537166065826,90.9291548122481,7.717915308916997,0.8294614789785079,45,97.77777777777777
arima,post_covid,overall,neighborhood,Jamaica Plain,1,45,7.944781655625002,58.68370257944879,4.8311111111111105,0.8372357413160022,45,97.77777777777777
arima,post_covid,overall,neighborhood,Mattapan,1,46,12.000603608331058,94.9053277272521,8.53741916695317,0.8572643389400665,46,97.82608695652173
arima,post_covid,overall,neighborhood,Roslindale,1,41,25.27526460424734,107.74744806614085,16.618644879088663,0.785860799145409,41,82.92682926829268
arima,post_covid,overall,neighborhood,Roxbury,1,48,28.912183850411576,79.59450090334174,18.78125,0.8367465723372411,48,91.66666666666666
arima,post_covid,overall,neighborhood,South Boston,1,41,7.911459739384715,81.87132207430837,5.274646832287606,0.8060564493700594,41,97.5609756097561
arima,post_covid,overall,neighborhood,South End,1,48,16.91658809055006,74.7362433849354,10.081681738373945,0.8519558566918273,48,97.91666666666666
arima,post_covid,overall,neighborhood,West Roxbury,1,40,14.359029029097405,83.00433798729232,8.523588769186007,0.6765867744356584,40,95.0
arima,post_covid,overall,macro,AVERAGE,1,614,13.886213568150838,82.98273635442898,9.04711222798171,0.7913126019957136,614,96.34860480728334
arima,post_covid,overall,pooled,ALL,1,614,15.590264501719078,82.4370956805015,9.112133955892906,0.8718556914979984,614,96.41693811074919
arima,post_covid,overall,neighborhood,Allston/Brighton,2,48,14.164238655758188,99.54518016510492,9.011510431963355,0.6364955343707163,48,95.83333333333334
arima,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,10.535601021721014,53.09644455629966,5.584444444444444,0.6492005976365959,45,97.77777777777777
arima,post_covid,overall,neighborhood,Charlestown,2,34,21.07300896036968,95.49653829795739,12.41457272266297,0.3573384077081813,34,94.11764705882352
arima,post_covid,overall,neighborhood,Dorchester,2,48,35.925230899961974,95.86243317355282,23.816192759573863,0.7760836408638527,48,93.75
arima,post_covid,overall,neighborhood,East Boston,2,43,10.169236476606,136.5384445343406,7.464909592509828,0.6270119927208705,43,95.34883720930233
arima,post_covid,overall,neighborhood,Fenway,2,42,4.575745729077197,121.71039354770966,3.591887868023651,0.612636304644709,42,100.0
arima,post_covid,overall,neighborhood,Hyde Park,2,45,17.024310351933334,132.7901154209329,10.966526859056936,0.5862137042063312,45,97.77777777777777
arima,post_covid,overall,neighborhood,Jamaica Plain,2,45,11.786640271463659,93.09474222125199,7.320000000000002,0.6409648795898581,45,97.77777777777777
arima,post_covid,overall,neighborhood,Mattapan,2,46,17.59626673226739,129.95587259122127,12.238037269494061,0.6601156589431296,46,95.65217391304348
arima,post_covid,overall,neighborhood,Roslindale,2,41,34.43621207561938,129.85004095551048,23.64246328375524,0.589469436134146,41,82.92682926829268
arima,post_covid,overall,neighborhood,Roxbury,2,48,41.95867758878966,60.64714543269969,23.743749999999995,0.6548097346942375,48,91.66666666666666
arima,post_covid,overall,neighborhood,South Boston,2,41,8.337301878453424,97.79296450477483,5.918330784257671,0.7804016060709233,41,100.0
arima,post_covid,overall,neighborhood,South End,2,48,22.66774013930734,101.36572990188213,14.74603873990489,0.7142459614287504,48,95.83333333333334
arima,post_covid,overall,neighborhood,West Roxbury,2,39,18.775321530404813,93.87267892864378,10.628463603002002,0.40226321502839874,39,92.3076923076923
arima,post_covid,overall,macro,AVERAGE,2,613,19.216109450838076,102.97276601656301,12.220509168474923,0.6205179052886214,613,95.05498903027294
arima,post_covid,overall,pooled,ALL,2,613,22.303088720080503,102.6306392212778,12.366772509909582,0.7284484993188107,613,95.10603588907016
arima,post_covid,flu_season,neighborhood,Allston/Brighton,1,26,13.077143101634366,51.0141073718556,9.518911272476203,0.7938870695552142,26,100.0
arima,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,12.565336935701021,51.43785487014447,8.600000000000001,0.5936698941501479,26,96.15384615384616
arima,post_covid,flu_season,neighborhood,Charlestown,1,21,21.375419802290928,86.8810995839614,13.295181725913116,0.592547838276475,21,95.23809523809523
arima,post_covid,flu_season,neighborhood,Dorchester,1,26,25.34207327743623,21.401119297979264,17.016384423783474,0.9210282237817358,26,100.0
arima,post_covid,flu_season,neighborhood,East Boston,1,25,9.429917506219857,115.90234228458706,7.672856960407861,0.7827844718353931,25,96.0
arima,post_covid,flu_season,neighborhood,Fenway,1,25,4.275762599145815,43.92115422948523,3.030984955759112,0.6268785784684576,25,100.0
arima,post_covid,flu_season,neighborhood,Hyde Park,1,25,14.364452532604288,57.48479437912562,9.779480782042919,0.8081886970848307,25,96.0
arima,post_covid,flu_season,neighborhood,Jamaica Plain,1,24,10.581449963654949,64.7541645586887,7.429166666666667,0.8010201643337072,24,95.83333333333334
arima,post_covid,flu_season,neighborhood,Mattapan,1,26,14.832380212771325,59.11206554082764,10.855039716247743,0.8319845048728445,26,96.15384615384616
arima,post_covid,flu_season,neighborhood,Roslindale,1,26,30.47999887039705,102.62246980121871,20.642522441502155,0.7728035084803107,26,73.07692307692307
arima,post_covid,flu_season,neighborhood,Roxbury,1,26,36.817470769271395,48.89371545832289,23.98461538461538,0.8063788608583425,26,88.46153846153845
arima,post_covid,flu_season,neighborhood,South Boston,1,25,9.30151798286904,74.44367220424274,6.0454965095281405,0.7882510528272378,25,96.0
arima,post_covid,flu_season,neighborhood,South End,1,26,21.416604985237207,48.56487172214882,12.098353092557478,0.8303424838030958,26,96.15384615384616
arima,post_covid,flu_season,neighborhood,West Roxbury,1,25,17.709850216414022,77.15205489009959,10.817201140894129,0.6475774945934083,25,92.0
arima,post_covid,flu_season,macro,AVERAGE,1,352,17.25495562540339,64.54182044233484,11.484728219456741,0.7569530602086572,352,94.36224489795919
arima,post_covid,flu_season,pooled,ALL,1,352,19.395539877045795,64.0920590795033,11.539093209007735,0.8662414110107342,352,94.31818181818183
arima,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,18.284124300108527,62.51474763157672,12.201011941306843,0.551924603592422,26,92.3076923076923
