model,variant,Corr_h01,Corr_h02,Corr_h04,RMSE_h01,RMSE_h02,RMSE_h04
persistence,post_covid,0.948486003258976,0.930980912093767,0.8603379027250646,23.50509837149921,27.206003839388863,38.80034537959694
arima,post_covid,0.9368564198231784,0.9072388725402863,0.8536885275010113,25.766711640858816,31.056555675456423,38.85361974403693
gnn_st_nodemo,post_covid,0.9513895966098536,0.9326510140452128,0.8637911000538925,23.16053190852129,27.46725066456352,39.071640490573785
gnn_st,post_covid,0.9528213050452558,0.9339287242956424,0.8619423892551974,22.811315384976325,27.219883397275225,39.55645076692864
gat,post_covid,0.8266188383664523,0.7806019658358261,0.7842773490345428,43.93668091458165,48.52091475333117,45.50982430078348
xgboost,post_covid,0.763533949555549,0.7053772262162119,0.6956391734328223,48.83401072156408,53.02968116370461,53.7626854014861
xgboost_nodemo,post_covid,0.7333397021065996,0.693765324392485,0.6833347521605646,50.788944414526,53.680220188928594,54.494974391973344
seasonal_naive,post_covid,0.6450619008961003,0.645027520348896,0.6449463854775348,57.41295566837836,57.41596189585695,57.423062010643264
lstm,post_covid,0.5608678196389092,0.5122422155060153,0.4945218125653877,61.44389562211008,63.90007763179739,64.80070259006872
dualtopo,post_covid,0.8045927461214384,0.5912629579926615,0.4811712800878387,44.91434072690499,59.89365833466823,66.11997505078806
