model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
gnn_st,post_covid,ALMIRANTE BROWN,100.0,96.29629629629628,98.1132075471698,0.683312064533975,0.7072526672340611,0.8331914872439583,4.035304583035982,3.618304217303241,3.822870434455152,18.83013592553541,38.97501298780001,29.092620466689077,5.985177303196092,5.056968271915718,5.531812098446339,blend,train,15726,,2.0
persistence,post_covid,ALMIRANTE BROWN,100.0,96.29629629629628,98.1132075471698,0.6411559816826804,0.7006797712683478,0.8068045904447055,4.353687237685412,3.736464262397572,4.03925289178406,18.867232376874195,40.08067703837067,29.67408154405165,5.893983617685117,5.260210848502688,5.5801200461035245,level,none,0,,2.3333333333333335
arima,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.6437097733252116,0.6759302867293094,0.7729182108256534,4.451724711323223,5.862194554400809,5.170265952136333,18.663414233907172,91.63618447781806,55.838221716654225,5.360056497873312,6.807419361422915,6.140172732730536,level,none,,,2.3333333333333335
gat,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.6344527566235326,0.373645435121111,0.7424177571219781,4.1149128400362445,5.89481187749792,5.021653859120495,17.938256341854483,77.28614898644862,48.172088443817536,5.5655905564791235,6.845337777439675,6.250364947921892,level,,8129,,3.3333333333333335
dualtopo,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.6807842813787787,0.2870309885745589,0.7484189276360026,4.971193827115572,5.555711887500904,5.268967178632629,21.847108824377923,87.0894415529206,55.08376889363552,6.229401352876785,6.895385317119761,6.577108121366468,level,train,479905,,5.0
lstm,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.5850570207793959,0.4047672520857535,0.7318774700878606,8.690427198769802,7.094934844142697,7.877629206789957,39.75762255812375,60.78745673625825,50.470934309248875,9.931615115521176,8.186932565593498,9.08477868535597,level,train,22995,,6.666666666666667
xgboost,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.4678463995482341,0.5239598132090793,0.732204041982051,11.23655505087484,5.470478575348726,8.29911986522946,48.298053922326666,52.41227312869137,50.393976914248306,12.65021145802075,7.1806450240567745,10.235794572589535,climatology,,,,6.666666666666667
xgboost_nodemo,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.3845161065407511,0.590217549304332,0.6887172153873927,12.708625552302776,6.128505852275892,9.356489101345684,53.65250452142254,53.34582444740244,53.49627127616701,15.18587652424758,7.743848403559423,11.986624676114058,climatology,,,,7.666666666666667
seasonal_naive,post_covid,ALMIRANTE BROWN,100.0,100.0,100.0,0.5764899171188307,0.257802955633925,0.6898715911119276,12.857188141502991,8.479873978559915,10.627235643399914,51.66292515585186,70.03390988538469,61.02172869731197,16.08225696060215,9.737134733182655,13.235552549603582,level,none,0,,9.0
gnn_st,post_covid,AVELLANEDA,96.15384615384616,96.29629629629628,96.22641509433964,0.7608392203093366,0.761150514653521,0.8902861410428335,25.32325803316557,16.422585098831743,20.788952953410597,14.798724119902316,16.04564654450929,15.433948751305868,32.78495370902247,20.7947864169942,27.341863599422098,blend,train,15726,,2.0
