model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_st,post_covid,flu_season,pooled,ALL,1,494,29.884154067499345,72.65494436147024,13.891621190285392,0.9464476697057486,486.0,94.33198380566802,blend,train,15726,,0.8907402295810702,0.948587120585364,0.9384715641693429,1.0,3.0,1.0,1.0
persistence,post_covid,flu_season,pooled,ALL,1,494,31.21770799308847,42.6776365235726,14.824429737858624,0.9403773178043308,486.0,93.31983805668015,level,none,0,,,,,2.0,1.0,2.0,2.0
arima,post_covid,flu_season,pooled,ALL,1,494,32.7443787036919,55.398229513523624,17.689516216216035,0.936104558897104,486.0,87.24696356275304,level,none,,,,,,3.0,2.0,3.0,3.0
dualtopo,post_covid,flu_season,pooled,ALL,1,494,53.59982554609102,163.2674608192972,24.86942702652472,0.8263185390702785,486.0,81.57894736842105,level,train,479905,,0.6485163875358605,0.8617544002541115,0.7604616789556771,4.0,9.0,4.0,4.0
gat,post_covid,flu_season,pooled,ALL,1,494,57.11315862147199,112.31729283718552,26.58467201981317,0.80874989498495,486.0,82.99595141700405,level,,8129,,0.6009285237085162,0.8204859530097621,0.7217545118802037,5.0,5.0,5.0,5.0
xgboost,post_covid,flu_season,pooled,ALL,1,494,62.22615616954124,88.43177132976122,28.124960869457965,0.7448834874753718,486.0,94.33198380566802,climatology,,,,0.5262771871678922,0.8715650835993516,0.6622313842183069,6.0,4.0,6.0,6.0
xgboost_nodemo,post_covid,flu_season,pooled,ALL,1,494,63.85639600459224,113.5363552808152,28.650701060104662,0.722807732552792,486.0,92.3076923076923,climatology,,,,0.5011302647256051,0.8749443376295483,0.638626133995449,7.0,6.0,7.0,7.0
seasonal_naive,post_covid,flu_season,pooled,ALL,1,494,73.42066266775345,119.4146504208274,33.90016265618543,0.6153873277170464,486.0,92.10526315789474,level,none,0,,,,,8.0,7.0,9.0,8.0
lstm,post_covid,flu_season,pooled,ALL,1,494,79.81695825656702,158.37059147983467,33.24112071720095,0.5031695092802349,486.0,91.7004048582996,level,train,22995,,,,,9.0,8.0,8.0,9.0
persistence,post_covid,off_season,pooled,ALL,1,498,11.568232869791638,43.58064691350022,6.594101870215054,0.9629804186569892,494.0,95.98393574297188,level,none,0,,,,,1.0,1.0,1.0,1.0
gnn_st,post_covid,off_season,pooled,ALL,1,498,12.27367841363614,51.19422941175117,6.607734172997705,0.9607581564179092,494.0,97.79116465863451,blend,train,15726,,0.916352124991569,0.9407580911730112,0.9528508155792772,2.0,2.0,2.0,2.0
arima,post_covid,off_season,pooled,ALL,1,498,16.091358092976847,67.62069280628562,9.936678659527118,0.9338650456085168,494.0,94.17670682730925,level,none,,,,,,3.0,3.0,3.0,3.0
gat,post_covid,off_season,pooled,ALL,1,498,24.691002369815468,97.44134431437084,13.757067767416975,0.8271184607098043,494.0,89.7590361445783,level,,8129,,0.6614811341056137,0.7880620054596978,0.7731284813322313,4.0,5.0,5.0,4.0
xgboost,post_covid,off_season,pooled,ALL,1,498,30.155814559845332,86.19945842086165,12.641820283891889,0.7286620450368603,494.0,96.3855421686747,climatology,,,,0.4950509487020904,0.8774014268082341,0.6253006323509597,5.0,4.0,4.0,5.0
xgboost_nodemo,post_covid,off_season,pooled,ALL,1,498,33.06701605412392,104.17601317752636,14.095096621174084,0.6399185299913724,494.0,94.77911646586344,climatology,,,,0.3928507749237839,0.8458002978977769,0.5453130864992031,6.0,6.0,6.0,6.0
dualtopo,post_covid,off_season,pooled,ALL,1,498,34.183729231995805,154.23868055272476,16.68501269290725,0.5976809384564068,494.0,82.93172690763052,level,train,479905,,0.3511499917197631,0.7269774522247989,0.5330434563173774,7.0,9.0,8.0,8.0
lstm,post_covid,off_season,pooled,ALL,1,498,34.65262378823609,122.28288714086742,15.335624397141007,0.5864950109646153,494.0,94.97991967871486,level,train,22995,,,,,8.0,8.0,7.0,9.0
seasonal_naive,post_covid,off_season,pooled,ALL,1,498,34.9102178257667,117.71044746205057,17.11427537488752,0.6153663519113909,494.0,96.78714859437753,level,none,0,,,,,9.0,7.0,9.0,7.0
gnn_st,post_covid,overall,pooled,ALL,1,992,22.811315384976325,61.8369921317139,10.234992425558309,0.9528213050452558,980.0,96.06854838709675,blend,train,15726,,0.9030135139236456,0.9548137862497011,0.9456695155604122,1.0,3.0,1.0,1.0
persistence,post_covid,overall,pooled,ALL,1,992,23.50509837149921,43.13282747522999,10.692672401077878,0.948486003258976,980.0,94.65725806451611,level,none,0,,,,,2.0,1.0,2.0,2.0
arima,post_covid,overall,pooled,ALL,1,992,25.766711640858816,61.5593487651812,13.797466716991154,0.9368564198231784,980.0,90.7258064516129,level,none,,,,,,3.0,2.0,3.0,3.0
gat,post_covid,overall,pooled,ALL,1,992,43.93668091458165,104.8186004185422,20.1450077882675,0.8266188383664523,980.0,86.39112903225806,level,,8129,,0.640196782754154,0.8300188610275786,0.7509667682033464,4.0,5.0,4.0,4.0
dualtopo,post_covid,overall,pooled,ALL,1,992,44.91434072690499,158.7162185216576,20.760719024365947,0.8045927461214384,980.0,82.25806451612904,level,train,479905,,0.6240062649203137,0.8164974536936096,0.7440603150396549,5.0,9.0,6.0,5.0
xgboost,post_covid,overall,pooled,ALL,1,992,48.83401072156408,87.30650339405062,20.35217456742983,0.763533949555549,980.0,95.36290322580643,climatology,,,,0.5555167955764249,0.8921953990010942,0.6860137670703926,6.0,4.0,5.0,6.0
xgboost_nodemo,post_covid,overall,pooled,ALL,1,992,50.788944414526,108.81797875119815,21.34355286394798,0.7333397021065996,980.0,93.5483870967742,climatology,,,,0.5192171806119172,0.8763528887193245,0.6575655725483395,7.0,6.0,7.0,7.0
seasonal_naive,post_covid,overall,pooled,ALL,1,992,57.41295566837836,118.55559301099504,25.473376500856443,0.6450619008961003,980.0,94.45564516129032,level,none,0,,,,,8.0,7.0,9.0,8.0
lstm,post_covid,overall,pooled,ALL,1,992,61.44389562211008,140.17944255794708,24.252272766203113,0.5608678196389092,980.0,93.34677419354838,level,train,22995,,,,,9.0,8.0,8.0,9.0
