model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,1,citywide,CITYWIDE,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8867924528301887,0.9811320754716981,0.6633733239237827,-0.1320754716981132,False
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.5,IT50,77.06642887231719,53,8.0,0.1509433962264151,4.0,0.0,4.0,45.0,0.5,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.6293706293706294,0.6776309271789385,0.9245283018867925,0.5,0.049119747759868375,0.12815948736205057,0.6167295237292494,,,,,False
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.9,IT90,97.46007981062509,53,3.0,0.05660377358490566,1.0,0.0,2.0,50.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.4854368932038835,0.5661385170722979,0.9622641509433962,0.3333333333333333,0.03349868852159904,0.05339978640085441,0.37268122628552214,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.98,IT98,113.25281678189309,53,1.0,0.018867924528301886,0.0,0.0,1.0,52.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9811320754716981,0.0,0.013121570610237113,0.018511925952296185,0.2911828491508449,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7692307692307693,0.9615384615384616,0.6309148264984227,-0.2692307692307692,False
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.5,IT50,77.06642887231719,26,8.0,0.3076923076923077,4.0,0.0,4.0,18.0,0.5,0.0,1.0,0.0,0.5,0.6666666666666666,0.5,0.5806451612903226,0.6396021490668313,0.8461538461538461,0.5,0.10005978784803049,0.21301775147928986,0.5302748848245233,,,,,False
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.9,IT90,97.46007981062509,26,3.0,0.11538461538461539,1.0,0.0,2.0,23.0,0.3333333333333333,0.0,1.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.46938775510204084,0.5537749241945383,0.9230769230769231,0.3333333333333333,0.06828578128809457,0.10207100591715977,0.3309972731775084,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.98,IT98,113.25281678189309,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.026747817012847362,0.036982248520710054,0.2767390279726072,,,,,True
arima,post_covid,arima,1,pooled,ALL,overall,,bands,,992,,,,,,,,,,,,,,,,,,,,,0.9022177419354839,0.9858870967741935,0.6885435489700036,-0.06149193548387097,False
arima,post_covid,arima,1,pooled,ALL,overall,0.5,IT50,,992,143.0,0.14415322580645162,89.0,20.0,54.0,829.0,0.6223776223776224,0.1834862385321101,0.8165137614678899,0.023557126030624265,0.5460122699386503,0.7063492063492064,0.5988204963469981,0.6645125908322289,0.6725505311200476,0.9254032258064516,0.7622377622377622,0.05739209553148824,0.12337307329604581,0.5348085769593316,,,,,False
arima,post_covid,arima,1,pooled,ALL,overall,0.9,IT90,,992,37.0,0.037298387096774195,14.0,4.0,23.0,951.0,0.3783783783783784,0.2222222222222222,0.7777777777777778,0.004188481675392671,0.34146341463414637,0.509090909090909,0.37418989670298575,0.49680619222965355,0.5312254511356054,0.9727822580645161,0.4864864864864865,0.01902679924523362,0.03590721741675338,0.4701121219057145,,,,,False
arima,post_covid,arima,1,pooled,ALL,overall,0.98,IT98,,992,12.0,0.012096774193548387,3.0,1.0,9.0,979.0,0.25,0.25,0.75,0.0010204081632653062,0.23076923076923078,0.375,0.24897959183673468,0.3711967545638945,0.42949582204998277,0.9899193548387096,0.3333333333333333,0.007711297691760626,0.011950442247658686,0.354727002402659,,,,,False
arima,post_covid,arima,1,pooled,ALL,flu_season,,bands,,494,,,,,,,,,,,,,,,,,,,,,0.8259109311740891,0.9736842105263158,0.6724103173508473,-0.11133603238866396,False
arima,post_covid,arima,1,pooled,ALL,flu_season,0.5,IT50,,494,130.0,0.2631578947368421,83.0,17.0,47.0,347.0,0.6384615384615384,0.17,0.83,0.046703296703296704,0.564625850340136,0.7217391304347827,0.5917582417582417,0.6391691394658754,0.648512829865657,0.8704453441295547,0.7692307692307693,0.10022535628889837,0.19390581717451527,0.4831235197101099,,,,,False
