indicator,level,label,threshold,band_at_or_above,reference_seasons,values_per_season,n_pooled,geometric_mean,log_sd,use_t,fitted_through,underpowered
ALMIRANTE BROWN,0.5,IT50,45.51198712694632,moderate,2022-23 2023-24 2024-25,10,30,45.51198712694632,0.19892214656387106,True,2024-11-03,False
ALMIRANTE BROWN,0.9,IT90,59.3327355509796,high,2022-23 2023-24 2024-25,10,30,45.51198712694632,0.19892214656387106,True,2024-11-03,False
ALMIRANTE BROWN,0.98,IT98,70.30154029606965,very high,2022-23 2023-24 2024-25,10,30,45.51198712694632,0.19892214656387106,True,2024-11-03,False
AVELLANEDA,0.5,IT50,245.84106655843968,moderate,2022-23 2023-24 2024-25,10,30,245.84106655843968,0.3162813481234067,True,2024-11-03,False
AVELLANEDA,0.9,IT90,374.7741671132419,high,2022-23 2023-24 2024-25,10,30,245.84106655843968,0.3162813481234067,True,2024-11-03,False
AVELLANEDA,0.98,IT98,490.7992503428019,very high,2022-23 2023-24 2024-25,10,30,245.84106655843968,0.3162813481234067,True,2024-11-03,False
EZEIZA,0.5,IT50,139.80229436412165,moderate,2022-23 2023-24 2024-25,10,30,139.80229436412165,0.1905405585887266,True,2024-11-03,False
EZEIZA,0.9,IT90,180.23131160603506,high,2022-23 2023-24 2024-25,10,30,139.80229436412165,0.1905405585887266,True,2024-11-03,False
EZEIZA,0.98,IT98,212.02965427114694,very high,2022-23 2023-24 2024-25,10,30,139.80229436412165,0.1905405585887266,True,2024-11-03,False
FLORENCIO VARELA,0.5,IT50,92.52865090835965,moderate,2022-23 2023-24 2024-25,10,30,92.52865090835965,0.25044755226081833,True,2024-11-03,False
FLORENCIO VARELA,0.9,IT90,129.20404508235538,high,2022-23 2023-24 2024-25,10,30,92.52865090835965,0.25044755226081833,True,2024-11-03,False
FLORENCIO VARELA,0.98,IT98,159.96645580277627,very high,2022-23 2023-24 2024-25,10,30,92.52865090835965,0.25044755226081833,True,2024-11-03,False
GENERAL SAN MARTÍN,0.5,IT50,77.94711365203958,moderate,2022-23 2023-24 2024-25,10,30,77.94711365203958,0.32057217460027215,True,2024-11-03,False
GENERAL SAN MARTÍN,0.9,IT90,119.50868958439348,high,2022-23 2023-24 2024-25,10,30,77.94711365203958,0.32057217460027215,True,2024-11-03,False
