model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gat,post_covid,overall,neighborhood,ALMIRANTE BROWN,1,53,6.250364947921893,48.172088443817536,5.021653859120495,0.7424177571219782,53.0,0.5070548168424592,0.7412142045719841,0.7413592735779456,100.0
gat,post_covid,overall,neighborhood,AVELLANEDA,1,53,38.682468302742144,20.0851460594803,29.127424995854216,0.8482643664532536,53.0,0.5275454246484717,0.8235531277501315,0.7480402164893192,90.56603773584906
gat,post_covid,overall,neighborhood,EZEIZA,1,53,24.68959214772608,36.70596446684313,20.472266862977225,0.8819278500820168,53.0,0.658448978430761,0.9036771257507988,0.7598266640553536,100.0
gat,post_covid,overall,neighborhood,FLORENCIO VARELA,1,53,20.12826455372149,26.72824129831729,14.937901370930222,0.8722965215457822,53.0,0.5577932940428436,0.8536467369757101,0.7137249966121396,94.33962264150944
gat,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,1,53,26.30210757082894,52.427548127634374,19.91364408888907,0.1573276980529822,52.0,-0.4330420992996475,0.1111178310670343,0.0902132496666787,79.24528301886792
gat,post_covid,overall,neighborhood,JOSÉ C. PAZ,1,53,164.71983981671,49.853013772573426,123.240882522655,0.6064354215829693,53.0,-0.2852265357015053,0.7877676087570051,0.3873880345793496,24.528301886792452
gat,post_covid,overall,neighborhood,LA MATANZA,1,53,10.0623967547732,31.778431466706387,7.806745628141007,0.8612097424593915,53.0,0.3418990916227993,0.8430028632421066,0.6292908397028212,98.1132075471698
gat,post_covid,overall,neighborhood,LANÚS,1,53,21.459845301551873,19.455701341734912,14.70509122452646,0.8928501674844136,53.0,0.6378146805839391,0.8983368628463686,0.7579564921383112,96.22641509433964
gat,post_covid,overall,neighborhood,LOMAS DE ZAMORA,1,41,2.559424271473556,725.5905872845897,2.381575915871597,-0.0583802112242448,37.0,-32.45190856333855,-0.1343879869721324,-0.006357810516391,100.0
gat,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,1,53,36.59672830565094,85.45953875369342,18.562733606488074,0.6607975133442697,53.0,0.1043038843807041,0.7995321785046788,0.2580022931216906,75.47169811320755
gat,post_covid,overall,neighborhood,MERLO,1,53,36.44210716114249,256.7195646062395,30.841837226219894,0.6807216433936536,52.0,-5.838063785513908,0.6941795597444446,0.2840581407386259,81.13207547169812
gat,post_covid,overall,neighborhood,MORENO,1,53,27.247536682173298,37.48129091035587,20.244966057111633,0.8412641473702455,53.0,0.679265650294909,0.8723592968875987,0.7939221634187277,96.22641509433964
gat,post_covid,overall,neighborhood,MORÓN,1,53,6.581883110897044,32.110666890271375,4.988449699473831,0.823895581759732,53.0,0.5991754265080897,0.8465416972267001,0.8051484664014718,100.0
gat,post_covid,overall,neighborhood,QUILMES,1,53,5.874967147379454,19.812551590904327,3.9125083257567206,0.8251976382591943,53.0,0.6124581227448764,0.8020402894328966,0.797188433424464,98.1132075471698
gat,post_covid,overall,neighborhood,SAN ISIDRO,1,50,6.29786905906393,425.8702003725502,4.6432134713977575,0.5485797860798386,45.0,0.1827482395482884,0.3146552114093002,0.5087103307164671,98.0
gat,post_covid,overall,neighborhood,SAN MIGUEL,1,53,19.757920672511094,48.57972122992222,15.468262492485769,0.8634670843063591,53.0,0.3635392339919803,0.8214328918501449,0.5211008867951127,90.56603773584906
gat,post_covid,overall,neighborhood,TIGRE,1,53,9.74110208483328,84.6514222116416,5.794777552193066,0.6462779525982263,53.0,0.1363120652059195,0.5654176639185281,0.4346949460092517,41.509433962264154
