model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
persistence,post_covid,overall,neighborhood,ALMIRANTE BROWN,1,53,5.5801200461035245,29.67408154405165,4.03925289178406,0.8068045904447055,53,98.1132075471698
persistence,post_covid,overall,neighborhood,AVELLANEDA,1,53,30.350608870065663,17.387206791575426,24.60939894238105,0.8535392048658931,53,94.33962264150944
persistence,post_covid,overall,neighborhood,EZEIZA,1,53,16.654107825949872,17.5956684180324,13.108512358939535,0.9221317096235936,53,100.0
persistence,post_covid,overall,neighborhood,FLORENCIO VARELA,1,53,13.855655883605724,20.225370580152937,10.208677763770512,0.8952925063855999,53,100.0
persistence,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,1,53,17.62251976215744,36.98743559280304,12.476204540065284,0.678164882876282,52,86.79245283018868
persistence,post_covid,overall,neighborhood,JOSÉ C. PAZ,1,53,82.5632831410951,17.265687787704397,48.20382196183206,0.8387211478378915,53,75.47169811320755
persistence,post_covid,overall,neighborhood,LA MATANZA,1,53,5.856806753144627,17.981632521848567,4.070252183787133,0.8877591835847074,53,100.0
persistence,post_covid,overall,neighborhood,LANÚS,1,53,17.134893127061765,17.851647269092354,12.770404207835911,0.8871628653322493,53,98.1132075471698
persistence,post_covid,overall,neighborhood,LOMAS DE ZAMORA,1,41,0.6235392039363562,117.94070044070044,0.5086599354001882,0.008410857652606,37,90.2439024390244
persistence,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,1,53,21.912144019870873,108.8535740624816,10.502685878977424,0.8394245260242659,53,90.56603773584906
persistence,post_covid,overall,neighborhood,MERLO,1,53,8.86656092526383,44.67102045258062,6.510805118386846,0.7966991496480396,52,94.33962264150944
persistence,post_covid,overall,neighborhood,MORENO,1,53,15.606583981508487,21.143909666374544,11.57338632899384,0.947535495877204,53,98.1132075471698
persistence,post_covid,overall,neighborhood,MORÓN,1,53,6.910160187396846,33.480057563805985,5.5603984321727395,0.7774612722668978,53,100.0
persistence,post_covid,overall,neighborhood,QUILMES,1,53,5.595546420018982,20.5230929000474,3.9440301607493153,0.8269220289440953,53,98.1132075471698
persistence,post_covid,overall,neighborhood,SAN ISIDRO,1,50,5.658803372306672,194.55777638444624,3.202346593470174,0.6700958051107874,45,84.0
persistence,post_covid,overall,neighborhood,SAN MIGUEL,1,53,8.742007379791799,22.512067826727613,6.173882583196081,0.9381918244667552,53,96.22641509433964
persistence,post_covid,overall,neighborhood,TIGRE,1,53,3.7837727627285807,46.92669079496475,2.245834725898616,0.9347111736268676,53,100.0
persistence,post_covid,overall,neighborhood,TRES DE FEBRERO,1,53,14.642526385480956,23.171862823933974,10.776460562713616,0.7925762288558142,53,100.0
persistence,post_covid,overall,neighborhood,VICENTE LÓPEZ,1,53,15.71972086867033,56.3773111262958,9.945965600861983,0.7276378737863234,52,92.45283018867924
persistence,post_covid,overall,macro,AVERAGE,1,992,15.667334785060916,45.53298918671683,10.548998987958758,0.7910127540637146,980,94.57291641436773
persistence,post_covid,overall,pooled,ALL,1,992,23.50509837149921,43.13282747522999,10.692672401077878,0.948486003258976,980,94.65725806451611
