model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
dualtopo,post_covid,overall,neighborhood,ALMIRANTE BROWN,2,53,8.446686224357551,55.10227861704262,6.6993880181942345,0.6876031752345358,53.0,0.09975524765894084,0.669879243041717,0.6398494355030747,100.0
dualtopo,post_covid,overall,neighborhood,AVELLANEDA,2,53,35.11053995481524,15.394832768428651,23.922221057819872,0.8479983645156213,53.0,0.6107696298211974,0.8871731813845226,0.8348934515115378,94.33962264150944
dualtopo,post_covid,overall,neighborhood,EZEIZA,2,53,16.672437437605097,22.908871995799522,13.81438942675321,0.9269326426339533,53.0,0.8442507550633088,0.9366986563798936,0.9056847043433339,100.0
dualtopo,post_covid,overall,neighborhood,FLORENCIO VARELA,2,53,19.02571235401697,38.98135698097348,14.796227437145305,0.7912654454856882,53.0,0.6049113865892428,0.7370479383485078,0.787484046413203,100.0
dualtopo,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,2,53,14.457291152245347,35.2228325719586,10.232768832512622,0.7543186686050527,52.0,0.56703608256778,0.747908478335808,0.7335200777535971,98.11320754716981
dualtopo,post_covid,overall,neighborhood,JOSÉ C. PAZ,2,53,237.77929118089813,77.47991920661845,195.0046666703134,0.3730628409596075,53.0,-1.6781562880100949,0.46571819947879617,0.12222709016734662,3.7735849056603774
dualtopo,post_covid,overall,neighborhood,LA MATANZA,2,53,17.577970178914466,65.73566380281855,15.203943306545042,0.7522614123455247,53.0,-1.0082929436667274,0.7460538253708284,0.2662780431215377,49.056603773584904
dualtopo,post_covid,overall,neighborhood,LANÚS,2,53,31.484157090785548,51.62677091963279,20.960540123705595,0.5941556280612167,53.0,0.22041798677516533,0.5127305724526399,0.5406717250381387,90.56603773584906
dualtopo,post_covid,overall,neighborhood,LOMAS DE ZAMORA,2,41,3.824382495919104,1088.8326078712796,3.619782040758831,0.03496942524554786,37.0,-73.68940097602366,0.11659231746440711,0.0024647147817430455,100.0
dualtopo,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,2,53,38.11760924337781,119.92869305281087,22.723903548042728,0.44326983998448416,53.0,0.028310579166932914,0.4307774455126987,0.3037207199520383,30.18867924528302
dualtopo,post_covid,overall,neighborhood,MERLO,2,53,25.666545911581633,146.42305105649186,20.911257509915334,0.8230433323578581,52.0,-2.3920405881185833,0.6855910231374762,0.49605023046999003,92.45283018867924
dualtopo,post_covid,overall,neighborhood,MORENO,2,53,35.479279797052186,41.41284671669271,27.224936251370412,0.8271386173113002,53.0,0.4561982848516174,0.842928559909692,0.6892293855100501,75.47169811320755
dualtopo,post_covid,overall,neighborhood,MORÓN,2,53,9.387780541720089,45.69047254641642,7.935864664473623,0.7117704002351128,53.0,0.1845828045092336,0.7656382839519617,0.6355558520204582,90.56603773584906
dualtopo,post_covid,overall,neighborhood,QUILMES,2,53,9.193980121278178,49.63330336833203,8.032864966482487,0.4926417121211663,53.0,0.05089365953793301,0.513296108012708,0.4424017776505389,100.0
dualtopo,post_covid,overall,neighborhood,SAN ISIDRO,2,50,14.546125401360067,1454.5284962515414,12.892312736511231,0.6473408498249648,45.0,-3.35976685799141,0.061176262184526126,0.27573802466767267,100.0
