model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st,post_covid,overall,neighborhood,ALMIRANTE BROWN,2,53,7.1245046426737035,39.5524527436741,5.4460777561619595,0.7143608142537131,53.0,0.3595322950234803,0.7128657150548684,0.7082162470160401,92.45283018867924
gnn_st,post_covid,overall,neighborhood,AVELLANEDA,2,53,35.38953031789679,18.72679194862807,26.604468867463886,0.7983347620145237,53.0,0.6045593637753481,0.7886790172344482,0.7977002130566925,94.33962264150944
gnn_st,post_covid,overall,neighborhood,EZEIZA,2,53,13.467012175015961,15.817768571510566,10.401412963867186,0.9487790535302885,53.0,0.8983820870448537,0.938593664853114,0.9444853951554755,100.0
gnn_st,post_covid,overall,neighborhood,FLORENCIO VARELA,2,53,14.05484994590374,18.050114699750036,9.852006660317475,0.8922780127802628,53.0,0.7843918927217082,0.9261379679341158,0.8774435352204479,94.33962264150944
gnn_st,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,2,53,14.400983738725657,30.530229338557795,9.926122251546607,0.773666447989875,52.0,0.5704020816560911,0.7431912119225849,0.7705059815453116,96.22641509433963
gnn_st,post_covid,overall,neighborhood,JOSÉ C. PAZ,2,53,97.73468362439195,22.936561117158664,66.34949428630325,0.8254429853971296,53.0,0.547534647600727,0.8903178988645496,0.74977748615916,60.37735849056604
gnn_st,post_covid,overall,neighborhood,LA MATANZA,2,53,7.580752048913705,21.358993893804797,5.49173481959217,0.8393844736013458,53.0,0.6264797167275813,0.8607426527981125,0.7869308274317967,100.0
gnn_st,post_covid,overall,neighborhood,LANÚS,2,53,15.890029782793718,17.32341966823853,11.870351035639924,0.8971025787322464,53.0,0.8014238432858241,0.9141820397728362,0.8961453085625501,100.0
gnn_st,post_covid,overall,neighborhood,LOMAS DE ZAMORA,2,41,1.394298659024246,371.9837889101149,1.1600005866550818,0.040133663748235404,37.0,-8.927684524810239,0.0054351305885663465,0.012319860658504734,100.0
gnn_st,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,2,53,27.11924277763194,97.83694359026728,13.596902690968424,0.7278142438298371,53.0,0.5081515787401686,0.7944737047486571,0.6986804035868547,83.01886792452831
gnn_st,post_covid,overall,neighborhood,MERLO,2,53,9.262436343911158,52.43327743266,6.872053186848478,0.8057486402758035,52.0,0.5582498800985483,0.8240156530516654,0.7869387125187928,98.11320754716981
gnn_st,post_covid,overall,neighborhood,MORENO,2,53,22.344363004910658,25.220664746640036,14.545266511305323,0.9099153270579698,53.0,0.7843115281804844,0.9206579583938074,0.8722972428823436,92.45283018867924
gnn_st,post_covid,overall,neighborhood,MORÓN,2,53,7.133960897733882,29.593804155194363,5.104804794743376,0.7400355468622613,53.0,0.529114354091404,0.76696919753026,0.7175030756471845,96.22641509433963
gnn_st,post_covid,overall,neighborhood,QUILMES,2,53,5.976518446577733,20.194834985338797,3.915712887386106,0.8071604737707574,53.0,0.5989446695316756,0.8078063022723166,0.8053995185766885,98.11320754716981
gnn_st,post_covid,overall,neighborhood,SAN ISIDRO,2,50,6.912099687943072,378.6143556194893,4.656148972511292,0.4878586663755134,45.0,0.015561484085944044,0.29696278570266427,0.4544952222029082,94.0
gnn_st,post_covid,overall,neighborhood,SAN MIGUEL,2,53,12.034294487518006,28.496366642942654,8.1063545694891,0.8975233844474464,53.0,0.7638812655171456,0.9060597515730002,0.8523169417898941,94.33962264150944
gnn_st,post_covid,overall,neighborhood,TIGRE,2,53,5.376968621868318,70.60460874165749,3.3200663395647734,0.8675214542577343,53.0,0.7368425607034064,0.8805348893631169,0.830286092288045,98.11320754716981
gnn_st,post_covid,overall,neighborhood,TRES DE FEBRERO,2,53,12.972743962758548,21.210140230809767,9.389890112966862,0.8254747883080985,53.0,0.6732582571610755,0.862591729278213,0.8222882837960024,96.22641509433963
gnn_st,post_covid,overall,neighborhood,VICENTE LÓPEZ,2,53,17.905203021675334,97.4194006769083,11.720261321877533,0.7252703030062475,52.0,0.2881803720322872,0.6694761729829293,0.6766412280452594,88.67924528301887
gnn_st,post_covid,overall,macro,AVERAGE,2,992,17.582867167782535,72.52129040596554,12.017322663958359,0.7644108221178573,980.0,0.0906061764825008,0.7636680759957803,0.7400195566389448,93.52730883813308
gnn_st,post_covid,overall,pooled,ALL,2,992,27.219883397275222,65.1713276161647,12.170922851460356,0.9339287242956424,980.0,0.8619033677689938,0.9388293757329994,0.9193294734044282,93.44758064516128
gnn_st,post_covid,overall,cross_week,ALL,2,53,,,,,,,0.9129627287272577,0.9192811250634103,
gnn_st,post_covid,flu_season,neighborhood,ALMIRANTE BROWN,2,26,6.9609675190644875,24.82737959457215,5.4688543906578655,0.49957952211033047,26.0,-0.0058254364435568196,0.45725036873775304,0.42046277907239504,100.0
gnn_st,post_covid,flu_season,neighborhood,AVELLANEDA,2,26,42.082582932674036,19.825364708300576,34.39899033766527,0.5284086370634218,26.0,0.17244138672865883,0.39487179487179486,0.5177976386773503,92.3076923076923
gnn_st,post_covid,flu_season,neighborhood,EZEIZA,2,26,14.373045979272302,9.63756849153556,11.122396322397082,0.8584927376591356,26.0,0.7143421763484425,0.8393162393162392,0.8295966506496106,100.0
gnn_st,post_covid,flu_season,neighborhood,FLORENCIO VARELA,2,26,18.46482108848427,17.569303677554593,13.994616581843447,0.7454694447039205,26.0,0.5260062609878524,0.7515814779019859,0.7028022575023142,92.3076923076923
gnn_st,post_covid,flu_season,neighborhood,GENERAL SAN MARTÍN,2,26,18.18491199080929,33.460680699562936,13.13264509347769,0.6432805727793218,25.0,0.3675207599189434,0.6704273504273504,0.6344279757964502,96.15384615384616
gnn_st,post_covid,flu_season,neighborhood,JOSÉ C. PAZ,2,26,126.3916130320516,23.269344698108846,92.9914773794321,0.6133596222903984,26.0,0.06830394822887231,0.6608547008547008,0.5144277918475358,50.0
gnn_st,post_covid,flu_season,neighborhood,LA MATANZA,2,26,9.81123341881409,23.471804832875957,7.947169523972732,0.5721602134659033,26.0,0.12939863686920472,0.617199530306226,0.48469177733566554,100.0
gnn_st,post_covid,flu_season,neighborhood,LANÚS,2,26,19.557633881685508,15.112661183998267,15.131150465745192,0.7343290757478929,26.0,0.5325011830835549,0.7591041314569649,0.7193347198055278,100.0
gnn_st,post_covid,flu_season,neighborhood,LOMAS DE ZAMORA,2,26,1.6224407607572386,454.25149068545556,1.410214703816634,0.0024880309761663457,23.0,-10.822362854188203,-0.09852160285210135,0.000579449680102844,100.0
