model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,post_covid,overall,neighborhood,ALMIRANTE BROWN,2,53,11.485637865264614,64.03673059010451,9.7930073918567,0.6237460005461936,53.0,100.0
lstm,post_covid,overall,neighborhood,AVELLANEDA,2,53,49.65416451879519,28.23666329057283,39.66206905944905,0.6525037986878057,53.0,90.56603773584906
lstm,post_covid,overall,neighborhood,EZEIZA,2,53,32.53645218856316,32.15000757760973,24.783352534909604,0.7215694919120853,53.0,96.22641509433963
lstm,post_covid,overall,neighborhood,FLORENCIO VARELA,2,53,19.799419739106213,21.803805871697747,12.721331705509229,0.8029745094761865,53.0,100.0
lstm,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,2,53,17.524792635021107,43.809162137708675,13.083961507809066,0.6572336043877557,52.0,100.0
lstm,post_covid,overall,neighborhood,JOSÉ C. PAZ,2,53,255.77846997416546,82.1314737333164,214.66809378447638,0.3208920478567467,53.0,9.433962264150944
lstm,post_covid,overall,neighborhood,LA MATANZA,2,53,13.637714117608098,47.87631622325236,11.31940722684981,0.7518885917857371,53.0,100.0
lstm,post_covid,overall,neighborhood,LANÚS,2,53,27.979332401298613,26.525932624023795,18.885445631267103,0.6203401505086465,53.0,98.11320754716981
lstm,post_covid,overall,neighborhood,LOMAS DE ZAMORA,2,41,3.6661589465828226,1030.6777273761763,3.5299525481596774,0.13231863254696036,37.0,100.0
lstm,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,2,53,42.38811811484251,72.82357527958034,20.549766316592688,0.40153892544603614,53.0,86.79245283018868
lstm,post_covid,overall,neighborhood,MERLO,2,53,13.295475058131357,110.20500943426958,11.539579520941858,0.7894322241249531,52.0,100.0
lstm,post_covid,overall,neighborhood,MORENO,2,53,23.407547580117782,31.170719251352097,16.40772129567553,0.8821887831674614,53.0,100.0
lstm,post_covid,overall,neighborhood,MORÓN,2,53,6.103927176319611,28.24380694131946,4.697052320900362,0.8177862240768107,53.0,100.0
