model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xgboost,post_covid,overall,neighborhood,ALMIRANTE BROWN,2,53,10.605430966525152,50.24104332991496,8.332639922067287,0.7258375461651824,53.0,-0.41920303369317313,0.7214549444533687,0.61004653111671,100.0
xgboost,post_covid,overall,neighborhood,AVELLANEDA,2,53,40.71280392683059,19.6280544023374,29.396819763118195,0.83068808706645,53.0,0.47664819558341887,0.8551615701134793,0.803823464078429,98.11320754716981
xgboost,post_covid,overall,neighborhood,EZEIZA,2,53,15.608469763376316,16.045588836251483,12.448538779848084,0.9315400853176533,53.0,0.8634950436671087,0.9387146228407663,0.926803120908933,100.0
xgboost,post_covid,overall,neighborhood,FLORENCIO VARELA,2,53,14.445024763503724,23.23036928122146,11.463971898482367,0.8822612365977957,53.0,0.7722547950377048,0.8699350892044064,0.8814256282886951,100.0
xgboost,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,2,53,13.129513124934546,33.18268336047565,10.390384212040361,0.8507999364156961,52.0,0.6429121350662954,0.816812822781948,0.8340260776135686,100.0
xgboost,post_covid,overall,neighborhood,JOSÉ C. PAZ,2,53,212.11941578101008,69.82602479343483,182.51347972443494,0.8055483177569602,53.0,-1.131320441946977,0.7101417140153138,0.21191778743238493,9.433962264150944
xgboost,post_covid,overall,neighborhood,LA MATANZA,2,53,9.811670183022066,28.634621397081055,7.149365992997465,0.7358338873071247,53.0,0.37428655282386725,0.6997540625773591,0.6801635530924738,100.0
xgboost,post_covid,overall,neighborhood,LANÚS,2,53,18.99518041789448,18.843487435700023,12.813231616579811,0.8821623922530036,53.0,0.7162312779512949,0.9087390400652711,0.8705680090074575,100.0
xgboost,post_covid,overall,neighborhood,LOMAS DE ZAMORA,2,41,3.777081197851609,544.8548556720377,1.8663875842372208,-0.12885988119325664,37.0,-71.85326014473311,-0.06041316412317271,-0.029227650900203458,100.0
xgboost,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,2,53,37.723193009360514,126.28564689866747,18.687756094575747,0.5986498033358787,53.0,0.048315370748704844,0.6540541583546446,0.18505881939913568,83.01886792452831
xgboost,post_covid,overall,neighborhood,MERLO,2,53,19.710502378783644,118.21793541560717,14.780046322232083,0.8015550452501751,52.0,-1.0004218555120263,0.8132497409668741,0.5682727821084467,100.0
xgboost,post_covid,overall,neighborhood,MORENO,2,53,36.737122050131255,46.16984171593801,27.24410264511832,0.6899594114036534,53.0,0.4169561226664882,0.8407514916948879,0.6717837836344261,92.45283018867924
xgboost,post_covid,overall,neighborhood,MORÓN,2,53,7.328460380960345,40.56669242733875,5.996122245194666,0.75091749409839,53.0,0.5030879922994659,0.6924783678600496,0.7477873439683643,100.0
xgboost,post_covid,overall,neighborhood,QUILMES,2,53,7.698683749795959,30.355607289671934,5.892434338895786,0.721026234057132,53.0,0.33451124100103635,0.7324449176787777,0.7113992132080029,100.0
xgboost,post_covid,overall,neighborhood,SAN ISIDRO,2,50,9.7090419160196,657.4501429179973,7.45679912529952,0.2855840459345091,45.0,-0.9423225982779,0.07659358220093794,0.25501602464939416,100.0
xgboost,post_covid,overall,neighborhood,SAN MIGUEL,2,53,19.581416261839138,46.557983479330524,14.285677258746494,0.7260618534983445,53.0,0.37485987272504395,0.785509817999233,0.5019986896359139,96.22641509433963
xgboost,post_covid,overall,neighborhood,TIGRE,2,53,6.80269598740745,233.35565721958028,5.752542969940481,0.8239695681361373,53.0,0.5787860236670079,0.662631058970695,0.746166894413682,100.0
xgboost,post_covid,overall,neighborhood,TRES DE FEBRERO,2,53,13.68867106021564,25.13197070999393,10.568114809846135,0.8100352746434952,53.0,0.6361993230705956,0.8313039298054686,0.8067882679539022,100.0
xgboost,post_covid,overall,neighborhood,VICENTE LÓPEZ,2,53,28.236630072951154,190.24867611966934,22.909608311485954,0.6902803461555376,52.0,-0.7702605374031288,0.6652417896226975,0.47363561404146304,96.22641509433963
xgboost,post_covid,overall,macro,AVERAGE,2,992,27.706368789074382,122.04352014222363,21.576211769217945,0.7059921412736769,980.0,-3.6514865613293845,0.695503134583316,0.6030238922974304,93.44587884806357
xgboost,post_covid,overall,pooled,ALL,2,992,53.02968116370461,110.79479250431316,21.85733689840295,0.7053772262162119,980.0,0.47585843807644135,0.8628069439187488,0.6230190502226371,93.34677419354838
xgboost,post_covid,overall,cross_week,ALL,2,53,,,,,,,0.8339151770926176,0.590451823327101,
xgboost,post_covid,flu_season,neighborhood,ALMIRANTE BROWN,2,26,13.279825138333345,48.318300758713875,10.908632061579187,0.480282071872932,26.0,-2.660733493680776,0.4394665099685958,0.2518663404224045,100.0
xgboost,post_covid,flu_season,neighborhood,AVELLANEDA,2,26,53.80844132466569,25.364177358877683,43.66778529680209,0.6238461367139153,26.0,-0.3529906993468013,0.5569230769230769,0.5657954479592822,96.15384615384616
xgboost,post_covid,flu_season,neighborhood,EZEIZA,2,26,19.723516020261023,14.092654918199951,16.594558171979745,0.7687729510125125,26.0,0.4620806491110673,0.7087179487179487,0.7473929542262739,100.0
xgboost,post_covid,flu_season,neighborhood,FLORENCIO VARELA,2,26,18.02679128569687,21.304317645556107,15.521815349601553,0.7476555173488417,26.0,0.5482280546293061,0.6814840243215003,0.7293510451981464,100.0
xgboost,post_covid,flu_season,neighborhood,GENERAL SAN MARTÍN,2,26,15.727504627134925,34.33249473532588,12.931686776755303,0.7988110307587448,25.0,0.5269102797743292,0.7641025641025642,0.7609805765332454,100.0
xgboost,post_covid,flu_season,neighborhood,JOSÉ C. PAZ,2,26,267.74307581345164,67.89998955101908,246.3585594032227,0.6919635549945925,26.0,-3.1809429226387484,0.79008547008547,0.1026398505282933,0.0
xgboost,post_covid,flu_season,neighborhood,LA MATANZA,2,26,12.621137406917244,33.61562658425008,10.491830853921645,0.49016713095655257,26.0,-0.4406852720482113,0.44452043733966407,0.4190524437447243,100.0
xgboost,post_covid,flu_season,neighborhood,LANÚS,2,26,22.046610481668672,14.786520976226896,14.496478281312616,0.7469255428081479,26.0,0.4059383043358469,0.8056078079786528,0.7325969886077537,100.0
xgboost,post_covid,flu_season,neighborhood,LOMAS DE ZAMORA,2,26,3.5776369693903933,356.18473130920194,1.557531570522457,-0.07065035718622203,23.0,-56.48560769393401,-0.00987183690247134,-0.018376516901723424,100.0
