model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,post_covid,overall,neighborhood,ALMIRANTE BROWN,4,53,9.239111449980689,81.7744569214376,6.948216600174662,0.3322178695529312,53.0,100.0
arima,post_covid,overall,neighborhood,AVELLANEDA,4,53,50.16574012841928,32.47127299747174,40.276269661165976,0.47351568181153786,53.0,90.56603773584906
arima,post_covid,overall,neighborhood,EZEIZA,4,53,42.25446407708268,63.14605344591651,37.07838900617941,,53.0,84.90566037735849
arima,post_covid,overall,neighborhood,FLORENCIO VARELA,4,53,31.21658095223318,53.7175804236947,23.84561689709344,,53.0,83.01886792452831
arima,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,4,53,20.95980826678964,66.76617521645933,16.698992851655802,0.3714846412145222,52.0,90.56603773584906
arima,post_covid,overall,neighborhood,JOSÉ C. PAZ,4,53,130.18233317016072,35.88360176265773,91.57021231414842,0.5874513049576374,53.0,67.9245283018868
arima,post_covid,overall,neighborhood,LA MATANZA,4,53,9.514181717986324,29.089058628857522,7.000912883976464,0.6752566694597985,53.0,98.11320754716981
arima,post_covid,overall,neighborhood,LANÚS,4,53,30.86764605268569,34.89409883490994,23.80976509187468,0.6746367197198414,53.0,86.79245283018868
arima,post_covid,overall,neighborhood,LOMAS DE ZAMORA,4,41,0.6570950435796474,117.43233493233491,0.5227893780501934,-0.1059439991496488,37.0,92.6829268292683
arima,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,4,53,41.44146541200563,227.04569470821934,22.78532317582751,0.3516608428444531,53.0,81.13207547169812
arima,post_covid,overall,neighborhood,MERLO,4,53,15.927867026172578,185.02741732106878,13.938814601617622,0.6195277417611589,52.0,98.11320754716981
arima,post_covid,overall,neighborhood,MORENO,4,53,30.4970521516163,53.279256029357505,23.467473720302582,0.7839584124371679,53.0,92.45283018867924
arima,post_covid,overall,neighborhood,MORÓN,4,53,9.041879164032782,46.00119191754624,7.0258309825700245,0.5297879754398638,53.0,98.11320754716981
arima,post_covid,overall,neighborhood,QUILMES,4,53,7.775760490697411,29.07739184058236,5.777036722510342,0.6624016650156441,53.0,96.22641509433963
arima,post_covid,overall,neighborhood,SAN ISIDRO,4,50,8.914568503390411,620.1475513515572,6.195132425287288,0.0033251689520445915,45.0,86.0
arima,post_covid,overall,neighborhood,SAN MIGUEL,4,53,18.215024293958468,56.06261504452114,14.363727170106397,0.7776348468548571,53.0,94.33962264150944
arima,post_covid,overall,neighborhood,TIGRE,4,53,8.27735308543947,103.66711027848321,5.312868641670891,0.7077973836488359,53.0,92.45283018867924
