model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gat,post_covid,overall,neighborhood,ALMIRANTE BROWN,4,53,9.604133289652317,65.19909250032619,7.881914210769366,0.7370068629447302,53.0,-0.1638693856735456,0.7173821173676949,0.6366806815001339,100.0
gat,post_covid,overall,neighborhood,AVELLANEDA,4,53,37.990582068019314,23.29556112139749,30.933914760373675,0.7876387405903746,53.0,0.5442952058103525,0.783074969417477,0.7826273017238159,96.22641509433963
gat,post_covid,overall,neighborhood,EZEIZA,4,53,23.976398354845948,31.259711324832075,19.816538324895895,0.9470102204481157,53.0,0.6778963425253657,0.9474639172809539,0.8703092585495129,100.0
gat,post_covid,overall,neighborhood,FLORENCIO VARELA,4,53,21.124112109275007,29.94396378015134,15.657352483497476,0.7569075650657191,53.0,0.5129544408335136,0.8161512726868795,0.6770807759656544,98.11320754716981
gat,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,4,53,24.122088188282618,64.98830742983425,18.50608940844266,0.7000896089266341,52.0,-0.20533467731958033,0.6335248474442347,0.6066655043203956,98.11320754716981
gat,post_covid,overall,neighborhood,JOSÉ C. PAZ,4,53,166.44668451458222,64.22236922500619,136.82282041364684,0.7489202576346189,53.0,-0.31231521167066334,0.8231261518093679,0.5301487190383465,24.528301886792452
gat,post_covid,overall,neighborhood,LA MATANZA,4,53,9.939206716303053,42.02564856704113,8.51299434337976,0.8820575806408817,53.0,0.35791421880550356,0.8343345569817856,0.7361171594054412,96.22641509433963
gat,post_covid,overall,neighborhood,LANÚS,4,53,20.015715031234638,31.937171722207353,16.583459710175138,0.8540610897643816,53.0,0.6849206863806393,0.8716863235374753,0.8297230979665134,100.0
gat,post_covid,overall,neighborhood,LOMAS DE ZAMORA,4,41,4.568441783610462,1238.1769854202591,4.015844036893147,-0.1325898010875953,37.0,-105.57922713302749,-0.17182025731596837,-0.011802843607309758,100.0
gat,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,4,53,38.33791174837436,84.13675852614956,20.669443259823996,0.5431304540313399,53.0,0.017046291855191575,0.6759935890502033,0.22483937622320938,67.9245283018868
gat,post_covid,overall,neighborhood,MERLO,4,53,42.45089106791292,167.27756968092774,31.396415379812133,0.7975217842835107,52.0,-8.278971147865139,0.8163141953430693,0.33532194584509073,86.79245283018868
gat,post_covid,overall,neighborhood,MORENO,4,53,25.519747546247235,35.26544478049928,20.733504817170918,0.9045392127482115,53.0,0.7186520854517617,0.9233188195452346,0.8856110819034144,98.11320754716981
gat,post_covid,overall,neighborhood,MORÓN,4,53,9.0879121986424,41.55007625251365,7.347777191198097,0.7597498472624701,53.0,0.23584360213694888,0.7839080976176928,0.7270956082808189,98.11320754716981
gat,post_covid,overall,neighborhood,QUILMES,4,53,8.394485563422805,37.12136181669422,6.977588905478424,0.761078681028357,53.0,0.2087824252515469,0.7780085156406285,0.7022955442585009,100.0
gat,post_covid,overall,neighborhood,SAN ISIDRO,4,50,17.468272534140432,1833.778820416771,13.937890195846558,-0.02566544415691767,45.0,-5.287363213459176,-0.09106537373252155,-0.011991256394328197,100.0
