model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
seasonal_naive,post_covid,overall,neighborhood,ALMIRANTE BROWN,4,53,13.235552549603582,61.02172869731197,10.627235643399914,0.6898715911119275,53,100.0
seasonal_naive,post_covid,overall,neighborhood,AVELLANEDA,4,53,46.153116848283545,26.00662675530108,35.40488621310015,0.8579315789269352,53,96.22641509433964
seasonal_naive,post_covid,overall,neighborhood,EZEIZA,4,53,28.076820059598525,28.828498802591035,21.441780929979664,0.7821828942643598,53,100.0
seasonal_naive,post_covid,overall,neighborhood,FLORENCIO VARELA,4,53,21.98117258784023,32.4426734863797,17.09934521936096,0.811143529227178,53,100.0
seasonal_naive,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,4,53,24.468348223579753,62.57959456993076,17.52699429344519,0.7979736560850518,52,100.0
seasonal_naive,post_covid,overall,neighborhood,JOSÉ C. PAZ,4,53,218.78532710261712,68.04324427833926,167.31700088906453,0.3187389547359668,53,33.9622641509434
seasonal_naive,post_covid,overall,neighborhood,LA MATANZA,4,53,11.544948028342857,48.37473749315429,9.945064814615844,0.7543932766926517,53,100.0
seasonal_naive,post_covid,overall,neighborhood,LANÚS,4,53,23.020896982466073,22.95410867007063,16.623613933582693,0.8200039585568063,53,100.0
seasonal_naive,post_covid,overall,neighborhood,LOMAS DE ZAMORA,4,41,3.277524401426605,739.5657345657345,2.3172285946008575,-0.0991574309478711,37,100.0
seasonal_naive,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,4,53,41.0560261889182,95.3013194395364,20.16063728920512,0.3888589945601289,53,84.90566037735849
seasonal_naive,post_covid,overall,neighborhood,MERLO,4,53,26.50713694685609,241.782700731758,20.67909446556299,0.233667557571844,52,100.0
seasonal_naive,post_covid,overall,neighborhood,MORENO,4,53,41.06603373328139,62.099192938935154,32.406790557635006,0.5926816188706437,53,98.1132075471698
seasonal_naive,post_covid,overall,neighborhood,MORÓN,4,53,14.587492124490344,51.899456029414225,9.69081734951417,0.7197654948123406,53,100.0
seasonal_naive,post_covid,overall,neighborhood,QUILMES,4,53,8.570545161986608,29.64498755774201,6.535651187827795,0.6301780213356097,53,100.0
seasonal_naive,post_covid,overall,neighborhood,SAN ISIDRO,4,50,9.93195713680822,391.77941835068634,5.79247986760046,0.440723745255904,45,100.0
seasonal_naive,post_covid,overall,neighborhood,SAN MIGUEL,4,53,26.908160336938227,60.24410501396971,19.37084349523231,0.1829422618744332,53,98.1132075471698
seasonal_naive,post_covid,overall,neighborhood,TIGRE,4,53,10.36634381569913,102.64273420882849,5.901648396252376,0.3322890030208055,53,100.0
seasonal_naive,post_covid,overall,neighborhood,TRES DE FEBRERO,4,53,23.032810549998356,43.26089941905987,16.97292538627394,0.7519544983231299,53,100.0
seasonal_naive,post_covid,overall,neighborhood,VICENTE LÓPEZ,4,53,56.45797494674105,318.0312215195206,41.99630502030635,0.6901921794611316,52,84.90566037735849
seasonal_naive,post_covid,overall,macro,AVERAGE,4,992,34.15937830134084,130.8685780278034,25.147912818240012,0.5629650201967883,980,94.5382323733863
seasonal_naive,post_covid,overall,pooled,ALL,4,992,57.423062010643264,118.5663035278771,25.482625025433148,0.6449463854775348,980,94.45564516129032
seasonal_naive,post_covid,flu_season,neighborhood,ALMIRANTE BROWN,4,27,9.737134733182655,70.03390988538469,8.479873978559915,0.2578029556339251,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,AVELLANEDA,4,27,35.83292221165263,29.289714377225195,28.79899330488904,0.5051100702635568,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,EZEIZA,4,27,18.915001135736382,33.61967097787726,14.483172226421978,0.5996978821464177,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,FLORENCIO VARELA,4,27,13.899048457548036,34.439372043538505,11.526675749239518,0.7310031757953086,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,GENERAL SAN MARTÍN,4,27,10.312276851719425,50.88181936622438,8.755353713823741,0.6503099233639257,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,JOSÉ C. PAZ,4,27,132.27431503606465,76.51418963734335,112.47302006708964,0.5098614430111833,27,40.74074074074074
seasonal_naive,post_covid,flu_season,neighborhood,LA MATANZA,4,27,9.866352224999655,58.37897744781154,8.657578663123818,-0.0208590977908391,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,LANÚS,4,27,15.55332102921302,23.12550603999136,10.27764990935996,0.468212413765175,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,LOMAS DE ZAMORA,4,15,1.928245984067067,320.61224489795916,1.496543467346387,0.1834916680627322,14,100.0
seasonal_naive,post_covid,flu_season,neighborhood,MALVINAS ARGENTINAS,4,27,4.394518605779679,120.57484753212944,3.189624889551317,0.4366808791653135,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,MERLO,4,27,21.355286860407237,319.0166964883329,18.17242849645345,-0.1807403081707801,26,100.0
seasonal_naive,post_covid,flu_season,neighborhood,MORENO,4,27,21.601292717337408,83.92946301994874,19.333211039533268,0.4618446536775091,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,MORÓN,4,27,7.423979582730992,51.91532097144537,5.748192702233218,0.0313503974054419,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,QUILMES,4,27,6.042386377450995,29.86397965212361,4.444039802925547,0.6231157261666482,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,SAN ISIDRO,4,24,13.862711339815824,611.9750778925476,9.712999777988577,0.3568499224093607,23,100.0
seasonal_naive,post_covid,flu_season,neighborhood,SAN MIGUEL,4,27,17.927232638531,80.31081394331912,13.954989246548845,-0.1524388084771031,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,TIGRE,4,27,1.93524445926379,104.63771310993532,1.5081677642730469,-0.1012860383300585,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,TRES DE FEBRERO,4,27,15.643563172894456,52.19917116183071,12.763466423235323,0.2554560259570135,27,100.0
seasonal_naive,post_covid,flu_season,neighborhood,VICENTE LÓPEZ,4,27,29.548505288522215,269.5667060198183,23.97147040763309,0.2910747520012173,26,100.0
seasonal_naive,post_covid,flu_season,macro,AVERAGE,4,498,20.423859931943007,127.41501023498876,16.723550085801563,0.3108704018976814,494,96.88109161793372
seasonal_naive,post_covid,flu_season,pooled,ALL,4,498,34.94331310817906,117.73169504614864,17.132698138702967,0.6146392555089174,494,96.78714859437753
seasonal_naive,post_covid,off_season,neighborhood,ALMIRANTE BROWN,4,26,16.08225696060215,51.66292515585186,12.857188141502991,0.5764899171188307,26,100.0
seasonal_naive,post_covid,off_season,neighborhood,AVELLANEDA,4,26,54.852209071596775,22.597266532533727,42.26485192547322,0.8103924933372472,26,92.3076923076923
seasonal_naive,post_covid,off_season,neighborhood,EZEIZA,4,26,35.14821828938701,23.853050774409184,28.66802842982804,0.632640080025906,26,100.0
seasonal_naive,post_covid,off_season,neighborhood,FLORENCIO VARELA,4,26,28.005602094215657,30.36917883086864,22.88634813064091,0.6029944961636613,26,100.0
seasonal_naive,post_covid,off_season,neighborhood,GENERAL SAN MARTÍN,4,26,33.31657070928316,75.21319178993369,26.636005664590535,0.7210168789390717,25,100.0
seasonal_naive,post_covid,off_season,neighborhood,JOSÉ C. PAZ,4,26,281.79006619379817,59.24649332860423,224.27036558880764,-0.2075747238434379,26,26.923076923076923
seasonal_naive,post_covid,off_season,neighborhood,LA MATANZA,4,26,13.06174133702478,37.98571907870251,11.282069664242185,0.5591751355660358,26,100.0
seasonal_naive,post_covid,off_season,neighborhood,LANÚS,4,26,28.79403886055251,22.776119093614493,23.213653497198603,0.7194682905231199,26,100.0
seasonal_naive,post_covid,off_season,neighborhood,LOMAS DE ZAMORA,4,26,3.846361045764596,994.5809021895976,2.7907007834015127,-0.1776155072468097,23,100.0
seasonal_naive,post_covid,off_season,neighborhood,MALVINAS ARGENTINAS,4,26,58.446305979395625,69.0557325741513,37.784380934999454,0.1146016245890631,26,69.23076923076923
