model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xgboost,post_covid,overall,neighborhood,ALMIRANTE BROWN,4,53,12.513902726907608,61.961437358461126,10.410800707616538,0.7102429311002613,53.0,-0.9759385654933512,0.7540983681676987,0.5662576009715923,100.0
xgboost,post_covid,overall,neighborhood,AVELLANEDA,4,53,40.90166081671477,21.275490200428276,31.63456962802099,0.8281833635121879,53.0,0.4717815281591091,0.8538311127180831,0.8017447271274448,100.0
xgboost,post_covid,overall,neighborhood,EZEIZA,4,53,15.498596187607816,16.079235830944935,12.392455416464951,0.9374971396788824,53.0,0.8654100934760436,0.9387952614992012,0.9292032593882597,100.0
xgboost,post_covid,overall,neighborhood,FLORENCIO VARELA,4,53,14.026163883503758,22.660378193302773,10.699142501935272,0.8892308906476634,53.0,0.7852711103411143,0.8788049839824095,0.8885619211794354,100.0
xgboost,post_covid,overall,neighborhood,GENERAL SAN MARTÍN,4,53,14.34267859638762,34.25941875347561,11.051470990159396,0.8175606693528201,52.0,0.5738736587214913,0.7831871801441008,0.807869201089408,100.0
xgboost,post_covid,overall,neighborhood,JOSÉ C. PAZ,4,53,213.67323554274833,74.27058244074296,187.62886798105563,0.8556135402340923,53.0,-1.1626595555052617,0.8368577017040916,0.2307069548173627,3.7735849056603774
xgboost,post_covid,overall,neighborhood,LA MATANZA,4,53,12.038062360463538,49.0214767376476,10.0406643188988,0.812029544086039,53.0,0.0581043658960402,0.793623074716968,0.6328433852744165,100.0
xgboost,post_covid,overall,neighborhood,LANÚS,4,53,16.7206382346706,19.14796221551426,12.679204132603768,0.9113853368933204,53.0,0.7801211889790289,0.9257937724823084,0.8976143107809892,100.0
xgboost,post_covid,overall,neighborhood,LOMAS DE ZAMORA,4,41,5.119108096611829,885.1766432295082,2.5589972346555,-0.1170437544868199,37.0,-132.82120904258528,-0.0596051710844103,-0.018987758736628,100.0
xgboost,post_covid,overall,neighborhood,MALVINAS ARGENTINAS,4,53,39.52909776804821,102.67394090314544,19.81361963009364,0.5945068683397804,53.0,-0.0449847858329472,0.6656975460227822,0.1525178933368419,83.01886792452831
xgboost,post_covid,overall,neighborhood,MERLO,4,53,23.093425585181773,123.90095812885038,16.568904236407217,0.7928837695969972,52.0,-1.7460151047931944,0.8182093184441375,0.5172480997898116,100.0
