model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_st_v2,post_covid,Agler/Cassidy,92.3076923076923,92.5925925925926,92.45283018867924,0.7656272614899821,0.7116558157776592,0.8548991093511294,9.12871349774874,6.47233247756958,7.775462789355584,24.49465396678243,61.50410621481326,43.34852586672266,12.02066302639269,7.954549415046102,10.154770188818752,blend,train,15734,69b537f,,,,1.0
gnn_st,post_covid,Agler/Cassidy,92.3076923076923,92.5925925925926,92.45283018867924,0.7655474646068567,0.709348717185566,0.854589047695999,9.148632232959454,6.49213010293466,7.795319827097766,24.5954681973737,61.6430103635073,43.46874439521535,12.02237179743495,7.979142394373829,10.165585928199745,blend,train,15734,,,,,2.0
lstm,post_covid,Agler/Cassidy,88.46153846153845,92.5925925925926,90.56603773584906,0.6635125393972987,0.51908442126474,0.7866436469664048,9.992257456914189,8.723015494800599,9.345662495082736,25.97032676001733,91.6137633073638,59.41132273696742,13.8809539664912,10.07407863569946,12.09229724276322,level,train,22353,,,,,3.6666666666666665
xgboost,post_covid,Agler/Cassidy,96.15384615384616,88.88888888888889,92.45283018867924,0.6615587250320698,0.5996995159703058,0.8019796853211698,10.866940524763349,7.693794507899058,9.250432176549465,26.42631754817753,60.26404955847163,43.66440744021416,14.885968972570817,9.533038176622917,12.449991993813075,climatology,,,,,,,4.0
persistence,post_covid,Agler/Cassidy,92.3076923076923,92.5925925925926,92.45283018867924,0.6521266147526322,0.5796844724452319,0.7697375449592251,10.402358498372267,7.968136560200978,9.162283171379348,26.517146246837324,77.14766714766714,52.310053120844955,15.437882758151794,10.580729210730802,13.188927068415696,level,none,0,,,,,5.333333333333333
gat,post_covid,Agler/Cassidy,76.92307692307693,66.66666666666666,71.69811320754717,0.3770874174477244,0.5635968025013127,0.6587499061140448,11.729939130636362,9.526332925867152,10.607347290470916,27.588233047919054,119.8773245423462,74.60343060168383,17.70549944887168,11.213495685962656,14.75948661194879,level,,8129,,,,,6.333333333333333
arima,post_covid,Agler/Cassidy,73.07692307692307,70.37037037037037,71.69811320754717,0.5178102232495841,0.4561451530371629,0.653024530210852,12.830613847429753,9.749522048567522,11.261001044235789,28.242784203460232,100.96033447485613,65.28757396436002,17.806041506585476,11.366169951566857,14.877840994227078,level,none,,,,,,7.333333333333333
dualtopo,post_covid,Agler/Cassidy,50.0,51.85185185185185,50.943396226415096,0.4538446587683907,0.3073032478636173,0.6584750169750431,18.18864444585947,12.443325855113844,15.261784031706036,37.83837432332277,152.01530672848563,96.00398139765102,24.427486001086805,13.926199482906236,19.786887093778837,level,train,479905,,,,,8.333333333333334
seasonal_naive,post_covid,Agler/Cassidy,96.15384615384616,96.29629629629628,96.22641509433964,0.2355696674350447,0.6197718227117702,0.5785993780517176,20.68650837744485,6.829831337315125,13.627446489076878,54.578153539824015,61.61816578483245,58.164574872186805,27.002843845186625,9.277012978186283,20.038497454991735,level,none,0,,,,,7.0
gnn_st,post_covid,Bexley,92.3076923076923,88.88888888888889,90.56603773584906,0.6642304703053876,0.3037139305289305,0.7165668012686103,6.910007366767297,4.274370988210042,5.567324683351337,66.2020196083127,50.66239001495758,59.07968937802494,8.274161479315651,6.017991903684096,7.213514007404831,blend,train,15734,,,,,2.3333333333333335
