model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
dualtopo,post_covid,overall,neighborhood,Agler/Cassidy,1,53,19.786887093778837,96.00398139765102,15.261784031706036,0.6584750169750431,53.0,-0.03654732260565008,0.7104009855463733,0.0017987358884819535,50.943396226415096
dualtopo,post_covid,overall,neighborhood,Bexley,1,53,10.408570669963545,75.98475276348879,7.781890122395642,0.5982389479106355,48.0,-0.015147018218526709,0.6352076863198314,0.0013829154179386825,67.9245283018868
dualtopo,post_covid,overall,neighborhood,Clintonville/Near North,1,53,7.155429812257766,76.30645202954118,5.1294607216457155,0.8335606083592423,53.0,-0.15328859664368388,0.8116814342969033,0.002205851131107705,69.81132075471697
dualtopo,post_covid,overall,neighborhood,Dublin,1,53,4.027255798610443,74.41111327198008,3.0427579654837555,0.6277512692554292,52.0,-0.2825082002393977,0.6400982104789604,0.001201346416493638,83.01886792452831
dualtopo,post_covid,overall,neighborhood,Eastside,1,53,19.653104567014775,66.8337123076587,14.001560858960422,0.6746608776320672,53.0,-0.07720470242687183,0.6863654238986101,0.0021135223364143487,62.264150943396224
dualtopo,post_covid,overall,neighborhood,Far East,1,53,25.14406191325022,45.188537682142325,17.86586531153265,0.7289386519184267,53.0,-0.04423356784101706,0.7403359915552643,0.002604160012198119,58.490566037735846
dualtopo,post_covid,overall,neighborhood,Far South,1,53,23.081929172605996,48.40963182123618,17.137157080308448,0.7455055105048832,52.0,-0.10529727065401451,0.7470540773214535,0.00301454235543261,54.71698113207547
dualtopo,post_covid,overall,neighborhood,Far Southeast,1,53,3.4802229639239917,76.71121385442302,2.735443538089968,0.31549540019997807,53.0,-0.015324995582513434,0.25569150650903233,0.0010128048955350172,90.56603773584906
dualtopo,post_covid,overall,neighborhood,Far Southwest,1,53,10.633954931882725,53.901953896558815,8.221946914240998,0.6556934078096407,53.0,-0.0026342872677946882,0.7059784975958625,0.0025439631961218906,66.0377358490566
dualtopo,post_covid,overall,neighborhood,Hilliard,1,53,8.304763243087216,115.72715742149337,6.741665183373217,0.6320738386309792,51.0,-0.023884489010757015,0.6053174515153648,0.0016587997569178353,62.264150943396224
