model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
gnn_st,post_covid,flu_season,pooled,ALL,2,442,10.320475430642784,2714980.4029676733,7.158014915917255,0.8933969910863739,441.0,94.79638009049772,blend,train,15734,,,,,0.7920780775023939,0.9147820639879158,0.883811971366219,1.0,8.0,1.0,1.0
gnn_st_v2,post_covid,flu_season,pooled,ALL,2,442,10.428047840992242,2659188.276784236,7.2248432763022,0.8922331754815719,441.0,94.57013574660633,blend,train,15734,69b537f,,,,0.7877210633997646,0.9137258910845656,0.8804701572768702,2.0,7.0,2.0,2.0
lstm,post_covid,flu_season,pooled,ALL,2,442,12.372686407489896,40.657213984755614,8.538235528539895,0.8408110308283886,440.0,93.21266968325791,level,train,22353,,,,,,,,3.0,2.0,3.0,4.0
gat,post_covid,flu_season,pooled,ALL,2,442,12.874806692470417,48.03517395529248,9.139098917197318,0.8531360312570542,440.0,85.29411764705883,level,,8129,,,,,0.6764195261797659,0.8900698030099791,0.8429178435748961,4.0,5.0,5.0,3.0
xgboost,post_covid,flu_season,pooled,ALL,2,442,12.8955128153541,2989536.401724065,8.859130485871532,0.8275568076536169,441.0,93.66515837104072,climatology,,,,,,,0.675377881000109,0.875930882708296,0.8066784746224256,5.0,9.0,4.0,5.0
arima,post_covid,flu_season,pooled,ALL,2,442,14.167717831596152,38.17114107502069,9.2143169534618,0.8077951051032694,440.0,85.97285067873304,level,none,,,0.00014088415528574583,0.00038131109793069,28.303558083018288,,,,6.0,1.0,6.0,6.0
persistence,post_covid,flu_season,pooled,ALL,2,442,14.305668556343466,45.99657945968813,9.821164417645493,0.8009970144204301,440.0,93.43891402714932,level,none,0,,7.84148068840472e-08,2.122342008321236e-07,0.01578966691158712,,,,7.0,4.0,7.0,7.0
dualtopo,post_covid,flu_season,pooled,ALL,2,442,17.436878325870378,41.65306442976397,11.515629391325003,0.7856045516489616,440.0,63.57466063348416,level,train,479905,,,,,0.4064759158280995,0.8377784028081152,0.6008261451073935,8.0,3.0,8.0,8.0
seasonal_naive,post_covid,flu_season,pooled,ALL,2,442,22.31927261219715,62.61985296594534,13.38437062499566,0.7116874707576226,440.0,98.19004524886876,level,none,0,,7.727352984933185e-08,2.0914526866464357e-07,0.015560207888484001,,,,9.0,6.0,9.0,9.0
gat,post_covid,off_season,pooled,ALL,2,459,6.050119577837223,50.09683695865043,4.305074278565534,0.8523520070210272,449.0,94.77124183006536,level,,8129,,,,,0.7254798608878656,0.8554051165889457,0.8374956200222259,1.0,1.0,1.0,2.0
gnn_st_v2,post_covid,off_season,pooled,ALL,2,459,6.305509691935715,2969803.87882541,4.509913516590019,0.8468146051814528,451.0,94.98910675381264,blend,train,15734,69b537f,,,,0.7018143841386605,0.8423273859259963,0.8243272614842849,2.0,8.0,2.0,3.0
gnn_st,post_covid,off_season,pooled,ALL,2,459,6.30845275173469,2965335.1748162066,4.513933277078184,0.8467911731561955,451.0,94.77124183006536,blend,train,15734,,,,,0.701535966391711,0.842413198440088,0.8241342457563586,3.0,7.0,3.0,4.0
seasonal_naive,post_covid,off_season,pooled,ALL,2,459,6.788880246363578,59.100175010699985,4.961137992829593,0.817746280809188,449.0,97.60348583877996,level,none,0,,7.727352984933185e-08,2.0914526866464357e-07,0.015560207888484001,,,,4.0,2.0,4.0,5.0
xgboost,post_covid,off_season,pooled,ALL,2,459,7.206025719675384,3607732.954868467,4.967480987341546,0.8585767300228159,451.0,95.64270152505446,climatology,,,,,,,0.6105623728825819,0.8624058389248758,0.7341720423210126,5.0,9.0,5.0,1.0
persistence,post_covid,off_season,pooled,ALL,2,459,7.903583938289198,64.8777871201536,5.600596736677197,0.7744464129328321,449.0,93.24618736383442,level,none,0,,7.84148068840472e-08,2.122342008321236e-07,0.01578966691158712,,,,6.0,3.0,6.0,9.0
arima,post_covid,off_season,pooled,ALL,2,459,7.953547731625743,72.23952879625816,5.828278200887159,0.7983392286974915,449.0,95.86056644880176,level,none,,,0.00014088415528574583,0.00038131109793069,28.303558083018288,,,,7.0,5.0,7.0,6.0
