model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,2,citywide,CITYWIDE,overall,,bands,,53,,,,,,,,,,,,,,,,,,,,,0.8679245283018868,1.0,0.1952277657266811,-0.1320754716981132,False
arima,post_covid,arima,2,citywide,CITYWIDE,overall,0.5,IT50,35.19412725226089,53,8.0,0.1509433962264151,1.0,0.0,7.0,45.0,0.125,0.0,1.0,0.0,0.125,0.2222222222222222,0.125,0.19522776572668113,0.3288967572401359,0.8679245283018868,0.125,0.09442892909107854,0.12815948736205057,0.2631920505087789,,,,,False
arima,post_covid,arima,2,citywide,CITYWIDE,overall,0.9,IT90,56.071415152332634,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,6.07687897878009e-05,0.0,,,,,,True
arima,post_covid,arima,2,citywide,CITYWIDE,overall,0.98,IT98,75.53173152268305,53,0.0,0.0,0.0,0.0,0.0,53.0,,,,0.0,,,,,,1.0,,1.906082827351079e-09,0.0,,,,,,True
arima,post_covid,arima,2,citywide,CITYWIDE,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.7307692307692307,1.0,0.1651376146788992,-0.2692307692307692,False
arima,post_covid,arima,2,citywide,CITYWIDE,flu_season,0.5,IT50,35.19412725226089,26,8.0,0.3076923076923077,1.0,0.0,7.0,18.0,0.125,0.0,1.0,0.0,0.125,0.2222222222222222,0.125,0.1651376146788991,0.3,0.7307692307692307,0.125,0.19228649636238224,0.2130177514792899,0.09732172540992767,,,,,False
arima,post_covid,arima,2,citywide,CITYWIDE,flu_season,0.9,IT90,56.071415152332634,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.00012387483621559476,0.0,,,,,,True
arima,post_covid,arima,2,citywide,CITYWIDE,flu_season,0.98,IT98,75.53173152268305,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,3.885476532677195e-09,0.0,,,,,,True
arima,post_covid,arima,2,pooled,ALL,overall,,bands,,901,,,,,,,,,,,,,,,,,,,,,0.8779134295227525,0.9844617092119867,0.2510245901639343,-0.09544950055493896,False
arima,post_covid,arima,2,pooled,ALL,overall,0.5,IT50,,901,118.0,0.1309655937846837,32.0,19.0,86.0,764.0,0.2711864406779661,0.37254901960784315,0.6274509803921569,0.024265644955300127,0.23357664233576642,0.378698224852071,0.24692079572266598,0.32537277245726753,0.3604831767632718,0.8834628190899001,0.4322033898305085,0.08997849619930103,0.11381360702930893,0.20942233052916037,,,,,False
