model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
arima,post_covid,overall,neighborhood,Agler/Cassidy,2,53,17.924012723549474,79.20610772125094,13.32451676205596,0.436658459896866,53,71.69811320754717
arima,post_covid,overall,neighborhood,Bexley,2,53,9.174196098662138,69.42304167969061,6.911322965464131,0.46245027696309077,48,88.67924528301887
arima,post_covid,overall,neighborhood,Clintonville/Near North,2,53,4.562187702835005,53.01909608722792,3.5496487824487963,0.7487872156900682,53,96.22641509433963
arima,post_covid,overall,neighborhood,Dublin,2,53,2.981035385326149,54.15967336223031,2.10748642097661,0.5811249302781097,52,98.11320754716981
arima,post_covid,overall,neighborhood,Eastside,2,53,17.144485565683343,52.04896975490948,11.680119907100723,0.4603726842330411,53,86.79245283018868
arima,post_covid,overall,neighborhood,Far East,2,53,20.206563676285594,36.94901966947544,14.438433565395023,0.588491593975231,53,86.79245283018868
arima,post_covid,overall,neighborhood,Far South,2,53,16.9617901534247,37.362398872086025,13.069232939305373,0.6428373749860028,52,84.90566037735849
arima,post_covid,overall,neighborhood,Far Southeast,2,53,3.4954830414575686,84.72347389739303,2.8330797539759396,0.2438932988559862,53,98.11320754716981
arima,post_covid,overall,neighborhood,Far Southwest,2,53,7.694633037726508,35.440843851244516,5.531341580922363,0.6909594413292509,53,94.33962264150944
arima,post_covid,overall,neighborhood,Hilliard,2,53,6.934232011237953,101.11348411851424,5.587662811335101,0.6121187631221506,51,94.33962264150944
arima,post_covid,overall,neighborhood,Linden,2,53,10.971791178567598,36.300220512490434,8.59778249008266,0.7362299793509287,53,92.45283018867924
arima,post_covid,overall,neighborhood,NE Suburban,2,53,8.015125966333013,48.70883606110664,5.48119198951581,0.5354542035440776,53,94.33962264150944
arima,post_covid,overall,neighborhood,Northland,2,53,12.381532491284386,30.6993474417168,9.33775366754312,0.653363639245731,53,94.33962264150944
arima,post_covid,overall,neighborhood,UA/Grandview,2,53,3.105411694080644,62.563877853156434,2.1933223743621246,0.5076985804856902,51,96.22641509433963
arima,post_covid,overall,neighborhood,West,2,53,13.774464188648318,37.192654815412816,11.06216378533918,0.7786989774393099,53,94.33962264150944
arima,post_covid,overall,neighborhood,Westerville,2,53,9.020626794838527,65.35607802069433,6.579308921182402,0.42782166901907415,52,83.01886792452831
arima,post_covid,overall,neighborhood,Worthington,2,53,7.651666030748559,60.30266090641552,5.034646144076233,0.5158938752804467,53,92.45283018867924
arima,post_covid,overall,macro,AVERAGE,2,901,10.117602220040558,55.56292850735386,7.489353815357738,0.5660502919820621,889,91.00998890122086
arima,post_covid,overall,pooled,ALL,2,901,11.432179692354222,55.377784592271105,7.489353815357737,0.8087753396967435,889,91.00998890122086
arima,post_covid,flu_season,neighborhood,Agler/Cassidy,2,26,21.565827785176282,31.02467389532971,14.90113085807563,0.29445078861263463,26,69.23076923076923
arima,post_covid,flu_season,neighborhood,Bexley,2,26,10.698361012312349,69.05442765887653,8.229100519250318,0.3677056461341869,26,88.46153846153845
