model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gat,post_covid,overall,neighborhood,Agler/Cassidy,2,53,13.603278741335629,54.80690574531302,10.013959614735729,0.7316049893933575,53.0,0.5100842774193364,0.8189468266716419,0.7187415483896776,86.79245283018868
gat,post_covid,overall,neighborhood,Bexley,2,53,8.53627190536356,73.64483678962227,6.380756198235278,0.6051068274120219,48.0,0.31721616085657756,0.629065107989105,0.5818292143502042,79.24528301886792
gat,post_covid,overall,neighborhood,Clintonville/Near North,2,53,3.9827922067149877,45.35142426711331,2.9936217991810925,0.8179855345267879,53.0,0.6426927379620174,0.8166925618972427,0.7651541951967844,94.33962264150944
gat,post_covid,overall,neighborhood,Dublin,2,53,2.6772753805168734,48.86395026085462,1.9170097000194046,0.6776445226156829,52.0,0.4332026535660012,0.7512418367529022,0.6477156707221616,94.33962264150944
gat,post_covid,overall,neighborhood,Eastside,2,53,13.074134681296224,41.24924401677824,10.109697809759176,0.7469191154276377,53.0,0.5232817042870731,0.8135988683947133,0.7444237479091923,86.79245283018868
gat,post_covid,overall,neighborhood,Far East,2,53,16.167133865107594,26.824440716613818,11.20914711142486,0.7707892375803107,53.0,0.568289269260817,0.8504366211214174,0.7626385327066604,88.67924528301887
gat,post_covid,overall,neighborhood,Far South,2,53,15.086465061649061,30.01174523069566,11.117273906491837,0.7938885855529805,52.0,0.5278175163974315,0.819462906254118,0.7877980949954092,79.24528301886792
gat,post_covid,overall,neighborhood,Far Southeast,2,53,3.571115087687528,80.14683812744816,2.5888768052155116,0.5064662685237477,53.0,-0.0690515177024269,0.4729136354318779,0.4923446529432043,96.22641509433963
gat,post_covid,overall,neighborhood,Far Southwest,2,53,8.78644777751614,39.76552681635347,5.90277110405688,0.6735134927030513,53.0,0.3154903332581195,0.7197507325890081,0.6491661425862522,86.79245283018868
gat,post_covid,overall,neighborhood,Hilliard,2,53,6.179081580492338,89.57038806136453,5.012462741923782,0.698814196697237,51.0,0.43318111638995627,0.6568036645165042,0.6666262396362267,94.33962264150944
gat,post_covid,overall,neighborhood,Linden,2,53,10.598371794879842,34.52561917420788,8.219532840656784,0.7893860243402776,53.0,0.5588297146823236,0.8327251716232508,0.7814120280922783,96.22641509433963
gat,post_covid,overall,neighborhood,NE Suburban,2,53,6.906854726022466,40.98166895201113,5.005571716236618,0.7305621943879909,53.0,0.46467715419568356,0.8172433250500073,0.6992832754863395,98.11320754716981
gat,post_covid,overall,neighborhood,Northland,2,53,13.182303184062926,31.38730272888764,9.81772887031987,0.6915304279500458,53.0,0.3494055074209441,0.79361485490384,0.6761516710517693,84.90566037735849
