model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_cascade,post_covid,overall,neighborhood,Agler/Cassidy,1,53,10.786761273373099,43.10139407442124,8.094470788847726,0.8391321297035969,53.0,0.6919534725398054,0.8313220231635688,0.8115453618863819,92.45283018867924
gnn_cascade,post_covid,overall,neighborhood,Bexley,1,53,7.245799761764443,57.83573503753831,5.540270782866568,0.7077398960851866,49.0,0.4944062389132682,0.6166823690658924,0.6779150914498817,90.56603773584906
gnn_cascade,post_covid,overall,neighborhood,Clintonville/Near North,1,53,3.312602156822563,36.99633197264166,2.5664633759912454,0.8892953323340338,53.0,0.7563865489822095,0.8204203625131864,0.8510516483287148,100.0
gnn_cascade,post_covid,overall,neighborhood,Dublin,1,53,2.4558242497089693,17003824.851848513,1.9536882953823738,0.7767609154345239,53.0,0.5249231964782943,0.7978850678116294,0.7170632199950071,100.0
gnn_cascade,post_covid,overall,neighborhood,Eastside,1,53,11.354301823869633,29.402379877419744,8.05368163450709,0.8126385649814473,53.0,0.6443118953091996,0.8809339759329942,0.7964343250790219,90.56603773584906
gnn_cascade,post_covid,overall,neighborhood,Far East,1,53,10.840533118889944,17.19267933792718,7.712443837579691,0.9025730669473342,53.0,0.8049356548639945,0.871551908564468,0.888063854675393,94.33962264150944
gnn_cascade,post_covid,overall,neighborhood,Far South,1,53,12.826134868887733,23.617297361836844,9.377108663882849,0.824053858695859,52.0,0.6531141975989985,0.8482811358293256,0.8017684913193706,88.67924528301887
gnn_cascade,post_covid,overall,neighborhood,Far Southeast,1,53,2.770965065367735,62.59074298836771,2.3020778557039656,0.6350975599555531,53.0,0.3785469888732398,0.5055890298045493,0.595319630431077,100.0
gnn_cascade,post_covid,overall,neighborhood,Far Southwest,1,53,5.345086045824363,23.75734703546177,3.777891347993095,0.8636429483052456,53.0,0.7443554009511566,0.8103125522761091,0.8501282161702292,96.22641509433963
gnn_cascade,post_covid,overall,neighborhood,Hilliard,1,53,4.424046339026434,54.059829483509056,3.5327764614573063,0.849197485109117,51.0,0.7083482290639326,0.7800795718584892,0.8169369700326554,100.0
gnn_cascade,post_covid,overall,neighborhood,Linden,1,53,8.082020738354055,25.42774325992314,6.249015646160774,0.868958702231103,53.0,0.7440343227638695,0.8527086379515345,0.8551003020767802,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,NE Suburban,1,53,5.350449079856907,27.64556504547851,3.440414266766242,0.8239578286617965,53.0,0.6782608486443158,0.8146562366640794,0.8035436604475062,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,Northland,1,53,8.244637808818439,20.632003872114687,6.4589099164279,0.8654293637333856,53.0,0.7437800848049719,0.8252512977615156,0.8505624657463218,100.0
gnn_cascade,post_covid,overall,neighborhood,UA/Grandview,1,53,2.3734416993938154,37.17909475803873,1.5586118788089391,0.7424743748925353,51.0,0.5409935414512848,0.7033741353371318,0.7216728741791936,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,West,1,53,7.017375250469406,16.033520061832636,5.337537405625829,0.929440248485204,53.0,0.863651465612525,0.8836000624090469,0.9278239745634946,100.0
gnn_cascade,post_covid,overall,neighborhood,Westerville,1,53,6.508520456864143,47.16349981353803,4.814553224815513,0.7436557761239617,52.0,0.5482562937239157,0.6163436753452667,0.713946256795247,92.45283018867924
gnn_cascade,post_covid,overall,neighborhood,Worthington,1,53,6.299247514612521,53.900040078465906,4.4396102293482365,0.7192214052440434,53.0,0.4764573122044582,0.694699809523788,0.6721885668202818,96.22641509433963
gnn_cascade,post_covid,overall,macro,AVERAGE,1,901,6.778691014817894,1000258.9051207394,5.012325036009726,0.8113687915837605,891.0,0.6468656289870258,0.7737465795183869,0.7853567594115622,96.22641509433963
gnn_cascade,post_covid,overall,pooled,ALL,1,901,7.481216623061717,1011484.6115737375,5.0123250360097265,0.9245212470653013,891.0,0.8507463008544125,0.918825683285543,0.9178959490874583,96.22641509433963
gnn_cascade,post_covid,overall,cross_week,ALL,1,53,,,,,,,0.8862837587865338,0.8661359071506082,
gnn_cascade,post_covid,overall,neighborhood,Agler/Cassidy,2,53,12.082786344467861,47.64440386856589,9.29996351925832,0.7984811378036702,53.0,0.6134832002332518,0.7940751082319846,0.7573081052489498,90.56603773584906
gnn_cascade,post_covid,overall,neighborhood,Bexley,2,53,8.075582212727184,55.87136622091463,5.9691068721267415,0.6353270350204566,48.0,0.3889251097963564,0.5865552115943419,0.5936294786156467,90.56603773584906
gnn_cascade,post_covid,overall,neighborhood,Clintonville/Near North,2,53,3.726454881580223,37.866035035046195,2.832476737364283,0.8724268276249426,53.0,0.687206085806266,0.8212995663040064,0.8068854945171706,100.0
gnn_cascade,post_covid,overall,neighborhood,Dublin,2,53,2.810026816610013,13400162.448923837,2.1900604412240803,0.7262920243990619,53.0,0.375600387780743,0.7727012618622607,0.6264418564127995,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,Eastside,2,53,11.455641170611187,31.223665912714964,8.654933227683014,0.8194290418577203,53.0,0.6340053731054913,0.8442755470391041,0.7937653200759827,90.56603773584906
gnn_cascade,post_covid,overall,neighborhood,Far East,2,53,13.790012526058632,21.765208150687947,9.912770361270544,0.8391075966319093,53.0,0.6859085824213245,0.8335787225285045,0.8192946819956268,92.45283018867924
gnn_cascade,post_covid,overall,neighborhood,Far South,2,53,13.651139579192638,25.355696780165182,9.897198910983104,0.8184654337456431,52.0,0.6133903376421282,0.8623269956222839,0.7853847761188647,84.90566037735849
gnn_cascade,post_covid,overall,neighborhood,Far Southeast,2,53,3.0685664747270724,66.28885022061084,2.4934541819230565,0.5239465082836431,53.0,0.2106637916654025,0.4438587046811293,0.4888435169084931,100.0
gnn_cascade,post_covid,overall,neighborhood,Far Southwest,2,53,6.228373244689106,28.30779136238315,4.563749295360637,0.8123705905885649,53.0,0.6560445410549869,0.7802920236585849,0.7963661725515115,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,Hilliard,2,53,5.072633118488256,56.21928073584622,3.8959398517068826,0.7975906459123205,51.0,0.6180000122937187,0.6809466880795877,0.7551539507633397,96.22641509433963
gnn_cascade,post_covid,overall,neighborhood,Linden,2,53,8.730308121509209,27.891874581482277,6.978772235366534,0.8523578988908712,53.0,0.7006445878010618,0.8303433039194754,0.8328912220628755,98.11320754716981
gnn_cascade,post_covid,overall,neighborhood,NE Suburban,2,53,6.258075248714812,33.23739237837157,4.416069147721776,0.7497026583952989,53.0,0.5605224483172245,0.7650900312961983,0.725051114321074,96.22641509433963
gnn_cascade,post_covid,overall,neighborhood,Northland,2,53,10.43463019154584,25.063220815791233,8.002636585595473,0.7783448557163215,53.0,0.5923551960775757,0.7536535759071051,0.7617925372964099,100.0
gnn_cascade,post_covid,overall,neighborhood,UA/Grandview,2,53,2.564702288836827,41.831287824824905,1.7161482572555542,0.6992501920488806,51.0,0.47306848313740424,0.7025584872414199,0.6599572163629572,96.22641509433963
gnn_cascade,post_covid,overall,neighborhood,West,2,53,7.363560654115932,17.049336936183124,5.749257681504735,0.9249858159066987,53.0,0.8514678182580567,0.8696074381922941,0.924356348277257,100.0
gnn_cascade,post_covid,overall,neighborhood,Westerville,2,53,7.503384160834139,51.23844331329548,5.64606733142205,0.6457405995048283,52.0,0.39758566274976526,0.5989484260632877,0.5989500998415062,92.45283018867924
gnn_cascade,post_covid,overall,neighborhood,Worthington,2,53,7.205706168140353,48.87591222540325,4.837248352338683,0.6434956449973266,53.0,0.30862158801833284,0.6873394521616272,0.5378171269826106,90.56603773584906
gnn_cascade,post_covid,overall,macro,AVERAGE,2,901,7.648328423697016,788281.0693347176,5.709167822947381,0.7610185004310681,890.0,0.5510290121270054,0.7427912084931292,0.7214052363737103,95.00554938956714
gnn_cascade,post_covid,overall,pooled,ALL,2,901,8.429526447858011,798023.2487848005,5.70916782294738,0.905308237936337,890.0,0.8106160186640889,0.8996394884977246,0.8947074958948951,95.00554938956715
gnn_cascade,post_covid,overall,cross_week,ALL,2,53,,,,,,,0.8789308176100628,0.8299618307705957,
gnn_cascade,post_covid,flu_season,neighborhood,Agler/Cassidy,1,26,12.80153057258017,24.768833344601727,9.615663785200853,0.7417071135823582,26.0,0.5048325345187461,0.7096074908560527,0.7045038363918374,92.3076923076923
gnn_cascade,post_covid,flu_season,neighborhood,Bexley,1,26,8.557824832115486,65.48252159279622,7.104806221448458,0.6393505459546345,26.0,0.4010145281954851,0.5890747151556027,0.5987285370267373,88.46153846153845
gnn_cascade,post_covid,flu_season,neighborhood,Clintonville/Near North,1,26,3.9276456616831505,22.953634259686403,3.0501330632429857,0.8482648222424554,26.0,0.6590749466920535,0.7973293717053993,0.7871905981180519,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Dublin,1,26,2.7660032089850177,34.46587416447534,2.304728613449977,0.6835251446237185,26.0,0.3680996306714174,0.7516862124802165,0.6179875968324191,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Eastside,1,26,14.171305239994451,22.19263662997675,10.020216501676119,0.6710613693676929,26.0,0.42051182643934626,0.7749245558663026,0.6486846944172884,88.46153846153845
gnn_cascade,post_covid,flu_season,neighborhood,Far East,1,26,13.655871934429047,16.743992643412607,10.420245757469765,0.8447762827627106,26.0,0.6991771402704079,0.853967218203567,0.8147705530524292,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,Far South,1,26,16.08624818587983,19.605790995264925,12.029593541071964,0.5866481417059844,26.0,0.24423199441247878,0.582677711684876,0.5463118464742827,84.61538461538461
gnn_cascade,post_covid,flu_season,neighborhood,Far Southeast,1,26,3.096577574682696,55.402416372887565,2.606131434440613,0.5942315135748357,26.0,0.33165006302398126,0.5128776782499204,0.5475408233145029,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Far Southwest,1,26,6.453009444639791,26.30069034971641,4.9079449360187235,0.8275846700360453,26.0,0.6797552114661382,0.8286262190525027,0.7968243250235723,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,Hilliard,1,26,4.940946795834519,41.03516017721345,4.106195119711069,0.8406354385313705,25.0,0.6844178541711361,0.8479890915905897,0.7902754914292196,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Linden,1,26,9.836494479950332,19.284600307097307,7.563402395982009,0.7659137825762975,26.0,0.5552497118161639,0.746621316802343,0.7405108776833746,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,NE Suburban,1,26,6.957032005781955,21.231081990768416,4.262779455918532,0.7354892149239245,26.0,0.5392031948448597,0.8259695420838442,0.6938211817379716,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,Northland,1,26,9.756997319531465,18.311315472599475,7.782353181105393,0.8419398229085618,26.0,0.7013409006652878,0.8669004698770506,0.8110876218881383,100.0
gnn_cascade,post_covid,flu_season,neighborhood,UA/Grandview,1,26,2.981023630745452,27.398286025091224,1.8666166433921227,0.6575430605062285,26.0,0.42091754707036,0.8049873779989175,0.6252349923111555,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,West,1,26,8.519940279618998,13.954755590351386,6.579367124117338,0.8768758983500006,26.0,0.7688300007162088,0.8528409696818836,0.8704010600659217,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Westerville,1,26,7.709973683985049,30.78768874877001,5.634556770324707,0.706998585896511,25.0,0.4897859325870393,0.6649572877259116,0.6698122286809512,88.46153846153845
gnn_cascade,post_covid,flu_season,neighborhood,Worthington,1,26,7.9559191883614675,39.351533360762744,5.699293897702144,0.6368022933801235,26.0,0.32815982863860915,0.720320849430016,0.5851281316621596,92.3076923076923
gnn_cascade,post_covid,flu_season,macro,AVERAGE,1,442,8.24554964934111,29.368871295615996,6.209060496604281,0.7352557471131442,440.0,0.5174266380117482,0.7489034163791174,0.6969890821241185,95.02262443438914
gnn_cascade,post_covid,flu_season,pooled,ALL,1,442,9.160285309985483,29.33913241758247,6.20906049660428,0.9169001563819015,440.0,0.8361981250766177,0.9326127964602917,0.9097122288968262,95.02262443438913
gnn_cascade,post_covid,flu_season,cross_week,ALL,1,26,,,,,,,0.9113876319758673,0.8931317462685102,
gnn_cascade,post_covid,flu_season,neighborhood,Agler/Cassidy,2,26,14.183541576089445,26.669712067863195,10.72409435418936,0.6807731933928967,26.0,0.39214823975288593,0.6769779111700289,0.6233392847217277,88.46153846153845
gnn_cascade,post_covid,flu_season,neighborhood,Bexley,2,26,9.435636773775004,64.26625832285548,7.367320592586811,0.5326176770016732,26.0,0.27183142599720556,0.5495279596139246,0.46779076874629466,92.3076923076923
gnn_cascade,post_covid,flu_season,neighborhood,Clintonville/Near North,2,26,4.411027890712086,25.221323164703808,3.4543272165151744,0.8242125371859217,26.0,0.5699945856562167,0.803154296208619,0.7138607402737326,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Dublin,2,26,3.218492437350554,37.61324033168086,2.6226363503015957,0.5808092251137661,26.0,0.14444440467455955,0.6767581858132355,0.4771342710596236,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Eastside,2,26,13.241088787528382,21.576875348761305,9.959116862370418,0.7217932229371111,26.0,0.49409116074223147,0.7930814972725423,0.6907288666259909,96.15384615384616
gnn_cascade,post_covid,flu_season,neighborhood,Far East,2,26,17.393696915188766,20.885776591959342,13.175434772784893,0.7246874242706172,26.0,0.5119596146201203,0.7811217967068271,0.6819686335687438,92.3076923076923
gnn_cascade,post_covid,flu_season,neighborhood,Far South,2,26,16.538917643292194,18.878511484939413,11.901318036592924,0.6018652815882655,26.0,0.20109867381396118,0.6241019203299231,0.5546790636992359,84.61538461538461
gnn_cascade,post_covid,flu_season,neighborhood,Far Southeast,2,26,3.67520996710283,67.65763837492644,3.0111954578986535,0.36649631107259806,26.0,0.058534751081817604,0.338828827598843,0.3239822357863862,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Far Southwest,2,26,7.899250421398423,33.55404709037226,6.280373426584097,0.7219277353261188,26.0,0.5201237752140173,0.7574054531174116,0.6803911482544407,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Hilliard,2,26,5.641247248552773,43.34048811154429,4.507390297376192,0.7878999481299758,25.0,0.5886207903875973,0.7866349899759106,0.71031560151225,100.0
gnn_cascade,post_covid,flu_season,neighborhood,Linden,2,26,9.874773822909683,18.786944676651412,7.76650333404541,0.7645114178174259,26.0,0.5517814284164162,0.7763903610561487,0.7317812732489495,100.0
gnn_cascade,post_covid,flu_season,neighborhood,NE Suburban,2,26,8.140476496275316,28.762859208876808,5.78855719933143,0.6085724720647495,26.0,0.3690991535294057,0.7142872232454647,0.5458171310784085,92.3076923076923
