model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
lstm,post_covid,overall,neighborhood,Agler/Cassidy,2,53,14.754422773477833,68.18806204932986,10.669047518287835,0.6531039838634372,53,88.67924528301887
lstm,post_covid,overall,neighborhood,Bexley,2,53,8.400831562875494,67.29458606643432,6.374256884986627,0.5898465827150288,48,90.56603773584906
lstm,post_covid,overall,neighborhood,Clintonville/Near North,2,53,4.588671367390066,54.40961905186595,3.4141593577161102,0.7502074775747972,53,100.0
lstm,post_covid,overall,neighborhood,Dublin,2,53,3.0883166891415006,59.48758036429661,2.3539154894433216,0.5785927150173635,52,98.11320754716981
lstm,post_covid,overall,neighborhood,Eastside,2,53,14.519037801407865,53.33528261283135,11.237921397552693,0.6725331160641502,53,88.67924528301887
lstm,post_covid,overall,neighborhood,Far East,2,53,17.85077690489011,34.05150606826437,13.520847919442284,0.6890443538093951,53,92.45283018867924
lstm,post_covid,overall,neighborhood,Far South,2,53,14.839175353881332,31.679970475536535,11.174414388683502,0.7510659155121299,52,88.67924528301887
lstm,post_covid,overall,neighborhood,Far Southeast,2,53,3.23910834917262,81.13679248359577,2.5994099622803044,0.42263879844530844,53,100.0
lstm,post_covid,overall,neighborhood,Far Southwest,2,53,8.590691883323712,44.4818368836537,6.631332568110362,0.6597161353127011,53,98.11320754716981
lstm,post_covid,overall,neighborhood,Hilliard,2,53,6.6258521941454624,102.89263762455509,5.192519433747511,0.6166281814586058,51,94.33962264150944
lstm,post_covid,overall,neighborhood,Linden,2,53,12.01193386959815,43.454770258507835,9.959927497392545,0.6612891524893496,53,94.33962264150944
lstm,post_covid,overall,neighborhood,NE Suburban,2,53,7.3898601865553495,48.153690986522825,5.657694543397099,0.6650760015695611,53,98.11320754716981
lstm,post_covid,overall,neighborhood,Northland,2,53,12.319121638662118,33.83362264114117,9.773407905160903,0.6780640573496083,53,94.33962264150944
lstm,post_covid,overall,neighborhood,UA/Grandview,2,53,2.9566708656373213,54.47018809184531,1.9402024856566378,0.5486533325423824,51,96.22641509433963
lstm,post_covid,overall,neighborhood,West,2,53,13.439173806044446,38.65588553953379,11.35094495660355,0.8122258777291467,53,98.11320754716981
lstm,post_covid,overall,neighborhood,Westerville,2,53,8.153114029077587,63.69492403258625,6.183591499594998,0.5401889602363749,52,92.45283018867924
lstm,post_covid,overall,neighborhood,Worthington,2,53,7.656251966767794,56.82366939669993,5.0673299945564665,0.6548449237991769,53,90.56603773584906
lstm,post_covid,overall,macro,AVERAGE,2,901,9.436647720120517,55.06144850748239,7.241230811918397,0.6437482097346187,889,94.33962264150944
lstm,post_covid,overall,pooled,ALL,2,901,10.465096663437272,54.89797980720387,7.241230811918396,0.8466312087951379,889,94.33962264150944
lstm,post_covid,flu_season,neighborhood,Agler/Cassidy,2,26,17.632517506026005,29.48220029458338,11.70790185515541,0.3922100166639216,26,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Bexley,2,26,10.104366829421316,71.03648945662127,7.850956560501344,0.4195766026496206,26,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Clintonville/Near North,2,26,5.861694539970653,33.23666781040108,4.532723474094211,0.5978340172806106,26,100.0
lstm,post_covid,flu_season,neighborhood,Dublin,2,26,3.7893270357558326,45.64835903911778,2.9155099399582367,0.3170038709983523,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Eastside,2,26,16.424978176592195,29.72439196692297,12.35691388561133,0.5309430113798652,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Far East,2,26,21.919252657491423,26.21130537587223,16.18460631562107,0.5125157460008101,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,Far South,2,26,17.47496144790835,23.450000500295452,13.425846758428374,0.5584808367896019,26,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Far Southeast,2,26,3.7890455200271935,73.81122638439518,3.050765681888596,0.2493631580389184,26,100.0
lstm,post_covid,flu_season,neighborhood,Far Southwest,2,26,10.976128880310807,44.74343699800813,8.514668271948675,0.4381421097555458,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Hilliard,2,26,7.471007913392103,70.67084423387554,6.0932107581118515,0.535275813152641,25,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Linden,2,26,13.27903770615598,26.5113563485299,10.835721901136369,0.5045030606294406,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,NE Suburban,2,26,9.01524596492323,35.638747123238026,6.750235711597942,0.49889129919781006,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Northland,2,26,14.682961279042184,29.168024926947517,12.009916975568672,0.5813916790122549,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,UA/Grandview,2,26,3.8001447439167504,39.38944532421064,2.507843292832234,0.3103870331997838,26,92.3076923076923
lstm,post_covid,flu_season,neighborhood,West,2,26,14.018316279795377,25.130499399214457,11.178460460707585,0.7323300286794855,26,96.15384615384616
lstm,post_covid,flu_season,neighborhood,Westerville,2,26,10.362081400991789,45.92270370978365,8.144864180343088,0.320644144141519,25,88.46153846153845
lstm,post_covid,flu_season,neighborhood,Worthington,2,26,10.144701937964197,42.75382807860311,7.089857961673228,0.5084299664370004,26,84.61538461538461
lstm,post_covid,flu_season,macro,AVERAGE,2,442,11.220339401157963,40.737030998271784,8.538235528539895,0.4710542584710108,440,93.21266968325791
