model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
xgboost,post_covid,overall,neighborhood,Agler/Cassidy,2,53,14.732223836384971,45.73342864758084,10.485419759608126,0.6851787021357914,53.0,0.4253931481228139,0.7912441809299097,0.6277007262068487,90.56603773584906
xgboost,post_covid,overall,neighborhood,Bexley,2,53,8.921475444412781,62.690591807177285,6.370777102972764,0.5406554793048992,48.0,0.254203902189695,0.581917768351277,0.48866767577369835,92.45283018867924
xgboost,post_covid,overall,neighborhood,Clintonville/Near North,2,53,5.765990890907133,47.894234369253525,4.04484580900057,0.7065857139205579,53.0,0.25111613253822895,0.8234818315493154,0.6943257493199863,100.0
xgboost,post_covid,overall,neighborhood,Dublin,2,53,3.4215687002001522,23367197.46238248,2.4324193089089112,0.5227383661249404,53.0,0.07425319870493308,0.7407955505675918,0.5219466653279576,98.11320754716981
xgboost,post_covid,overall,neighborhood,Eastside,2,53,14.448832823152106,35.10756074589468,10.488363675497226,0.7223864268808583,53.0,0.41776080135019156,0.8224502420747154,0.6860469877837624,84.90566037735849
xgboost,post_covid,overall,neighborhood,Far East,2,53,16.43705231886831,23.91228569088962,11.62438576579488,0.787174570044968,53.0,0.5537536756954562,0.8446694452869998,0.751257037474159,90.56603773584906
xgboost,post_covid,overall,neighborhood,Far South,2,53,17.16890100771314,30.669574344206985,13.38332695136219,0.7868287893142086,52.0,0.38846702119703513,0.8825078286581435,0.6727584961459847,83.01886792452831
xgboost,post_covid,overall,neighborhood,Far Southeast,2,53,3.4342373079185857,76.45051571031101,2.6852296328736824,0.4380713730444218,53.0,0.011329542609636256,0.3913488158662288,0.43134769006279927,100.0
xgboost,post_covid,overall,neighborhood,Far Southwest,2,53,6.665980321793375,27.733190273785034,4.797996016188418,0.786976511542707,53.0,0.6060138147126279,0.7924083594296808,0.7577208455127455,100.0
xgboost,post_covid,overall,neighborhood,Hilliard,2,53,5.694077648199842,32207146.83208844,4.378451682861374,0.7418703754950755,53.0,0.5186696798811008,0.6721158506018156,0.6800302112874212,96.22641509433963
xgboost,post_covid,overall,neighborhood,Linden,2,53,12.376022219126444,33.8462806475269,9.71930022797,0.7015201010886468,53.0,0.3984245150167516,0.812903187851155,0.6708623185622373,94.33962264150944
xgboost,post_covid,overall,neighborhood,NE Suburban,2,53,6.704623677741113,33.40976820142355,4.394992239964942,0.7060724291251161,53.0,0.4955664708940475,0.7923988047877358,0.6771696186804811,98.11320754716981
xgboost,post_covid,overall,neighborhood,Northland,2,53,13.768596004844902,30.595574615454318,10.630041715574167,0.6126830630608631,53.0,0.29024717455075955,0.7045698231191967,0.5856647309029896,94.33962264150944
xgboost,post_covid,overall,neighborhood,UA/Grandview,2,53,3.6018609368934715,63.372407639515416,2.4213040102123506,0.4685357364348161,51.0,-0.03928375565554365,0.6424044401826695,0.46085450801916994,98.11320754716981
xgboost,post_covid,overall,neighborhood,West,2,53,10.948834304137574,24.182250109380092,9.065329755563148,0.8460483912194031,53.0,0.6716170543260375,0.8682762829153509,0.83241454102871,98.11320754716981
xgboost,post_covid,overall,neighborhood,Westerville,2,53,7.576379877751328,45.34896021601492,5.403128432725813,0.6452310101802032,52.0,0.38580762724270923,0.6626646211581521,0.5596708218908475,94.33962264150944
xgboost,post_covid,overall,neighborhood,Worthington,2,53,7.391863441782906,48.94800607004436,4.576752968487238,0.623723078052657,53.0,0.2724370136192913,0.693653116092453,0.4725055347949076,96.22641509433963
xgboost,post_covid,overall,macro,AVERAGE,2,901,9.356383574225184,3269116.128770589,6.876592062092106,0.6660164774688314,892.0,0.35151629511739835,0.7364594205542583,0.6218202446338063,94.67258601553829
xgboost,post_covid,overall,pooled,ALL,2,901,10.393824636288674,3302099.9056120976,6.876592062092106,0.8553536517888869,892.0,0.7120695060736015,0.8820322179026424,0.8312841646185952,94.6725860155383
xgboost,post_covid,overall,cross_week,ALL,2,53,,,,,,,0.8790695523492417,0.7688406213671244,
xgboost,post_covid,flu_season,neighborhood,Agler/Cassidy,2,26,18.444413363995988,30.10356207128134,13.123895225044269,0.3873225803648696,26.0,-0.027916885233273403,0.5389032687091706,0.3312367351945778,92.3076923076923
xgboost,post_covid,flu_season,neighborhood,Bexley,2,26,10.973884680856592,79.43307640216683,8.28056652855055,0.2549635221482291,26.0,0.015058900113191664,0.40681575483308696,0.19135873967657868,92.3076923076923
