model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,mean_rank
xgboost,post_covid,Agler/Cassidy,92.3076923076923,88.88888888888889,90.56603773584906,0.6076781316819584,0.5838513318015964,0.7806948536771108,12.339788888102468,7.917607376317753,10.086979438702706,27.99603859867154,62.94987933830315,45.802712183012176,17.092544615515497,9.786903382646956,13.860617494509384,climatology,,,,1.3333333333333333
gnn_st,post_covid,Agler/Cassidy,92.3076923076923,88.88888888888889,90.56603773584906,0.4247519147507987,0.3732349729679438,0.689061102271041,12.693692244016209,9.00431357489692,10.814197450313928,31.034244062008447,76.60324326880243,54.24863988433747,17.680350398621652,10.620758620046026,14.51939393625193,blend,train,15734,,2.6666666666666665
dualtopo,post_covid,Agler/Cassidy,80.76923076923077,59.25925925925925,69.81132075471697,0.5746607362405001,0.3235979787279251,0.7018037671307187,12.410257449516884,9.93881568202266,11.151221077397183,26.944795451133537,109.12583199100467,68.81060651861506,17.752393279385647,11.307175635526042,14.823390560648363,level,train,479905,,3.6666666666666665
lstm,post_covid,Agler/Cassidy,88.46153846153845,96.29629629629628,92.45283018867924,0.0752132632846493,0.2676971139806079,0.4634156500521519,14.32630122197598,11.78897408124817,13.033700603114646,33.884028458720024,126.57119676960409,81.10201986237794,20.77746401624683,13.26831573827494,17.362712026732723,level,train,22353,,5.0
arima,post_covid,Agler/Cassidy,84.61538461538461,100.0,92.45283018867924,0.1187546380827317,0.1990202258528626,0.4335489451509773,15.00230721988688,11.363415242320356,13.148532061503936,35.60775264581645,124.30742481997912,80.79437809303141,21.32935861662933,13.159197528880895,17.646380228115582,level,none,,,5.333333333333333
seasonal_naive,post_covid,Agler/Cassidy,96.15384615384616,96.29629629629628,96.22641509433964,0.2355696674350447,0.6197718227117702,0.5785993780517176,20.68650837744485,6.829831337315125,13.627446489076878,54.578153539824015,61.61816578483245,58.164574872186805,27.002843845186625,9.277012978186283,20.038497454991735,level,none,0,,4.666666666666667
gat,post_covid,Agler/Cassidy,65.38461538461539,88.88888888888889,77.35849056603774,0.1045819247543863,0.4098592249950144,0.469131888686733,20.37512643520649,9.057118698402688,14.609348908910212,44.61126807253306,96.02551866611954,70.80343346926581,27.5570722233901,10.386361504703029,20.675782758071744,level,,8129,,6.0
persistence,post_covid,Agler/Cassidy,88.46153846153845,96.29629629629628,92.45283018867924,0.1127257486004447,0.1789652368399374,0.4162916659500092,20.804716996744535,13.318171107764492,16.990816260849044,52.61068578002217,121.18526535193202,87.5449055619385,25.229164566643146,15.389869774572878,20.806465721434993,level,none,0,,7.333333333333333
gnn_st,post_covid,Bexley,88.46153846153845,85.18518518518519,86.79245283018868,0.4853903819526521,0.0791258259623807,0.6070657410298087,7.599962913073027,4.401858488718669,5.970739904439674,64.65341326815442,37.323646499652504,52.127270165924386,9.860102319248403,6.705875545144333,8.402513960877503,blend,train,15734,,2.3333333333333335
xgboost,post_covid,Bexley,92.3076923076923,92.5925925925926,92.45283018867924,0.3532672226111638,0.3118225572859635,0.5808977140753175,7.859905888200467,4.403998048325679,6.09934906411331,75.65544008586336,41.98030589635111,60.22100358233692,10.456731169717436,6.148306833651523,8.538005127473903,climatology,,,,2.3333333333333335
dualtopo,post_covid,Bexley,69.23076923076923,74.07407407407408,71.69811320754717,0.4672687813052639,0.2213690014606348,0.5959218613158154,7.778570780387292,5.017744700113933,6.372112211191429,55.547585607083086,61.450877754066624,58.25326117445053,10.738778928601636,6.217011507001728,8.732868902182062,level,train,479905,,3.3333333333333335
lstm,post_covid,Bexley,88.46153846153845,96.29629629629628,92.45283018867924,0.1350725722741374,0.2316177814045996,0.4083931119618033,8.72154772909716,5.868175957310397,7.267943241583148,71.09642610319986,73.26517436880263,72.09043572493447,11.501367991072124,6.954826333946097,9.46223632206285,level,train,22353,,5.0
arima,post_covid,Bexley,88.46153846153845,100.0,94.33962264150944,0.1806374935858692,0.0093221304151833,0.3953318393347028,8.581113364039423,5.976384612777429,7.25417607566067,62.05164008521974,78.43251355084348,69.55954042363062,11.645625255769689,6.870883063498267,9.517391427033411,level,none,,,5.333333333333333
persistence,post_covid,Bexley,88.46153846153845,81.48148148148148,84.90566037735849,0.2437360752127712,-0.040005355815971,0.3864136281177051,10.14602154203294,6.513495310934726,8.295489311096114,74.2411754911755,66.12554112554115,70.52150974025975,13.63984921606965,8.668578903629776,11.381943394588175,level,none,0,,6.666666666666667
gat,post_covid,Bexley,69.23076923076923,92.5925925925926,81.13207547169812,-0.0617004064875629,0.5628559049581698,0.3095936861667902,12.956005830031176,4.173045732356884,8.481667667065027,115.48825722763056,46.945950924786985,84.07303350549392,16.318552739220173,5.464273625121815,12.07667952289048,level,,8129,,5.0
seasonal_naive,post_covid,Bexley,92.3076923076923,88.88888888888889,90.56603773584906,-0.0735297616054969,0.6061665028592496,0.2971265973305661,12.71634699934795,4.559446717654308,8.560944969051189,106.37487512487512,58.11688311688312,84.25662878787881,17.368640239071688,5.540684025948915,12.791719833215042,level,none,0,,6.0
xgboost,post_covid,Clintonville/Near North,100.0,100.0,100.0,0.7454212372744251,0.7311754088857653,0.8141924597814445,4.106360180865634,2.3113785595630567,3.191935581334132,32.963570008695584,58.10778299576776,45.77288605871349,5.154472328464379,3.0223451408142576,4.2056040861558825,climatology,,,,1.6666666666666667
