model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,4,Agler/Cassidy,2024-25,0.5,IT50,51.74083078339265,9,,,,,,2025-06-08,2025-06-22,2.0,30.73424101791806,28.78645142601781,-1.94778959190025,arima
arima,post_covid,4,Agler/Cassidy,2024-25,0.9,IT90,88.48740693700204,9,,,,,,2025-06-08,2025-06-22,2.0,30.73424101791806,28.78645142601781,-1.94778959190025,arima
arima,post_covid,4,Agler/Cassidy,2024-25,0.98,IT98,124.72586226376617,9,,,,,,2025-06-08,2025-06-22,2.0,30.73424101791806,28.78645142601781,-1.94778959190025,arima
arima,post_covid,4,Agler/Cassidy,2025-26,0.5,IT50,51.74083078339265,44,2025-12-14,2026-01-18,5.0,-5.0,2026-01-18,2025-12-14,2026-01-18,5.0,86.05587485017058,60.8555788275936,-25.200296022576985,arima
arima,post_covid,4,Agler/Cassidy,2025-26,0.9,IT90,88.48740693700204,44,,,,,,2025-12-14,2026-01-18,5.0,86.05587485017058,60.8555788275936,-25.200296022576985,arima
arima,post_covid,4,Agler/Cassidy,2025-26,0.98,IT98,124.72586226376617,44,,,,,,2025-12-14,2026-01-18,5.0,86.05587485017058,60.8555788275936,-25.200296022576985,arima
arima,post_covid,4,Bexley,2024-25,0.5,IT50,24.605454693531783,9,,,,,,2025-06-08,2025-06-15,1.0,7.034574935809503,12.71088634202799,5.676311406218487,arima
arima,post_covid,4,Bexley,2024-25,0.9,IT90,37.5430295506582,9,,,,,,2025-06-08,2025-06-15,1.0,7.034574935809503,12.71088634202799,5.676311406218487,arima
arima,post_covid,4,Bexley,2024-25,0.98,IT98,49.19357270883574,9,,,,,,2025-06-08,2025-06-15,1.0,7.034574935809503,12.71088634202799,5.676311406218487,arima
arima,post_covid,4,Bexley,2025-26,0.5,IT50,24.605454693531783,44,2025-12-07,2026-02-01,8.0,-8.0,2026-02-01,2026-01-04,2026-02-01,4.0,49.24202455066653,24.789034498629988,-24.45299005203654,arima
