model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage
persistence,post_covid,overall,neighborhood,Agler/Cassidy,4,53,20.806465721434993,87.5449055619385,16.990816260849044,0.4162916659500092,53,92.45283018867924
persistence,post_covid,overall,neighborhood,Bexley,4,53,11.381943394588177,70.52150974025975,8.295489311096114,0.38641362811770513,48,84.90566037735849
persistence,post_covid,overall,neighborhood,Clintonville/Near North,4,53,5.892436194229631,67.81344754834673,4.535232652589745,0.6129764653872231,53,100.0
persistence,post_covid,overall,neighborhood,Dublin,4,53,4.025743670458067,87.64864424790895,3.2352408313274847,0.3610466994025879,52,98.11320754716981
persistence,post_covid,overall,neighborhood,Eastside,4,53,19.07690837937495,56.71108448291097,14.524126742299067,0.5053308266915149,53,92.45283018867924
persistence,post_covid,overall,neighborhood,Far East,4,53,25.73692897845596,40.21658000939855,18.57076967614178,0.45020985673093744,53,92.45283018867924
persistence,post_covid,overall,neighborhood,Far South,4,53,21.0298382141056,45.57628374174629,17.009750375867117,0.5344685156211761,52,92.45283018867924
persistence,post_covid,overall,neighborhood,Far Southeast,4,53,4.722374493165633,106.08347627215551,3.6915853433004946,0.08074500084805765,53,100.0
persistence,post_covid,overall,neighborhood,Far Southwest,4,53,11.699116950338347,48.03509725186652,8.430479176224,0.3907796287347691,53,96.22641509433963
persistence,post_covid,overall,neighborhood,Hilliard,4,53,9.30104179628321,113.03951522081188,7.004984046148835,0.34742816576447555,51,94.33962264150944
persistence,post_covid,overall,neighborhood,Linden,4,53,15.996479633461211,47.546430915610536,12.710028296684682,0.5100133935746974,53,96.22641509433963
persistence,post_covid,overall,neighborhood,NE Suburban,4,53,11.081681305792436,50.3124769580319,7.520775546190362,0.3101146946538787,53,96.22641509433963
persistence,post_covid,overall,neighborhood,Northland,4,53,19.650421705746897,45.15440814215672,14.19525760715029,0.28075993793061205,53,92.45283018867924
persistence,post_covid,overall,neighborhood,UA/Grandview,4,53,4.265170823579677,69.5629533864828,2.7922569426247046,0.27560451192990454,51,90.56603773584906
persistence,post_covid,overall,neighborhood,West,4,53,15.543565668960658,34.22903506136869,11.829508270774339,0.6671973236636818,53,96.22641509433963
persistence,post_covid,overall,neighborhood,Westerville,4,53,12.03640495430478,80.7870573291399,8.566461364965873,0.21180633301115914,52,94.33962264150944
persistence,post_covid,overall,neighborhood,Worthington,4,53,10.342318614426949,94.9846104739352,7.301152709164139,0.29468505887715823,53,98.11320754716981
persistence,post_covid,overall,macro,AVERAGE,4,901,13.093461205806305,67.39808919670996,9.835524420788122,0.39034539452291456,889,94.56159822419534
persistence,post_covid,overall,pooled,ALL,4,901,14.560420677384474,67.25967817210461,9.835524420788122,0.7176725577739872,889,94.56159822419534
persistence,post_covid,flu_season,neighborhood,Agler/Cassidy,4,26,25.229164566643142,52.61068578002217,20.804716996744535,0.11272574860044471,26,88.46153846153845
persistence,post_covid,flu_season,neighborhood,Bexley,4,26,13.63984921606965,74.2411754911755,10.146021542032939,0.24373607521277127,26,88.46153846153845
persistence,post_covid,flu_season,neighborhood,Clintonville/Near North,4,26,7.162200028682673,43.43989982257892,5.610151371365945,0.4412691871118513,26,100.0
persistence,post_covid,flu_season,neighborhood,Dublin,4,26,4.902520611786447,74.56468776321718,3.92763767249364,-0.015339937217110328,26,100.0
persistence,post_covid,flu_season,neighborhood,Eastside,4,26,23.593313386051904,44.43965643607198,18.471154067100663,0.20759507910919753,26,96.15384615384616
persistence,post_covid,flu_season,neighborhood,Far East,4,26,33.905561781330185,42.56403845573358,26.209628328634285,0.08130541257568326,26,88.46153846153845
persistence,post_covid,flu_season,neighborhood,Far South,4,26,25.474132897341583,38.01865223934404,21.44512185101803,0.10628933998144524,26,96.15384615384616
persistence,post_covid,flu_season,neighborhood,Far Southeast,4,26,5.680212187546923,106.9506882006882,4.544175566585986,-0.07734894425208345,26,100.0
persistence,post_covid,flu_season,neighborhood,Far Southwest,4,26,15.690171369570407,61.198592186848074,12.728296247280683,0.07800357039469367,26,92.3076923076923
persistence,post_covid,flu_season,neighborhood,Hilliard,4,26,11.126184224229045,94.66583471567992,8.865121636608551,0.1863590365436843,25,96.15384615384616
persistence,post_covid,flu_season,neighborhood,Linden,4,26,19.457953182177086,41.94070650772001,16.508328107606783,0.1914840325980012,26,100.0
