model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Allston/Brighton,1,48,11.936994576890678,75.35449463408209,8.196687246362368,0.8435251059836403,48.0,0.5727133249904501,0.7982068573653797,0.8177546934760958,97.91666666666666
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,10.940613940973346,90.00815271243812,7.776203682687547,0.7376715345093786,45.0,0.24371504321760673,0.7975698366335096,0.6995270994516617,97.77777777777777
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Charlestown,1,34,19.69452625521994,115.86192079542971,13.442760874243344,0.7057423225530319,34.0,0.21690263605435312,0.4088079691319789,0.6746480678268535,88.23529411764706
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Dorchester,1,48,34.6870908664321,60.25630796245841,24.283032218615215,0.9025384237294013,48.0,0.604100097227102,0.9109561161658027,0.8492647395719575,79.16666666666666
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,East Boston,1,43,9.429661711278893,125.4910433700942,6.54075447903123,0.8152827044586027,43.0,0.47802087835591633,0.67149571549534,0.7830854832633485,100.0
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Fenway,1,42,5.486997527289265,97.20147663538376,4.115484297275543,0.7474102355432624,42.0,-0.0192984948450603,0.7263882576489594,0.6631792887112422,100.0
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Hyde Park,1,45,14.388069666098616,87.21310685420502,10.665764252344767,0.8480849755769743,45.0,0.505617060063497,0.7602330001899391,0.8027753663186389,93.33333333333333
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Jamaica Plain,1,45,9.126146408395122,82.06729325001457,6.133429712719387,0.8448053953392914,45.0,0.5682904699682989,0.7476136872343964,0.8165748306275494,95.55555555555556
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Mattapan,1,46,14.651987111878041,95.61221795197169,10.97015931295312,0.8799815393917186,46.0,0.5891242226119184,0.7872218143442843,0.8327913367193042,97.82608695652173
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Roslindale,1,41,23.49697759109475,108.48498612728702,16.99292998197602,0.8568111783690832,41.0,0.6419409064385642,0.6601082176769794,0.8372428357225428,87.8048780487805
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,Roxbury,1,48,39.41615206059389,104.4747588559366,28.13737517595291,0.821443929790374,48.0,0.39186849015577907,0.773777102876443,0.7715331898819235,72.91666666666666
gnn_multiedge_covid_rsv_full,full,overall,neighborhood,South Boston,1,41,10.505299621470016,80.71960994277221,7.528428130033539,0.802425951341668,41.0,0.37487971813849463,0.7455562559150672,0.7564692754966575,92.6829268292683
