model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_multiedge_full,full,overall,neighborhood,Allston/Brighton,1,48,11.19943849086799,71.43465663238334,7.706736768285434,0.8650566107851747,48.0,0.6238839606753126,0.7946159874460751,0.8407959467888182,100.0
gnn_multiedge_full,full,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,11.100950157965165,92.61272757870714,7.733830822838677,0.7227793723167277,45.0,0.2213856913716018,0.7605708861042463,0.6883885935039328,97.77777777777777
gnn_multiedge_full,full,overall,neighborhood,Charlestown,1,34,20.01590371768421,116.91910512193037,14.154015555101282,0.7096607784701586,34.0,0.19113677313365174,0.34754161576647347,0.6777339945518506,88.23529411764706
gnn_multiedge_full,full,overall,neighborhood,Dorchester,1,48,35.42106308945511,56.79963255712136,22.47160038848718,0.8909162938531399,48.0,0.5871685052073443,0.8907645130427807,0.8448006592187703,79.16666666666666
gnn_multiedge_full,full,overall,neighborhood,East Boston,1,43,9.977806134529468,129.43866798295193,6.704176367715347,0.8043921392821352,43.0,0.4155719799126548,0.6655667291008827,0.7675844291299168,97.67441860465115
gnn_multiedge_full,full,overall,neighborhood,Fenway,1,42,6.0079671221545,107.85244065427347,4.659566561381022,0.7095956986275314,42.0,-0.2220442972463954,0.6652650451238029,0.6205630495837873,100.0
gnn_multiedge_full,full,overall,neighborhood,Hyde Park,1,45,15.419956103051964,81.19370619828106,10.37612272368537,0.8333000566101766,45.0,0.4321616937263114,0.7514108215820285,0.78682291164184,95.55555555555556
gnn_multiedge_full,full,overall,neighborhood,Jamaica Plain,1,45,8.739128572772447,75.25861137914407,5.954512556393941,0.8601874072082762,45.0,0.6041295998713816,0.7446216367251871,0.833988607607276,97.77777777777777
gnn_multiedge_full,full,overall,neighborhood,Mattapan,1,46,15.749167594775399,98.49065645264298,11.001716919567274,0.8632518585736034,46.0,0.5252852872272437,0.7409256151268474,0.8152412181365812,91.30434782608695
gnn_multiedge_full,full,overall,neighborhood,Roslindale,1,41,24.549377255746332,106.93567102842584,18.155563017217123,0.8530028698089067,41.0,0.6091486087407312,0.6536279831176671,0.8315295597558545,85.36585365853658
gnn_multiedge_full,full,overall,neighborhood,Roxbury,1,48,40.72522587336311,101.56623038792567,27.349606399734814,0.8025913673276825,48.0,0.35080366314268363,0.74922743890196,0.7590665360969255,68.75
gnn_multiedge_full,full,overall,neighborhood,South Boston,1,41,10.886705725406918,79.45848316801094,7.3068189242991,0.7887917938816785,41.0,0.3286644113391277,0.7044889727878307,0.7455602446353727,95.1219512195122
gnn_multiedge_full,full,overall,neighborhood,South End,1,48,22.333955478327272,84.15856509600556,15.108621055881182,0.8387111623200889,48.0,0.5194950649325678,0.7200011470383046,0.8055658822708511,83.33333333333334
gnn_multiedge_full,full,overall,neighborhood,West Roxbury,1,40,14.828118421193063,97.30021215357858,10.272797340154648,0.7694621146614552,40.0,0.4086180716283494,0.5260536967854766,0.7462204843775224,90.0
gnn_multiedge_full,full,overall,macro,AVERAGE,1,614,17.63962598123521,92.81566902795588,12.068263242910172,0.8079785374090525,614.0,0.399672072404469,0.6939058634749689,0.768847294092807,90.71878403839607
gnn_multiedge_full,full,overall,pooled,ALL,1,614,20.525295357398708,91.87885489619146,12.207854260256703,0.8662847356425476,614.0,0.5717347783691309,0.7596265303454083,0.8333618076333718,90.55374592833876
gnn_multiedge_full,full,overall,cross_week,ALL,1,48,,,,,,,0.601778006169354,0.5284517901438125,
gnn_multiedge_full,full,overall,neighborhood,Allston/Brighton,2,48,17.61992750179925,105.26860591249078,11.59938295185566,0.7193700502910392,48.0,0.06697767317331749,0.726458953341714,0.6655638592277566,91.66666666666666
gnn_multiedge_full,full,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,13.319752817793187,96.63195076311807,9.15743338531918,0.7195173170460784,45.0,-0.13742802250352648,0.7791418436778842,0.6362103391538286,97.77777777777777
gnn_multiedge_full,full,overall,neighborhood,Charlestown,2,34,27.844827636188192,132.59503411095486,18.553496907739078,0.5489021572801855,34.0,-0.5730009547201371,0.5242964572446278,0.48910203238823774,85.29411764705883
gnn_multiedge_full,full,overall,neighborhood,Dorchester,2,48,64.47104233943266,95.71758129067874,38.887690315643944,0.7065162840703674,48.0,-0.3702621800231838,0.8054387062971071,0.6107572131814826,72.91666666666666
gnn_multiedge_full,full,overall,neighborhood,East Boston,2,43,14.8762403977595,162.23248605000623,10.411530308945235,0.6554718740525636,43.0,-0.31208289781562204,0.5662416433012505,0.5802180323381427,93.02325581395348
gnn_multiedge_full,full,overall,neighborhood,Fenway,2,42,9.287523638076971,166.8894389215675,6.638586061341422,0.528867751984879,42.0,-1.8530428672247896,0.5278399914692615,0.3908411980378118,95.23809523809523
gnn_multiedge_full,full,overall,neighborhood,Hyde Park,2,45,26.01610433374159,122.9663001156161,16.232486332787406,0.6284569191528256,45.0,-0.6289618530930883,0.6882140206714525,0.5385348657855804,86.66666666666667
gnn_multiedge_full,full,overall,neighborhood,Jamaica Plain,2,45,13.689522757278567,128.81644907701056,9.581344156795078,0.7231109027090277,45.0,0.025990386160501755,0.6075245703940025,0.6617459894575979,100.0
gnn_multiedge_full,full,overall,neighborhood,Mattapan,2,46,26.819148459167643,139.05515547156028,17.175423694693524,0.6829609827347921,46.0,-0.3834085499575901,0.6929101530436911,0.5870361625299453,86.95652173913044
gnn_multiedge_full,full,overall,neighborhood,Roslindale,2,41,39.64327346910381,122.0503325797341,27.413575242205365,0.6643523846987253,41.0,-0.025538506412614126,0.6140860121422779,0.619939477080147,70.73170731707317
gnn_multiedge_full,full,overall,neighborhood,Roxbury,2,48,64.99040510780084,104.64458391939877,38.31715295712153,0.6237607095619291,48.0,-0.6669472933812572,0.6920208261941335,0.5364474021466508,68.75
gnn_multiedge_full,full,overall,neighborhood,South Boston,2,41,15.162599902303677,108.8436373789709,9.637645046885421,0.7101915134244823,41.0,-0.30914498086736897,0.652859964826135,0.6180791422066533,92.6829268292683
gnn_multiedge_full,full,overall,neighborhood,South End,2,48,33.97127428116462,125.50058629483362,22.91242815554142,0.7151191351784524,48.0,-0.11170673355991823,0.628845164917858,0.6399591599631003,77.08333333333334
gnn_multiedge_full,full,overall,neighborhood,West Roxbury,2,39,23.278227573689055,149.95606775309972,15.633946272043081,0.5155731839207659,39.0,-0.43523243953408586,0.3857115096679604,0.47619701446415136,89.74358974358975
gnn_multiedge_full,full,overall,macro,AVERAGE,2,613,27.927847872521394,125.79772925993144,18.010865842065524,0.6530122261504367,613.0,-0.408127801411383,0.6351135583706683,0.5750451348543634,86.32366610280575
gnn_multiedge_full,full,overall,pooled,ALL,2,613,33.47723879628017,124.92337310121033,18.29092173533572,0.7219933559312849,613.0,-0.14014594680689596,0.7123736518815853,0.6488621011591867,86.13376835236541
gnn_multiedge_full,full,overall,cross_week,ALL,2,48,,,,,,,0.6266865498850228,0.4859246784456626,
gnn_multiedge_full,full,flu_season,neighborhood,Allston/Brighton,1,26,13.131623949405924,56.08698297291469,9.591673557574932,0.8539945023023178,26.0,0.6229708401069347,0.7588231172607695,0.8332514572876358,100.0
gnn_multiedge_full,full,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,26,13.18668297574694,67.93714062083116,9.833797629062946,0.6527816135298491,26.0,0.09727411595704272,0.6980679915625604,0.6222685185250028,96.15384615384616
gnn_multiedge_full,full,flu_season,neighborhood,Charlestown,1,21,23.496572647042466,123.8321330048074,17.749372550419398,0.7004845743825695,21.0,0.21215865624643337,0.38962274553830484,0.6724976386258044,85.71428571428571
gnn_multiedge_full,full,flu_season,neighborhood,Dorchester,1,26,37.99060297541605,32.379372232068356,25.587705392103928,0.8984942394394331,26.0,0.6338872729662357,0.9268376068376067,0.8580099600723354,80.76923076923077
gnn_multiedge_full,full,flu_season,neighborhood,East Boston,1,25,11.150222771860236,149.17229927052963,8.056109700202942,0.7974269865169064,25.0,0.44110429286610775,0.6340169651098602,0.767357925435974,96.0
gnn_multiedge_full,full,flu_season,neighborhood,Fenway,1,25,6.444562760268232,65.97031205583515,5.407454347610473,0.6694979141840441,25.0,-0.4058569676613384,0.6520243317052894,0.5754135259984288,100.0
gnn_multiedge_full,full,flu_season,neighborhood,Hyde Park,1,25,16.910528493093707,70.58535365087454,12.396230430603028,0.8435816619661872,25.0,0.5131229681068985,0.6931728425467079,0.8056476271706972,96.0
gnn_multiedge_full,full,flu_season,neighborhood,Jamaica Plain,1,24,10.381602816547149,72.98523011375876,7.883923868338267,0.8512226109445424,24.0,0.6118433021754488,0.7062197008132548,0.8290673170586176,95.83333333333334
gnn_multiedge_full,full,flu_season,neighborhood,Mattapan,1,26,17.534774148953492,73.18612679624782,12.787284227517935,0.8687192148718624,26.0,0.5693913143286629,0.8000723978542869,0.8250829170353762,92.3076923076923
gnn_multiedge_full,full,flu_season,neighborhood,Roslindale,1,26,27.342623786436466,110.30036688472138,20.487182030310997,0.8579130703318935,26.0,0.6397027711993947,0.6781178334557295,0.8380805593509206,88.46153846153845
gnn_multiedge_full,full,flu_season,neighborhood,Roxbury,1,26,48.0907146233042,67.78622461675201,32.58520793914795,0.78410682640906,26.0,0.3351331871340333,0.788141462484024,0.7448331744274894,69.23076923076923
gnn_multiedge_full,full,flu_season,neighborhood,South Boston,1,25,12.2810112596887,67.06030177437336,8.84756651878357,0.7811275709491822,25.0,0.336831932875596,0.7405702965259531,0.7397968258392262,92.0
gnn_multiedge_full,full,flu_season,neighborhood,South End,1,26,25.271107770977252,60.0093805444409,18.072860928682182,0.8428167887112898,26.0,0.5632060399637484,0.818426236421089,0.8156576465042091,88.46153846153845
gnn_multiedge_full,full,flu_season,neighborhood,West Roxbury,1,25,17.146268628740984,85.88423022425943,12.359427223205566,0.7697494899756857,25.0,0.43420168675720794,0.5289306518626526,0.7505571264976264,88.0
gnn_multiedge_full,full,flu_season,macro,AVERAGE,1,352,20.0256356862487,78.79824676874388,14.403271167397435,0.7979940760367731,352.0,0.40035510093017196,0.700931727141292,0.7626801585592389,90.6380167451596
