model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_multiedge_rt,post_covid,overall,neighborhood,Allston/Brighton,1,48,13.036815352139635,84.34643169335115,9.0841915756464,0.8404411854080045,48.0,0.4903495119598126,0.7695887122509231,0.7970542354170453,100.0
gnn_multiedge_rt,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,12.010249218403391,102.38780257440648,8.243901997142368,0.7040617505590702,45.0,0.08860609173689671,0.736080680452719,0.6536020950117767,97.77777777777777
gnn_multiedge_rt,post_covid,overall,neighborhood,Charlestown,1,34,21.248001509241,130.74929355654302,15.171507596969604,0.7065972676017582,34.0,0.0884912504397799,0.3876546246195921,0.6564881180575975,88.23529411764706
gnn_multiedge_rt,post_covid,overall,neighborhood,Dorchester,1,48,42.760943725552494,67.9170999686889,27.155178169409435,0.8707169015246137,48.0,0.39834963300712156,0.8727440500405137,0.7954700622919652,77.08333333333334
gnn_multiedge_rt,post_covid,overall,neighborhood,East Boston,1,43,11.423235376663289,150.03846664401584,8.17447410627853,0.7866877875766874,43.0,0.2339816595818459,0.6376672736751697,0.7206620903149635,100.0
gnn_multiedge_rt,post_covid,overall,neighborhood,Fenway,1,42,6.246364613049001,109.80524137774881,4.736909179460435,0.7254272443652482,42.0,-0.3209504515945283,0.6830772094403811,0.6136774253657524,100.0
gnn_multiedge_rt,post_covid,overall,neighborhood,Hyde Park,1,45,17.50784221363416,100.591293464124,12.329045301013522,0.8331324523540515,45.0,0.2679788100529098,0.7267979054667102,0.7518695068291019,93.33333333333333
gnn_multiedge_rt,post_covid,overall,neighborhood,Jamaica Plain,1,45,9.400790762711276,89.57671870791661,6.53623710738288,0.8492591929804099,45.0,0.5419155845100581,0.7070556891765031,0.8119370414690463,100.0
gnn_multiedge_rt,post_covid,overall,neighborhood,Mattapan,1,46,18.592367697307385,116.90466592902169,13.256635842115983,0.8439248150508313,46.0,0.3384131120326971,0.7347735027476175,0.7646978255377216,86.95652173913044
gnn_multiedge_rt,post_covid,overall,neighborhood,Roslindale,1,41,25.162409551312,122.63375255833635,18.715975331097113,0.8582523210517864,41.0,0.5893846969092064,0.6470476275497001,0.8258078615797554,90.2439024390244
gnn_multiedge_rt,post_covid,overall,neighborhood,Roxbury,1,48,45.15066594556796,113.06651921739113,31.738628059625626,0.7859131664833341,48.0,0.20204689267450882,0.7257120179773999,0.7231803685150201,68.75
gnn_multiedge_rt,post_covid,overall,neighborhood,South Boston,1,41,10.933744233440326,88.15232189926753,7.808990731471923,0.8005610219036328,41.0,0.3228505777517813,0.7025501740135836,0.7448339851465833,97.5609756097561
gnn_multiedge_rt,post_covid,overall,neighborhood,South End,1,48,24.452748433430738,99.18397872316774,16.996949275334675,0.8198528499162839,48.0,0.4240007435832299,0.6781160702472138,0.7733830483874969,85.41666666666666
gnn_multiedge_rt,post_covid,overall,neighborhood,West Roxbury,1,40,15.42389535011812,109.44634418910479,11.195842337608337,0.7723420137754413,40.0,0.3601412733565096,0.4803763730682272,0.7355415662066384,95.0
gnn_multiedge_rt,post_covid,overall,macro,AVERAGE,1,614,19.52500528446934,106.05713789307742,13.653176186468343,0.7997978550393682,614.0,0.2875399561429878,0.6778029936233038,0.7405860878664617,91.45412892976208
gnn_multiedge_rt,post_covid,overall,pooled,ALL,1,614,23.02872637906753,105.1601510131212,13.86019078062101,0.8551222361096242,614.0,0.46089444348307873,0.7604720074467513,0.8042864396095573,91.20521172638436
gnn_multiedge_rt,post_covid,overall,cross_week,ALL,1,48,,,,,,,0.6193884348011042,0.5167551825107739,
gnn_multiedge_rt,post_covid,overall,neighborhood,Allston/Brighton,2,48,18.067140704213365,112.24771816717978,12.430195162693659,0.7464531124131928,48.0,0.01901418036761926,0.7275576277116095,0.6677225738728877,100.0
