model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_uniform,post_covid,overall,neighborhood,Allston/Brighton,1,48,18.023511282219374,100.4951620832066,12.122382946312428,0.7853478494259931,48.0,0.025889508037838294,0.7757367168097321,0.6909827320315307,87.5
gnn_uniform,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,1,45,16.040105552922633,125.19100473809746,11.01401466263665,0.6264031498652023,45.0,-0.6256106151485394,0.7077596811237128,0.5292662329312376,95.55555555555556
gnn_uniform,post_covid,overall,neighborhood,Charlestown,1,34,25.226403362040113,154.46399894904098,18.26601766137516,0.6616478588897386,34.0,-0.2847994324407075,0.38060350978212987,0.5821340195927348,85.29411764705883
gnn_uniform,post_covid,overall,neighborhood,Dorchester,1,48,64.20204372535841,91.45889051458575,40.22561687231064,0.8081321932379243,48.0,-0.35627366541723804,0.8676418707567394,0.6564398499510197,68.75
gnn_uniform,post_covid,overall,neighborhood,East Boston,1,43,15.297139011516178,186.36666315208444,10.841953934625138,0.73774889246108,43.0,-0.37366661475008356,0.6542399329099322,0.6119247119453557,93.02325581395348
gnn_uniform,post_covid,overall,neighborhood,Fenway,1,42,8.729337338949296,140.99760156447994,6.387196242809296,0.6102448048427787,42.0,-1.5798497812817662,0.5926963224019356,0.4507699150518387,100.0
gnn_uniform,post_covid,overall,neighborhood,Hyde Park,1,45,25.378023316656122,127.31330865137778,17.04491522312164,0.7632840740493386,45.0,-0.5380625192802815,0.7391559281759896,0.6115112863502802,80.0
gnn_uniform,post_covid,overall,neighborhood,Jamaica Plain,1,45,12.71161365011216,107.79442427856512,8.764680676990086,0.8031738059057579,45.0,0.16243578612438725,0.7129013205789393,0.7178346109578763,97.77777777777777
gnn_uniform,post_covid,overall,neighborhood,Mattapan,1,46,27.01266593491429,152.18112744676802,18.724074146021966,0.7702016796411152,46.0,-0.39653680324137053,0.7032050877107611,0.6242301887794346,80.43478260869566
gnn_uniform,post_covid,overall,neighborhood,Roslindale,1,41,33.70320797186756,144.75135678425198,24.380157470703125,0.806124976673009,41.0,0.26332970516290355,0.6795621433049404,0.7340943809690205,70.73170731707317
gnn_uniform,post_covid,overall,neighborhood,Roxbury,1,48,59.27400227200126,135.28659073984795,40.80508970220884,0.7531458704331484,48.0,-0.37523702004053194,0.7220649503803037,0.6274879838516374,62.5
gnn_uniform,post_covid,overall,neighborhood,South Boston,1,41,15.14151831898248,110.93912709833064,10.5871525275998,0.7388824657001335,41.0,-0.298630336470846,0.7184130730756062,0.6232322627850976,87.8048780487805
gnn_uniform,post_covid,overall,neighborhood,South End,1,48,34.327379287058186,121.105239944807,23.378697082400322,0.7516531139447369,48.0,-0.13513590315864454,0.690611128187881,0.6509068789814418,75.0
gnn_uniform,post_covid,overall,neighborhood,West Roxbury,1,40,18.619700683388846,135.7062410473367,13.470936185121536,0.7281307182988144,40.0,0.06751608704083512,0.4540020187879744,0.661630252690252,85.0
gnn_uniform,post_covid,overall,macro,AVERAGE,1,614,26.691903693427633,131.00362407091288,18.286634666731192,0.7388658180977693,614.0,-0.3174736860617175,0.6713281202847555,0.6266032362049112,83.52657676920678
gnn_uniform,post_covid,overall,pooled,ALL,1,614,31.89929198288161,130.0217893839823,18.63176492215756,0.8104560422273888,614.0,-0.03441796979850564,0.7437608291942285,0.704052394011792,83.22475570032573
gnn_uniform,post_covid,overall,cross_week,ALL,1,48,,,,,,,0.6108815071836676,0.4657044220993394,
gnn_uniform,post_covid,overall,neighborhood,Allston/Brighton,2,48,20.72438137450916,125.57914000370707,13.98259906222423,0.6909435434805307,48.0,-0.2907645442697784,0.6991999166292613,0.6005754901824558,95.83333333333334
gnn_uniform,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,45,15.88660142327199,115.0665404503641,10.78709131611718,0.6549721896905245,45.0,-0.6180561985951121,0.7128004210511236,0.5469193538781684,97.77777777777777
gnn_uniform,post_covid,overall,neighborhood,Charlestown,2,34,28.829712692094084,151.76104265982872,20.637054387260886,0.5456053219612561,34.0,-0.686244649626431,0.4311473404752777,0.47288443610240216,85.29411764705883
gnn_uniform,post_covid,overall,neighborhood,Dorchester,2,48,76.95678997403984,119.70010289360464,50.477896769841514,0.6765729019883593,48.0,-0.952397287931434,0.8003365270133328,0.5360036711814609,70.83333333333334
gnn_uniform,post_covid,overall,neighborhood,East Boston,2,43,17.878299282943235,201.6353948614491,12.854643014974373,0.6056762194361189,43.0,-0.8950790858193842,0.5613953405952916,0.49222350098326023,97.67441860465115
gnn_uniform,post_covid,overall,neighborhood,Fenway,2,42,9.868018421454826,182.77205603684698,7.1459577566101435,0.5098948384025078,42.0,-2.220834072258528,0.5205604066825532,0.36296980169918963,97.61904761904762
gnn_uniform,post_covid,overall,neighborhood,Hyde Park,2,45,30.510984235193895,151.2125485978415,20.436047707663644,0.6068385082701714,45.0,-1.2404683384015076,0.6766138696020298,0.47276796398328663,84.44444444444444
gnn_uniform,post_covid,overall,neighborhood,Jamaica Plain,2,45,15.023268041961684,147.0539801665693,10.583061485820346,0.6901916703051518,45.0,-0.17304709714339284,0.5837777935184716,0.6105678522328546,100.0
gnn_uniform,post_covid,overall,neighborhood,Mattapan,2,46,31.508173671493058,174.23983124241474,21.268745577853657,0.6455794346367224,46.0,-0.9094440917120818,0.6623779703007606,0.5112096653034399,84.78260869565217
gnn_uniform,post_covid,overall,neighborhood,Roslindale,2,41,40.95122980237272,138.00913560123033,29.36347258963236,0.6686240220008025,41.0,-0.09432629217447563,0.6388630782153124,0.6069043221629415,65.85365853658537
