model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,CI_coverage,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,R2,Spearman,CCC,rank_RMSE,rank_MAPE,rank_MAE,rank_Corr
lstm,post_covid,flu_season,pooled,ALL,1,352,18.86810142140628,49.63213783705368,10.516900537501682,0.8742666021370011,352.0,91.19318181818184,level,train,21390,8dd9348,,,,,,,1.0,1.0,1.0,3.0
arima,exclude_covid,flu_season,pooled,ALL,1,352,19.043228452997067,65.15710556909039,11.368464626876555,0.8707461798414557,352.0,92.32954545454544,level,none,,8dd9348,,,,,,,2.0,7.0,3.0,4.0
arima,post_covid,flu_season,pooled,ALL,1,352,19.475380644303073,64.99151649470876,11.67589629466042,0.8650468071233339,352.0,93.75,level,none,,8dd9348,,,,,,,3.0,6.0,4.0,6.0
gnn_multiedge_covid_rsv_full,full,flu_season,pooled,ALL,1,352,19.87819432061343,73.73377111893919,13.266323781487616,0.8678739702565862,352.0,91.19318181818184,delta,train,6337,8dd9348,,,,0.7279323282889267,0.7747837932773364,0.8635594630681266,4.0,8.0,7.0,5.0
lstm,exclude_covid,flu_season,pooled,ALL,1,352,19.957787168696235,51.53680745843655,10.742776119167154,0.8747163797451463,352.0,91.76136363636364,level,train,21390,8dd9348,,,,,,,5.0,2.0,2.0,2.0
persistence,exclude_covid,flu_season,pooled,ALL,1,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,352.0,93.18181818181816,level,none,0,8dd9348,,,,,,,6.0,4.0,5.0,8.0
persistence,post_covid,flu_season,pooled,ALL,1,352,20.131564252719254,60.87732802347335,12.051278409090909,0.8607806389258764,352.0,93.18181818181816,level,none,0,8dd9348,,,,,,,6.0,4.0,5.0,8.0
gnn_multiedge_covid_rsv,post_covid,flu_season,pooled,ALL,1,352,21.117325756827704,86.72026950526607,14.384397593072867,0.8761589529314429,352.0,89.20454545454545,delta,train,6337,8dd9348,,,,0.6929557945349111,0.7976063731302848,0.8583551152391954,8.0,9.0,9.0,1.0
dualtopo_fullhistory,full,flu_season,pooled,ALL,1,352,24.9650866335787,60.288819963995365,13.930661419575864,0.7948186229941802,352.0,85.79545454545455,level,train,479905,8dd9348,,,,0.5708696557342443,0.7734011390482981,0.7933197956116979,9.0,3.0,8.0,16.0
gnn_multiedge,post_covid,flu_season,pooled,ALL,1,352,26.2995122561868,100.99752740044954,17.70218159326098,0.8614960837233869,352.0,88.06818181818183,delta,train,4801,8dd9348,,,,0.523768130089725,0.7674040691831969,0.8154765350878027,10.0,11.0,10.0,7.0
gnn_uniform,post_covid,flu_season,pooled,ALL,1,352,31.07564159769882,97.56426937051646,19.13771173510362,0.8569994953631799,352.0,84.375,delta,train,4801,8dd9348,,,,0.3350893718194415,0.7695876732511606,0.7819338979784224,11.0,10.0,13.0,10.0
gnn_multiedge_season,post_covid,flu_season,pooled,ALL,1,352,32.654721177795324,119.92934313499946,21.62882195209915,0.8489131874434295,352.0,84.0909090909091,delta,train,4865,8dd9348,,,,0.2657989069408044,0.7611590881186134,0.7594147166872092,12.0,14.0,14.0,11.0
