model,variant,series,horizon,scope,indicator,segment,level,label,threshold,n_obs,n_events,base_rate,hits,false_alarms,misses,correct_neg,POD,FAR,precision,FPR,CSI,F1,PSS,HSS,MCC,accuracy,frequency_bias,brier,brier_ref,BSS,exact_band,within_one_band,kappa_quadratic,mean_band_error,underpowered
arima,post_covid,arima,1,citywide,CITYWIDE,overall,,bands,,49,,,,,,,,,,,,,,,,,,,,,0.9387755102040817,1.0,0.7054108216432866,-0.02040816326530612,False
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.5,IT50,60.20679524890062,49,4.0,0.08163265306122448,3.0,1.0,1.0,44.0,0.75,0.25,0.75,0.022222222222222223,0.6,0.75,0.7277777777777777,0.7277777777777777,0.7277777777777777,0.9591836734693877,1.0,0.03011862182770493,0.07496876301541025,0.5982510499537803,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.9,IT90,98.17566769051967,49,1.0,0.02040816326530612,0.0,0.0,1.0,48.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9795918367346939,0.0,0.024227470313944496,0.01999167013744273,-0.21187825466209875,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,overall,0.98,IT98,134.22833796478614,49,0.0,0.0,0.0,0.0,0.0,49.0,,,,0.0,,,,,,1.0,,0.0002532297712545183,0.0,,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,,bands,,26,,,,,,,,,,,,,,,,,,,,,0.8846153846153846,1.0,0.6829268292682926,-0.038461538461538464,False
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.5,IT50,60.20679524890062,26,4.0,0.15384615384615385,3.0,1.0,1.0,21.0,0.75,0.25,0.75,0.045454545454545456,0.6,0.75,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.9230769230769231,1.0,0.05676011309589709,0.13017751479289943,0.5639791312178815,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.9,IT90,98.17566769051967,26,1.0,0.038461538461538464,0.0,0.0,1.0,25.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.9615384615384616,0.0,0.0456594632839706,0.036982248520710054,-0.23463188719856531,,,,,True
arima,post_covid,arima,1,citywide,CITYWIDE,flu_season,0.98,IT98,134.22833796478614,26,0.0,0.0,0.0,0.0,0.0,26.0,,,,0.0,,,,,,1.0,,0.0004772407227488999,0.0,,,,,,True
arima,post_covid,arima,1,pooled,ALL,overall,,bands,,627,,,,,,,,,,,,,,,,,,,,,0.9362041467304625,0.9904306220095693,0.6610432738100346,-0.02073365231259968,False
arima,post_covid,arima,1,pooled,ALL,overall,0.5,IT50,,627,51.0,0.08133971291866028,35.0,10.0,16.0,566.0,0.6862745098039216,0.2222222222222222,0.7777777777777778,0.017361111111111112,0.5737704918032787,0.7291666666666666,0.6689133986928104,0.7068091075860581,0.7084324985315859,0.9585326953748007,0.8823529411764706,0.035199137266520415,0.07472356402097019,0.5289419378250984,,,,,False
