model,variant,horizon,indicator,season,level,label,threshold,n_weeks,onset_actual,onset_pred,onset_error_weeks,lead_time_weeks,first_alert_week,peak_week_actual,peak_week_pred,peak_week_error_weeks,peak_actual,peak_pred,peak_error,series
arima,post_covid,1,Allston/Brighton,2024-25,0.5,IT50,43.17201700312734,9,,,,,,2025-06-15,2025-06-01,-2.0,5.7,12.698709769648662,6.998709769648662,arima
arima,post_covid,1,Allston/Brighton,2024-25,0.9,IT90,72.80812661818143,9,,,,,,2025-06-15,2025-06-01,-2.0,5.7,12.698709769648662,6.998709769648662,arima
arima,post_covid,1,Allston/Brighton,2024-25,0.98,IT98,101.71188922331822,9,,,,,,2025-06-15,2025-06-01,-2.0,5.7,12.698709769648662,6.998709769648662,arima
arima,post_covid,1,Allston/Brighton,2025-26,0.5,IT50,43.17201700312734,40,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,80.6,71.43865395469012,-9.16134604530987,arima
arima,post_covid,1,Allston/Brighton,2025-26,0.9,IT90,72.80812661818143,40,2025-12-21,,,,,2025-12-21,2025-12-28,1.0,80.6,71.43865395469012,-9.16134604530987,arima
arima,post_covid,1,Allston/Brighton,2025-26,0.98,IT98,101.71188922331822,40,,,,,,2025-12-21,2025-12-28,1.0,80.6,71.43865395469012,-9.16134604530987,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.5,IT50,32.35361456388361,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,6.8,3.4,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.9,IT90,56.35007606954225,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,6.8,3.4,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2024-25,0.98,IT98,80.35966190257739,8,,,,,,2025-06-08,2025-06-01,-1.0,3.4,6.8,3.4,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.5,IT50,32.35361456388361,38,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-21,2025-12-28,1.0,58.1,58.10000000000001,7.105427357601002e-15,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.9,IT90,56.35007606954225,38,2025-12-21,2025-12-28,1.0,-1.0,2025-12-28,2025-12-21,2025-12-28,1.0,58.1,58.10000000000001,7.105427357601002e-15,arima
arima,post_covid,1,Back Bay/Beacon Hill/Downtown/North End/West End,2025-26,0.98,IT98,80.35966190257739,38,,,,,,2025-12-21,2025-12-28,1.0,58.1,58.10000000000001,7.105427357601002e-15,arima
arima,post_covid,1,Charlestown,2024-25,0.5,IT50,44.544403832795176,3,,,,,,2025-06-01,2025-07-27,8.0,10.3,17.09680626175365,6.796806261753648,arima
arima,post_covid,1,Charlestown,2024-25,0.9,IT90,75.51034339625782,3,,,,,,2025-06-01,2025-07-27,8.0,10.3,17.09680626175365,6.796806261753648,arima
arima,post_covid,1,Charlestown,2024-25,0.98,IT98,105.83479691598406,3,,,,,,2025-06-01,2025-07-27,8.0,10.3,17.09680626175365,6.796806261753648,arima
arima,post_covid,1,Charlestown,2025-26,0.5,IT50,44.544403832795176,32,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-14,2026-01-04,3.0,92.8,69.1570465739052,-23.642953426094792,arima
arima,post_covid,1,Charlestown,2025-26,0.9,IT90,75.51034339625782,32,2025-12-14,,,,,2025-12-14,2026-01-04,3.0,92.8,69.1570465739052,-23.642953426094792,arima
arima,post_covid,1,Charlestown,2025-26,0.98,IT98,105.83479691598406,32,,,,,,2025-12-14,2026-01-04,3.0,92.8,69.1570465739052,-23.642953426094792,arima
arima,post_covid,1,Dorchester,2024-25,0.5,IT50,157.0086457734027,9,,,,,,2025-06-01,2025-06-08,1.0,24.3,27.65938943132946,3.3593894313294577,arima
arima,post_covid,1,Dorchester,2024-25,0.9,IT90,264.26252974322875,9,,,,,,2025-06-01,2025-06-08,1.0,24.3,27.65938943132946,3.3593894313294577,arima
arima,post_covid,1,Dorchester,2024-25,0.98,IT98,368.7005757586777,9,,,,,,2025-06-01,2025-06-08,1.0,24.3,27.65938943132946,3.3593894313294577,arima
arima,post_covid,1,Dorchester,2025-26,0.5,IT50,157.0086457734027,40,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-21,2025-12-28,1.0,256.15,276.6237437236602,20.47374372366022,arima
arima,post_covid,1,Dorchester,2025-26,0.9,IT90,264.26252974322875,40,,2025-12-28,,,2025-12-28,2025-12-21,2025-12-28,1.0,256.15,276.6237437236602,20.47374372366022,arima
arima,post_covid,1,Dorchester,2025-26,0.98,IT98,368.7005757586777,40,,,,,,2025-12-21,2025-12-28,1.0,256.15,276.6237437236602,20.47374372366022,arima
arima,post_covid,1,East Boston,2024-25,0.5,IT50,32.38969817502224,6,,,,,,2025-06-15,2025-07-13,4.0,3.1,7.438858574806892,4.338858574806892,arima
arima,post_covid,1,East Boston,2024-25,0.9,IT90,56.982258100156095,6,,,,,,2025-06-15,2025-07-13,4.0,3.1,7.438858574806892,4.338858574806892,arima
arima,post_covid,1,East Boston,2024-25,0.98,IT98,81.78485877953806,6,,,,,,2025-06-15,2025-07-13,4.0,3.1,7.438858574806892,4.338858574806892,arima
arima,post_covid,1,East Boston,2025-26,0.5,IT50,32.38969817502224,38,2025-12-14,2025-12-21,1.0,-1.0,2025-12-21,2025-12-28,2026-01-04,1.0,59.3,50.12239617673656,-9.17760382326344,arima
arima,post_covid,1,East Boston,2025-26,0.9,IT90,56.982258100156095,38,2025-12-28,,,,,2025-12-28,2026-01-04,1.0,59.3,50.12239617673656,-9.17760382326344,arima
arima,post_covid,1,East Boston,2025-26,0.98,IT98,81.78485877953806,38,,,,,,2025-12-28,2026-01-04,1.0,59.3,50.12239617673656,-9.17760382326344,arima
arima,post_covid,1,Fenway,2024-25,0.5,IT50,19.789042860168028,7,,,,,,2025-06-01,2025-06-01,0.0,5.3,6.480917619824314,1.1809176198243145,arima
arima,post_covid,1,Fenway,2024-25,0.9,IT90,31.717921949528318,7,,,,,,2025-06-01,2025-06-01,0.0,5.3,6.480917619824314,1.1809176198243145,arima
arima,post_covid,1,Fenway,2024-25,0.98,IT98,42.89052071415166,7,,,,,,2025-06-01,2025-06-01,0.0,5.3,6.480917619824314,1.1809176198243145,arima
arima,post_covid,1,Fenway,2025-26,0.5,IT50,19.789042860168028,36,2025-12-14,,,,,2026-01-04,2026-01-11,1.0,21.1,17.608539622905493,-3.4914603770945085,arima
