model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gat,post_covid,overall,neighborhood,Allston/Brighton,2,49,16.78845593685287,127.72706347400522,10.885106651150451,0.4026636988760305,49.0,0.14454203040113667,0.5806985814271567,0.33054292062826857,89.79591836734694
gat,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,11.054383571601027,117.09796993656114,7.151518199754798,0.47288062833600053,46.0,0.21102250797745092,0.5737944337283939,0.4051485870071508,93.47826086956522
gat,post_covid,overall,neighborhood,Charlestown,2,35,21.76806827596456,92.46257175322587,13.2391788482666,0.24811665359900964,35.0,0.015287822111749616,0.543148578021374,0.18924159287409273,91.42857142857143
gat,post_covid,overall,neighborhood,Dorchester,2,49,53.69611128146217,156.1446328654418,38.248664311000276,0.3774036683401589,49.0,0.03375381954662282,0.6247608359389039,0.3349678868516138,77.55102040816327
gat,post_covid,overall,neighborhood,East Boston,2,44,11.841798401994614,126.09537864122744,8.059392950751565,0.44021311823553083,44.0,0.16107932675859726,0.6439578238698458,0.39265939066761324,93.18181818181817
gat,post_covid,overall,neighborhood,Fenway,2,43,5.170232643866822,115.79648075985212,3.964691927266675,0.5275873545420148,43.0,0.0965934695245253,0.6067350218994585,0.49333941344758364,100.0
gat,post_covid,overall,neighborhood,Hyde Park,2,46,22.01042265234626,178.93717262964756,14.66736250338347,0.24858239377139563,46.0,-0.18202976530776138,0.45367015964534857,0.22210534930168277,86.95652173913044
gat,post_covid,overall,neighborhood,Jamaica Plain,2,46,12.822408568475847,157.4760989969944,8.59732781285825,0.3895132595397075,46.0,0.13235295090009558,0.5357843266284583,0.30832168376836644,93.47826086956522
gat,post_covid,overall,neighborhood,Mattapan,2,47,22.273602351141975,195.9002211572941,17.756041831158576,0.5050445810875512,47.0,0.032188967979943195,0.6472776897466781,0.42918587080936155,93.61702127659575
gat,post_covid,overall,neighborhood,Roslindale,2,42,36.468341200541474,122.02979757901926,22.63548555828276,0.3651626449876762,42.0,0.11652652277209208,0.47658134167520827,0.2902207721899001,80.95238095238095
gat,post_covid,overall,neighborhood,Roxbury,2,49,49.403896795519124,147.80333095689744,32.83502022100954,0.3445745140762692,49.0,0.028576353379982877,0.502854056595764,0.3040697505982389,75.51020408163265
gat,post_covid,overall,neighborhood,South Boston,2,42,12.615043566776587,112.45634116635723,8.502172560918899,0.4013165996212354,42.0,0.08450721058822874,0.5436285191968823,0.3714769011036218,92.85714285714286
gat,post_covid,overall,neighborhood,South End,2,49,29.107893781425165,144.19558725723118,19.640519044837173,0.44221830764150544,49.0,0.17160211930395786,0.5378435309781499,0.3683444562695158,87.75510204081633
gat,post_covid,overall,neighborhood,West Roxbury,2,40,18.710947524363373,82.55031786544924,10.575692760944367,0.3010845101737042,40.0,0.0583543188393173,0.48684155777570676,0.232258809731357,90.0
gat,post_covid,overall,macro,AVERAGE,2,627,23.12368618230942,134.04806893137172,15.482726798684528,0.39045442377341366,627.0,0.07888268962685276,0.5541126040805234,0.33370595608916914,89.04015879090923
gat,post_covid,overall,pooled,ALL,2,627,27.536838407802488,135.8860502481654,15.840209589810653,0.5203962121085944,627.0,0.2155425703549907,0.6374914664500585,0.4940792730226803,88.83572567783095
gat,post_covid,overall,cross_week,ALL,2,49,,,,,,,0.7134692815192314,0.4921324262181272,
gat,post_covid,flu_season,neighborhood,Allston/Brighton,2,26,22.117581453682128,75.62106093446778,14.94319354570829,0.23274944249368326,26.0,-0.06958024157860065,0.4170115884229802,0.19050578683656433,80.76923076923077
gat,post_covid,flu_season,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,26,14.18382884857133,75.40183195116144,9.72395944595337,0.3257859333453192,26.0,-0.04441169693722191,0.4942500107665987,0.2724897383001788,88.46153846153845
gat,post_covid,flu_season,neighborhood,Charlestown,2,21,27.74408432590285,108.49734093467471,18.95675295875186,0.10948142473457072,21.0,-0.09842525258068391,0.5261093922489825,0.07964935206583575,85.71428571428571
gat,post_covid,flu_season,neighborhood,Dorchester,2,26,69.30616016982908,77.87382138883696,49.780305275550255,0.18103789342197094,26.0,-0.21844555002626231,0.43316239316239313,0.16825290080921373,69.23076923076923
gat,post_covid,flu_season,neighborhood,East Boston,2,25,15.238927465918042,110.65411466788288,11.140771312713623,0.29269537839094867,25.0,-0.0439326802751383,0.4974950638635764,0.26136508215613946,88.0
gat,post_covid,flu_season,neighborhood,Fenway,2,25,5.952035806905708,61.67522401523517,4.497301197052002,0.3833784570498144,25.0,-0.19918253085949655,0.6539322104444041,0.38176334252885885,100.0
gat,post_covid,flu_season,neighborhood,Hyde Park,2,25,28.527625902436437,125.67428742714797,19.635151939392088,0.06116728005291477,25.0,-0.38559469789425505,0.2458879351010543,0.056611096683490375,76.0
gat,post_covid,flu_season,neighborhood,Jamaica Plain,2,24,17.0491538932677,131.74594167831322,12.1220649878184,0.21509263459537303,24.0,-0.046848661341982956,0.3070899749058255,0.1691615051399343,87.5
gat,post_covid,flu_season,neighborhood,Mattapan,2,26,27.01772634200057,119.4726056466446,20.889994034400353,0.38581096733375614,26.0,-0.02230393064817604,0.5548723273588667,0.3563786715267912,88.46153846153845
gat,post_covid,flu_season,neighborhood,Roslindale,2,26,45.48387778944768,120.10344527596489,30.120647797217735,0.25927471868660396,26.0,0.0029991586802831094,0.39209652627843655,0.20159902939497987,69.23076923076923
gat,post_covid,flu_season,neighborhood,Roxbury,2,26,64.66375309776366,84.93572012462202,44.90629849067101,0.16064437161256198,26.0,-0.20208176717147186,0.3548179267816288,0.14478471831324424,61.53846153846154
gat,post_covid,flu_season,neighborhood,South Boston,2,25,15.924171233349904,107.31612175108438,11.772143230438232,0.2627061245287592,25.0,-0.1149849995914316,0.4292823626612704,0.2434430365515926,88.0
gat,post_covid,flu_season,neighborhood,South End,2,26,37.956117056546454,111.57288278559221,26.60292155926044,0.2967595617172562,26.0,0.014647534875099955,0.4906434364438771,0.2495361635048349,76.92307692307693
gat,post_covid,flu_season,neighborhood,West Roxbury,2,25,23.32981456538252,77.03134849168133,14.43110019683838,0.2032764693400393,25.0,-0.047478154876043455,0.47249874825969357,0.15181516263633038,84.0
