model,variant,segment,scope,neighborhood,horizon,n_obs,RMSE,MAPE,MAE,Corr,MAPE_n,R2,Spearman,CCC,CI_coverage
gnn_st,post_covid,overall,neighborhood,Allston/Brighton,2,49,9.861602740884221,55.208262997660384,5.731382520831361,0.839890694925246,49.0,0.7048300102191938,0.8094989387965175,0.825466009645976,93.87755102040816
gnn_st,post_covid,overall,neighborhood,Back Bay/Beacon Hill/Downtown/North End/West End,2,46,6.529093018304826,52.51815518903863,4.306127149125804,0.8544951758455724,46.0,0.7247664610647375,0.8238732780836803,0.8415192717060259,97.82608695652173
gnn_st,post_covid,overall,neighborhood,Charlestown,2,35,16.741430625249624,59.11681374423091,9.160277216775077,0.6682108281362074,35.0,0.41755535814310996,0.6304890528790823,0.6559576282317338,94.28571428571428
gnn_st,post_covid,overall,neighborhood,Dorchester,2,49,31.025720085817923,49.9323672589111,17.721235508821447,0.8383620877964832,49.0,0.6774137367851396,0.9015025896451196,0.8371692885079073,91.83673469387756
gnn_st,post_covid,overall,neighborhood,East Boston,2,44,7.409892293320803,82.24167740319903,4.994216951456937,0.8211253840683983,44.0,0.6715196459870818,0.6755243838634657,0.8125286020429298,97.72727272727273
gnn_st,post_covid,overall,neighborhood,Fenway,2,43,3.8638388275632534,69.63416632798271,2.5494059795557065,0.7543814874308874,43.0,0.4954536673555402,0.7790553760815617,0.7435056885757805,100.0
gnn_st,post_covid,overall,neighborhood,Hyde Park,2,46,13.376133393265942,72.41147597148489,7.791902288146641,0.7786838605209349,46.0,0.5634511680649061,0.7369337354370901,0.7762161350432797,95.65217391304348
gnn_st,post_covid,overall,neighborhood,Jamaica Plain,2,46,7.380268206439475,77.64426507212792,4.870187837144603,0.8443634629238429,46.0,0.7125593503922414,0.7371002918098728,0.8289819755900937,100.0
gnn_st,post_covid,overall,neighborhood,Mattapan,2,47,11.153780056296382,80.50819768846341,8.250985399205634,0.8883830731500162,47.0,0.7573089331613061,0.8044920205506038,0.8751124826667895,100.0
gnn_st,post_covid,overall,neighborhood,Roslindale,2,42,23.929376626901472,69.79061745094431,15.539118675958543,0.7888598203836534,42.0,0.6196142113419352,0.5801930810251893,0.7661402356713002,85.71428571428571
