model,variant,neighborhood,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
dualtopo_fullhistory,full,Allston/Brighton,84.61538461538461,100.0,91.83673469387756,0.3945990508894927,0.6032697454116103,0.5790272062225283,14.611479043960571,2.764541252799656,9.05067150933402,58.93121642665762,55.10056259953635,57.13315442617212,21.28604382997385,3.483817535383565,15.688054637062349,level,train,479905,8dd9348,,,,2.0
gnn_multiedge_season_level,post_covid,Allston/Brighton,92.3076923076923,100.0,95.91836734693877,0.4514340439562206,0.6189643381013773,0.5763039669146702,14.056787435825054,5.171636094217715,9.8862061938461,71.24585833473837,97.70617214451002,83.66600563320262,20.401957205407054,8.237418479540722,15.896927412563674,level,train,4865,8dd9348,,,,4.666666666666667
lstm,post_covid,Allston/Brighton,88.46153846153845,100.0,93.87755102040816,0.3900753210026296,0.5224505396655515,0.4563863233226005,13.290086159339316,5.908467226443084,9.825244619408432,56.391859914878125,146.61757446323028,98.7427055192067,20.877807103374607,8.473781418887897,16.27848706233749,level,train,21390,8dd9348,,,,5.666666666666667
gnn_multiedge_season,post_covid,Allston/Brighton,96.15384615384616,100.0,97.95918367346938,0.4844709184724011,0.6051288424312661,0.5832314658234089,14.542198768028848,6.626020366730898,10.82644155925634,79.02690185659134,115.2263208163836,96.01846585812646,20.268395391408372,10.060885569077913,16.293918215143773,delta,train,4865,8dd9348,,,,6.0
gnn_multiedge_covid_rsv,post_covid,Allston/Brighton,84.61538461538461,100.0,91.83673469387756,0.339289279329616,0.5473657264404168,0.4261535691407961,16.383913572017963,4.9618382142937705,11.022531261249464,82.33946168750327,110.99378023931764,95.78944794651817,22.009884922185165,7.468440661986031,16.82939352083718,delta,train,6337,8dd9348,,,,6.333333333333333
gnn_multiedge_covid_rsv_full,full,Allston/Brighton,76.92307692307693,100.0,87.75510204081633,0.2213993115710446,0.5458523874445372,0.3997992406647231,16.19055801171523,4.225918386293494,10.574502677333598,80.59816236763345,94.16258965858728,86.96513844297911,23.37026350302919,5.505625631291482,17.436516709949437,delta,train,6337,8dd9348,,,,6.333333333333333
dualtopo_no_bg,post_covid,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.3515481257666182,0.5089797439621953,0.5304308025480176,14.075287415431095,11.685678647912066,12.953634320473183,72.88726777892549,329.7511116824947,193.4560108357029,22.126577992199525,12.33787810919126,18.199773618363373,level,train,479905,8dd9348,,,,9.333333333333334
dualtopo,post_covid,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.3126142512001144,0.6211005757639645,0.5338478508294267,14.133223423591026,11.938667380291482,13.103125688981036,73.8963487081978,335.90241710030494,196.87878897388077,22.1170367694817,12.587268232683773,18.27362915260673,level,train,479905,8dd9348,,,,9.666666666666666
lstm,exclude_covid,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.1900862145076841,0.5952998057991388,0.320976697570391,16.51740782077496,4.546229370780614,10.898283242206183,71.37534469017612,90.37138597212562,80.29185386333609,24.5446600704266,7.134932762489757,18.535303267875328,level,train,21390,8dd9348,,,,9.333333333333334
arima,post_covid,Allston/Brighton,96.15384615384616,100.0,97.95918367346938,-0.028095892858044,0.5496014225938648,0.1790583008097012,16.305432223767916,8.309585066397835,12.55227947643094,86.08960687365271,229.24736932239068,153.2861076148971,24.106057360042666,9.088254883824384,18.630876667595498,level,none,,8dd9348,,,,11.0
arima,exclude_covid,Allston/Brighton,88.46153846153845,100.0,93.87755102040816,-0.0311400133257082,0.5981019773421616,0.1798676290572086,16.486479784662308,6.396022084376764,11.750142496773174,82.02254641869371,177.0448520253074,126.6248531320022,25.00317869948532,7.321279017726628,18.891180579411404,level,none,,8dd9348,,,,10.666666666666666
gnn_multiedge_full,full,Allston/Brighton,80.76923076923077,100.0,89.79591836734694,0.2173334057006052,0.6389082874579818,0.3870931267032408,17.769257673850426,8.574963590373164,13.453568614259058,111.0188122116146,137.09043661377217,123.25651346160691,27.989829022542793,13.626456184957874,22.424403995985752,delta,train,4801,8dd9348,,,,14.666666666666666
gnn_multiedge_rt,post_covid,Allston/Brighton,84.61538461538461,95.65217391304348,89.79591836734694,0.1459253540279619,0.3505126867340886,0.3354645220572528,21.255175792253933,8.256795271583226,15.153895139694214,120.43193454563716,142.46260596888462,130.77286194838595,28.71944525508974,13.668814184698384,22.92054109385789,delta,train,5313,8dd9348,,,,16.0
seasonal_naive,exclude_covid,Allston/Brighton,96.15384615384616,100.0,97.95918367346938,0.0330273076450547,0.6129804020469202,0.3017583216912435,22.473076923076924,3.639130434782609,13.632653061224488,152.37160767446832,96.1814588608294,125.99663986398475,31.451653986102837,4.549773047373758,23.12145394764484,level,none,0,8dd9348,,,,12.333333333333334
seasonal_naive,post_covid,Allston/Brighton,100.0,100.0,100.0,0.0330273076450547,0.6129804020469202,0.3017583216912435,22.473076923076924,3.639130434782609,13.632653061224488,152.37160767446832,96.1814588608294,125.99663986398475,31.451653986102837,4.549773047373758,23.12145394764484,level,none,0,8dd9348,,,,12.333333333333334
persistence,exclude_covid,Allston/Brighton,92.3076923076923,100.0,95.91836734693877,-0.0284788436359612,0.5873663141879055,0.1815324014299266,20.46538461538461,5.073913043478261,13.240816326530611,105.846187707017,93.9550359917106,100.26462669779154,31.288932671030945,7.021674518480493,23.294003783053224,level,none,0,8dd9348,,,,13.333333333333334
persistence,post_covid,Allston/Brighton,92.3076923076923,100.0,95.91836734693877,-0.0284788436359612,0.5873663141879055,0.1815324014299266,20.46538461538461,5.073913043478261,13.240816326530611,105.846187707017,93.9550359917106,100.26462669779154,31.288932671030945,7.021674518480493,23.294003783053224,level,none,0,8dd9348,,,,13.333333333333334
gnn_multiedge,post_covid,Allston/Brighton,92.3076923076923,82.6086956521739,87.75510204081633,0.3429338178674718,0.5976283133454512,0.3724204368228805,19.852763927899876,12.977427498154018,16.625565195570186,105.93218482845992,190.91719670007456,145.8231087681974,25.950963262982786,22.89161440463563,24.562441496988324,delta,train,4801,8dd9348,,,,16.666666666666668
gnn_corrbinary,post_covid,Allston/Brighton,92.3076923076923,82.6086956521739,87.75510204081633,0.3389547572390075,0.6168191181863275,0.3351499893865742,17.677281819857082,14.460661628971929,16.167439689441604,97.07924478064994,221.16245685372775,155.3223851414824,23.583792480652825,25.860924309984487,24.678829770766093,delta,train,4801,8dd9348,,,,16.333333333333332
gnn_multiedge_level,post_covid,Allston/Brighton,73.07692307692307,82.6086956521739,77.55102040816327,0.3338931856188729,0.6054724377679844,0.3933389454434725,18.15739290530865,14.630317148954973,16.501826733958964,111.99092497145848,264.26860102815607,183.4682014878676,26.312804204727996,23.958149559905884,25.234933953697375,level,train,4801,8dd9348,,,,18.0
gnn_multiedge_leaknorm,post_covid,Allston/Brighton,92.3076923076923,82.6086956521739,87.75510204081633,0.2576300934108567,0.5803621006382699,0.2942082656923705,21.315323288624104,15.48084605258444,18.576691116605485,116.66711104870012,229.49747308334295,169.62830139149162,28.29097123703148,28.675463155135567,28.472093640219324,delta,all,4801,8dd9348,,,,19.666666666666668
gnn_uniform,post_covid,Allston/Brighton,92.3076923076923,78.26086956521739,85.71428571428571,0.4101566203548575,0.6174934876402898,0.3226898378942621,17.30675380046551,18.21637937815293,17.733720908359604,98.80484632237528,267.02733117338056,177.7664208442757,22.942644933774655,33.71961304199531,28.513073211993422,delta,train,4801,8dd9348,,,,17.333333333333332
gnn_geo,post_covid,Allston/Brighton,96.15384615384616,100.0,97.95918367346938,0.161259547802816,0.6146277520185934,0.2465932053589347,23.961693635353676,19.084733864535455,21.672508436806343,132.1602450520286,262.1724818380129,193.18639701279673,33.629300850143615,35.52512865815959,34.532143083054365,delta,train,4801,8dd9348,,,,23.0
dualtopo_fullhistory,full,Back Bay/Beacon Hill/Downtown/North End/West End,92.3076923076923,100.0,95.65217391304348,0.5322837407539169,0.64069534559458,0.6778410375699425,8.490247121224037,2.2522217512130736,5.778062177741009,65.43067037558595,75.02442439540945,69.60186777550923,12.079749733246306,2.5397009433411273,9.234776911333622,level,train,479905,8dd9348,,,,1.0
gnn_multiedge_season,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,100.0,100.0,100.0,0.555600438146346,0.6300928262535278,0.6598105179251401,9.784963901226336,4.285294958949089,7.393803491540577,75.28321361196123,106.1866285584395,88.71948097999527,12.768213122321464,6.366912269885661,10.477159797897214,delta,train,4865,8dd9348,,,,5.666666666666667
gnn_multiedge_season_level,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,96.15384615384616,100.0,97.82608695652172,0.5105651482577139,0.747231285719832,0.6281346126681616,9.123612330510069,3.7301686733961104,6.778636827417042,60.547690188297295,71.17267482977212,65.16724872806896,13.080051596077354,5.691032968031029,10.525371643259373,level,train,4865,8dd9348,,,,5.333333333333333
lstm,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,92.3076923076923,100.0,95.65217391304348,0.3592640494767955,0.7516924995587815,0.4500874725944966,10.27243679486788,3.1776867628097536,7.187762867886085,66.11854314512358,123.15050040814953,90.91504630296096,14.89025799614341,3.731632343460282,11.461861107243136,level,train,21390,8dd9348,,,,4.333333333333333
gnn_multiedge_covid_rsv,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,96.15384615384616,100.0,97.82608695652172,0.3878597411372129,0.3156461480250295,0.4780552967570857,10.811496762128977,3.6501034617424017,7.697847501091335,69.42252683123539,118.28899591248666,90.66881773612722,14.749944697596696,4.4407556018050816,11.469229902349351,delta,train,6337,8dd9348,,,,4.333333333333333
gnn_multiedge_covid_rsv_full,full,Back Bay/Beacon Hill/Downtown/North End/West End,88.46153846153845,100.0,93.47826086956522,0.2861633422076116,0.3859399490587364,0.4674617093760692,9.996167100392856,3.1653714179992676,7.026255934134774,74.8488551242312,102.89953457387372,87.0448027110323,15.0235381061233,3.784016436503781,11.56714775984708,delta,train,6337,8dd9348,,,,5.666666666666667
arima,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,100.0,100.0,100.0,0.0778787170173073,0.543349097102083,0.2875363572494843,10.013472082617836,5.626255141019852,8.105986455836103,82.11717967123361,244.9316124714481,152.9060634974138,15.087365698169611,6.251519597043398,12.068620505722128,level,none,,8dd9348,,,,9.333333333333334
dualtopo_no_bg,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,88.46153846153845,100.0,93.47826086956522,0.4124191543155368,0.5828572729659969,0.5791099625655297,9.115563245920034,7.555244016647339,8.437163581018863,79.44566745024173,336.10421707541553,191.03634120031728,14.77749319513055,8.206075095303493,12.357470283219971,level,train,479905,8dd9348,,,,9.333333333333334
dualtopo,post_covid,Back Bay/Beacon Hill/Downtown/North End/West End,88.46153846153845,100.0,93.47826086956522,0.3827814683272583,0.6791534564546329,0.586712766799091,9.140556262089657,7.746173429489136,8.534302856611168,80.59184763479371,343.6361884732838,194.9589523471807,14.7697586297172,8.395309738474133,12.407408841688378,level,train,479905,8dd9348,,,,9.666666666666666
lstm,exclude_covid,Back Bay/Beacon Hill/Downtown/North End/West End,96.15384615384616,100.0,97.82608695652172,0.2353287413627733,0.6523181047252969,0.3756488007006852,12.572454555218034,3.523639359474182,8.638187078807665,86.85270433681416,116.46552318671262,99.72784296720478,16.75024247046111,4.8180035925669635,12.98753529991435,level,train,21390,8dd9348,,,,9.666666666666666
arima,exclude_covid,Back Bay/Beacon Hill/Downtown/North End/West End,96.15384615384616,100.0,97.82608695652172,0.0817944356525742,0.2702864178139755,0.2597036926456506,12.12494226155432,5.180787465330549,9.105744524065722,86.76769412815027,195.53134659491664,134.05623867891828,17.60244073058871,6.220112239765677,13.854672604534631,level,none,,8dd9348,,,,12.0
persistence,exclude_covid,Back Bay/Beacon Hill/Downtown/North End/West End,96.15384615384616,100.0,97.82608695652172,0.0778787170173073,0.5571086152128059,0.2944995623767992,12.823076923076924,3.325,8.693478260869565,88.2087538335264,84.30554079839204,86.51170468781584,19.369941026875,4.660311148410586,14.883190109183142,level,none,0,8dd9348,,,,11.666666666666666
