model,variant,CI_coverage_flu_season,CI_coverage_off_season,CI_coverage_overall,Corr_flu_season,Corr_off_season,Corr_overall,MAE_flu_season,MAE_off_season,MAE_overall,MAPE_flu_season,MAPE_off_season,MAPE_overall,RMSE_flu_season,RMSE_off_season,RMSE_overall,target_kind,normalize,n_params,git_sha,kg_co2,kwh,runtime_s,mean_rank
gnn_multiedge_covid_rsv,post_covid,87.2159090909091,100.0,92.82296650717704,0.6593851388036263,0.6573566037837857,0.6478063733544848,18.96851324052973,7.322906272194603,13.86079088599678,86.73185624696399,117.87760150620348,100.39227083434976,30.10315066292789,11.9642534665911,23.906606948501825,delta,train,6337,8dd9348,,,,3.0
gnn_multiedge_covid_rsv_full,full,83.80681818181817,98.54545454545456,90.27113237639554,0.5606010586676444,0.5978745389025778,0.6099864400229428,18.947475314817645,5.665002555630424,13.121829367805706,80.66787309092308,95.06003598237524,86.98022523629683,32.45428966741105,8.097467692827955,24.901283679314627,delta,train,6337,8dd9348,,,,2.6666666666666665
lstm,post_covid,87.5,99.27272727272728,92.6634768740032,0.5557960046331272,0.6752095790261414,0.5398373852048861,17.422780628908765,8.734805799657648,13.612265352921431,65.36376054385295,126.06124116721108,91.9854625716416,32.853449609041206,15.498332710909697,26.670218215018856,level,train,21390,8dd9348,,,,5.666666666666667
gnn_multiedge_season,post_covid,89.20454545454545,98.54545454545456,93.30143540669856,0.5880273177965655,0.6898750291806801,0.6305424411420472,21.177872461012814,7.8389880717884415,15.327484571002127,102.34163483248297,102.31505635351638,102.32997760486604,35.9889292496504,14.10412623129364,28.5373428273698,delta,train,4865,8dd9348,,,,6.333333333333333
arima,post_covid,94.88636363636364,100.0,97.1291866028708,0.4335234277138269,0.6902804222808556,0.4671464480304625,21.251338864853512,12.163417453063024,17.265408421085752,108.40103281056312,233.13401705926725,163.1084820424509,35.92493827096815,15.961128114129696,28.91857241496733,level,none,,8dd9348,,,,8.0
dualtopo_no_bg,post_covid,83.80681818181817,91.27272727272728,87.08133971291866,0.5029140730531763,0.5891052354982764,0.4099134840763508,18.967822567983102,17.331257612054998,18.250030920646218,108.3215288775113,334.51331649590816,207.5284532715451,33.4410927699961,22.119281086010645,29.024302833973113,level,train,479905,8dd9348,,,,8.333333333333334
dualtopo,post_covid,83.80681818181817,91.27272727272728,87.08133971291866,0.5006765188097873,0.5846517279748481,0.4047292332508664,19.05817920511419,17.754817463267933,18.486529318339517,109.86143695209228,342.09027430227945,211.7161901758586,33.4412813526708,22.63698053392816,29.19896649955679,level,train,479905,8dd9348,,,,9.666666666666666
gnn_multiedge_season_level,post_covid,87.2159090909091,98.1818181818182,92.02551834130782,0.5500331938998897,0.735291654065132,0.6020882409961258,22.256462464278396,8.36896185506474,16.165453425149597,105.57529257533233,99.26579851951696,102.80797062102732,36.5578502644508,15.321061029511824,29.21055387482072,level,train,4865,8dd9348,,,,8.333333333333334
dualtopo_fullhistory,full,78.125,98.9090909090909,87.24082934609251,0.2485356033560769,0.7545212103167915,0.3710977368941495,20.814652207222853,3.878472142653032,13.386503056095735,73.27498406333522,62.89111204161064,68.7206542292455,39.40136685108384,5.594032295993841,29.753754486572884,level,train,479905,8dd9348,,,,6.666666666666667
arima,exclude_covid,90.625,100.0,94.73684210526316,0.3772081785958751,0.6070509262377957,0.4213927008431701,22.414057601021707,10.978801304139486,17.398594312915467,101.50106224820895,199.87296638579028,144.64663423837624,38.52909005448131,15.445398881411126,30.627276467854937,level,none,,8dd9348,,,,9.666666666666666
lstm,exclude_covid,83.23863636363636,97.0909090909091,89.31419457735247,0.411748288905259,0.6917151301455143,0.4604226084633113,23.09778964790431,8.53813168404319,16.711974751473992,89.30689280727326,111.98738749653988,99.25447819730245,39.79432513551409,15.613970909043234,31.55883622596458,level,train,21390,8dd9348,,,,11.333333333333334
persistence,post_covid,90.625,100.0,94.73684210526316,0.2836765805469533,0.673587218988435,0.3717877766009543,26.73267045454546,5.6,17.46395534290271,104.2668535233013,78.54086873761824,92.983526862914,45.89101389433448,9.11114701889943,34.91012269624194,level,none,0,8dd9348,,,,11.0
persistence,exclude_covid,90.05681818181817,100.0,94.41786283891548,0.2836765805469533,0.673587218988435,0.3717877766009543,26.73267045454546,5.6,17.46395534290271,104.2668535233013,78.54086873761824,92.983526862914,45.89101389433448,9.11114701889943,34.91012269624194,level,none,0,8dd9348,,,,11.0
gnn_multiedge_full,full,82.67045454545455,94.54545454545456,87.87878787878788,0.5092909546351904,0.6796349953187464,0.5556393757037382,26.00009513849562,11.760777759118511,19.75478049841794,130.67175053082937,136.49775870258617,133.22701727282796,43.049690613809794,22.225666023034815,35.45551532985516,delta,train,4801,8dd9348,,,,14.666666666666666
gnn_multiedge_rt,post_covid,80.39772727272727,93.81818181818184,86.28389154704944,0.3839552367866877,0.467585894969531,0.4470175792377528,29.57664932886308,10.852791080583224,21.364430798915773,150.2838252954365,134.2508400733854,143.2518142331334,47.86979409424558,21.962075506005437,38.70420190827059,delta,train,5313,8dd9348,,,,16.0
seasonal_naive,post_covid,95.45454545454544,100.0,97.4481658692185,0.3145352591519452,0.6936719831604418,0.4169008462052502,31.357954545454547,5.029090909090909,19.810207336523128,160.26512910631672,92.6766830684413,130.6210738265468,52.81327635255087,6.9144933423800605,39.83540797917882,level,none,0,8dd9348,,,,13.0
seasonal_naive,exclude_covid,91.19318181818184,99.27272727272728,94.73684210526316,0.3145352591519452,0.6936719831604418,0.4169008462052502,31.357954545454547,5.029090909090909,19.810207336523128,160.26512910631672,92.6766830684413,130.6210738265468,52.81327635255087,6.9144933423800605,39.83540797917882,level,none,0,8dd9348,,,,13.0
gnn_multiedge,post_covid,79.26136363636364,86.9090909090909,82.61562998405104,0.5018683097006567,0.6417537562104498,0.484870797194445,27.698122655634176,17.973392051458358,23.43288993450443,123.85712167402028,186.59036019280936,151.37169997173476,44.09508546677818,37.52285741184889,41.341362555539405,delta,train,4801,8dd9348,,,,17.0
gnn_corrbinary,post_covid,82.38636363636364,85.45454545454545,83.73205741626795,0.5018747582563916,0.6680589751252682,0.4593335990782911,25.774640848013487,21.179192190603775,23.75909319125484,129.4800758387096,230.88194674892563,173.9545806238921,41.35392892839586,43.60058531160384,42.35397907898885,delta,train,4801,8dd9348,,,,17.0
gnn_multiedge_level,post_covid,73.01136363636364,75.27272727272727,74.00318979266348,0.5061070914168776,0.6735316815926898,0.4930786865069116,28.59377607703209,23.32833329114047,26.28437134637787,162.4839667611366,286.31543641368347,216.79601485435887,47.23553679533633,44.618967318207744,46.10620388224526,level,train,4801,8dd9348,,,,19.333333333333332
gnn_multiedge_leaknorm,post_covid,78.125,83.63636363636363,80.54226475279107,0.4377614454640948,0.6316493519094624,0.4152602372153142,29.54694410091774,22.43100962378762,26.425920207439617,142.0921316613576,238.80439342022407,184.50979032752707,47.92370422637714,47.1976211397859,47.60661012783724,delta,all,4801,8dd9348,,,,20.666666666666668
gnn_uniform,post_covid,84.94318181818183,79.27272727272727,82.45614035087719,0.5482316755688887,0.6724454703249001,0.4452441957211763,25.072652995586395,27.390459098815917,26.08923461980987,129.04703959174023,286.99598397739214,198.3228923924648,41.20487405825418,57.77308971770995,49.1639184599657,delta,train,4801,8dd9348,,,,18.666666666666668
gnn_geo,post_covid,86.93181818181817,89.45454545454545,88.03827751196172,0.3583846640775092,0.6537217258769178,0.3741578971224325,38.43159870972688,27.995924563407897,33.85454864555189,188.1748256426791,270.15151609441045,224.12951443729813,65.56185768525023,61.15159733739378,63.66515699735538,delta,train,4801,8dd9348,,,,23.0
