model,variant,horizon,indicator,target_date,season,segment,actual,predicted,sigma,true_band,pred_band,p_exceed_50,p_exceed_90,p_exceed_98
arima,post_covid,4,Allston/Brighton,2025-06-01,2024,off_season,2.8,12.954343917149757,26.798045571542367,0,0,0.1297428911411599,0.012757567567559747,0.0004630083461344414
arima,post_covid,4,Allston/Brighton,2025-06-08,2024,off_season,2.8,14.878138295273548,28.71902592000514,0,0,0.16226382345796508,0.02184101144040984,0.0012490898186590105
arima,post_covid,4,Allston/Brighton,2025-06-15,2024,off_season,5.7,10.90515203902586,24.587324465466807,0,0,0.09470316261324851,0.005906557195659801,0.0001107101489085105
arima,post_covid,4,Allston/Brighton,2025-06-22,2024,off_season,4.2,14.910774959869393,28.75050767362185,0,0,0.16280805892322148,0.02201603632819249,0.0012675677233793259
arima,post_covid,4,Allston/Brighton,2025-06-29,2024,off_season,1.4,12.711141501586363,26.54530298268096,0,0,0.1255864247769125,0.011788888892579896,0.0004000111911726112
arima,post_covid,4,Allston/Brighton,2025-07-06,2024,off_season,2.8,12.65586720794384,26.48752408629687,0,0,0.12464097430560384,0.011574526375435212,0.0003866380045265405
arima,post_covid,4,Allston/Brighton,2025-07-13,2024,off_season,1.4,12.826466582866129,26.665450604738393,0,0,0.12755814569696478,0.012243057982693983,0.00042902636662944804
arima,post_covid,4,Allston/Brighton,2025-07-20,2024,off_season,5.7,11.785582127898582,25.56059324351687,0,0,0.10973797739360125,0.00848474581041292,0.00021727352195000105
arima,post_covid,4,Allston/Brighton,2025-07-27,2024,off_season,4.2,11.643889401564916,25.40647689598523,0,0,0.10731240023923161,0.00803268790767997,0.0001962467743038543
arima,post_covid,4,Allston/Brighton,2025-08-03,2025,off_season,7.1,13.010364705427229,26.8559268551586,0,0,0.1306994038850251,0.012986567152326378,0.00047851074182736486
arima,post_covid,4,Allston/Brighton,2025-08-10,2025,off_season,8.5,11.29782907895919,25.02608469811198,0,0,0.10139575973287074,0.006988627334452269,0.00015145834026430993
arima,post_covid,4,Allston/Brighton,2025-08-17,2025,off_season,2.8,12.418025001710015,26.237453078470804,0,0,0.1205702447007776,0.010676740841631616,0.0003328884557244338
